;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 12:44:04.701000+00:00;+p11Y1Df686P54VA;click;H1;;[772, 238];['', ''];['', '']
1;2022-01-13 12:44:30.348000+00:00;+p11Y1Df686P54VA;click;HTML;;[1479, 530];['', ''];['', '']
2;2022-01-13 12:44:31.178000+00:00;+p11Y1Df686P54VA;click;BUTTON;;[1538, 357];[53, 17];[105, 36]
3;2022-01-13 12:44:50.226000+00:00;+p11Y1Df686P54VA;click;DIV;;[515, 178];['', ''];['', '']
4;2022-01-13 12:44:53.568000+00:00;+p11Y1Df686P54VA;click;DIV;;[702, 188];['', ''];['', '']
5;2022-01-13 12:44:56.217000+00:00;+p11Y1Df686P54VA;click;INPUT;radio;[325, 265];[4, 5];[14, 14]
6;2022-01-13 12:44:57.857000+00:00;+p11Y1Df686P54VA;click;NULL;;[186, 338];['', ''];['', '']
7;2022-01-13 12:45:05.439000+00:00;+p11Y1Df686P54VA;click;LABEL;;[380, 291];[36, 10];[95, 24]
8;2022-01-13 12:45:06.097000+00:00;+p11Y1Df686P54VA;click;DIV;;[318, 293];['', ''];['', '']
9;2022-01-13 12:45:06.402000+00:00;+p11Y1Df686P54VA;click;INPUT;radio;[328, 293];[7, 7];[14, 14]
10;2022-01-13 12:45:07.099000+00:00;+p11Y1Df686P54VA;click;INPUT;radio;[325, 268];[4, 8];[14, 14]
11;2022-01-13 12:45:13.546000+00:00;+p11Y1Df686P54VA;click;DIV;;[683, 501];['', ''];['', '']
12;2022-01-13 12:45:14.257000+00:00;+p11Y1Df686P54VA;click;DIV;;[738, 491];['', ''];['', '']
13;2022-01-13 12:45:18.338000+00:00;+p11Y1Df686P54VA;click;LABEL;;[370, 536];[26, 9];[84, 24]
14;2022-01-13 12:45:18.338000+00:00;+p11Y1Df686P54VA;click;INPUT;radio;[370, 536];[49, 4];[14, 14]
15;2022-01-13 12:45:32.610000+00:00;+p11Y1Df686P54VA;click;DIV;;[469, 688];['', ''];['', '']
16;2022-01-13 12:45:33.083000+00:00;+p11Y1Df686P54VA;click;DIV;;[504, 692];['', ''];['', '']
17;2022-01-13 12:45:38.516000+00:00;+p11Y1Df686P54VA;click;DIV;;[717, 693];['', ''];['', '']
18;2022-01-13 12:45:39.741000+00:00;+p11Y1Df686P54VA;click;DIV;;[635, 700];['', ''];['', '']
19;2022-01-13 12:45:40.832000+00:00;+p11Y1Df686P54VA;click;DIV;;[838, 683];['', ''];['', '']
20;2022-01-13 12:45:41.366000+00:00;+p11Y1Df686P54VA;click;INPUT;radio;[404, 738];[10, 13];[13, 13]
21;2022-01-13 12:45:41.366000+00:00;+p11Y1Df686P54VA;click;LABEL;;[404, 738];[10, 12];[66, 36]
22;2022-01-13 12:45:43.155000+00:00;+p11Y1Df686P54VA;click;DIV;;[600, 676];['', ''];['', '']
23;2022-01-13 12:45:43.607000+00:00;+p11Y1Df686P54VA;click;DIV;;[643, 677];['', ''];['', '']
24;2022-01-13 12:45:45.930000+00:00;+p11Y1Df686P54VA;click;INPUT;radio;[326, 740];[6, 35];[13, 13]
25;2022-01-13 12:45:45.930000+00:00;+p11Y1Df686P54VA;click;LABEL;;[326, 740];[6, 34];[73, 36]
26;2022-01-13 12:45:46.332000+00:00;+p11Y1Df686P54VA;click;LABEL;;[338, 735];[18, 29];[73, 36]
27;2022-01-13 12:45:46.332000+00:00;+p11Y1Df686P54VA;click;INPUT;radio;[338, 735];[18, 30];[13, 13]
28;2022-01-13 12:45:50.822000+00:00;+p11Y1Df686P54VA;click;DIV;;[604, 754];['', ''];['', '']
