;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 12:46:55.981000+00:00;+toWCKHQDTcrSpd5;click;H1;;[1185, 253];['', ''];['', '']
1;2022-01-13 12:46:58.516000+00:00;+toWCKHQDTcrSpd5;click;H1;;[1262, 244];['', ''];['', '']
2;2022-01-13 12:47:08.841000+00:00;+toWCKHQDTcrSpd5;click;HTML;;[941, 475];['', ''];['', '']
3;2022-01-13 12:47:09.747000+00:00;+toWCKHQDTcrSpd5;click;BUTTON;;[1516, 353];[31, 13];[105, 36]
4;2022-01-13 12:47:18.430000+00:00;+toWCKHQDTcrSpd5;click;LABEL;;[419, 269];[75, 14];[181, 24]
5;2022-01-13 12:47:18.454000+00:00;+toWCKHQDTcrSpd5;click;INPUT;radio;[419, 269];[98, 9];[14, 14]
6;2022-01-13 12:47:20.544000+00:00;+toWCKHQDTcrSpd5;click;LABEL;;[383, 242];[39, 13];[189, 24]
7;2022-01-13 12:47:20.545000+00:00;+toWCKHQDTcrSpd5;click;INPUT;radio;[383, 242];[62, 8];[14, 14]
8;2022-01-13 12:47:21.055000+00:00;+toWCKHQDTcrSpd5;click;INPUT;radio;[365, 265];[44, 5];[14, 14]
9;2022-01-13 12:47:21.055000+00:00;+toWCKHQDTcrSpd5;click;LABEL;;[365, 265];[21, 10];[181, 24]
10;2022-01-13 12:47:28.346000+00:00;+toWCKHQDTcrSpd5;click;INPUT;radio;[330, 592];[9, 8];[14, 14]
11;2022-01-13 12:47:32.316000+00:00;+toWCKHQDTcrSpd5;click;DIV;;[1182, 401];['', ''];['', '']
12;2022-01-13 12:47:38.720000+00:00;+toWCKHQDTcrSpd5;click;LABEL;;[344, 542];[24, 16];[73, 36]
13;2022-01-13 12:47:38.720000+00:00;+toWCKHQDTcrSpd5;click;INPUT;radio;[344, 542];[24, 17];[13, 13]
14;2022-01-13 12:47:47.947000+00:00;+toWCKHQDTcrSpd5;click;LABEL;;[427, 508];[33, 2];[66, 36]
15;2022-01-13 12:47:47.948000+00:00;+toWCKHQDTcrSpd5;click;INPUT;radio;[427, 508];[33, 3];[13, 13]
16;2022-01-13 12:47:59.190000+00:00;+toWCKHQDTcrSpd5;click;LABEL;;[543, 597];[199, 12];[550, 24]
17;2022-01-13 12:47:59.191000+00:00;+toWCKHQDTcrSpd5;click;INPUT;radio;[543, 597];[222, 7];[14, 14]
18;2022-01-13 12:48:03.397000+00:00;+toWCKHQDTcrSpd5;click;DIV;;[1050, 366];['', ''];['', '']
19;2022-01-13 12:48:13.743000+00:00;+toWCKHQDTcrSpd5;click;DIV;;[878, 471];['', ''];['', '']
20;2022-01-13 12:48:15.204000+00:00;+toWCKHQDTcrSpd5;click;LABEL;;[695, 648];[351, 17];[403, 24]
21;2022-01-13 12:48:15.205000+00:00;+toWCKHQDTcrSpd5;click;INPUT;checkbox;[695, 648];[374, 12];[14, 14]
22;2022-01-13 12:48:15.568000+00:00;+toWCKHQDTcrSpd5;click;LABEL;;[692, 620];[348, 15];[543, 24]
