;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 12:44:32.915000+00:00;0Ixjyd1U3s7J6C06;click;BUTTON;;[1540, 352];[55, 12];[105, 36]
1;2022-01-13 12:44:42.225000+00:00;0Ixjyd1U3s7J6C06;click;LABEL;;[464, 266];[120, 11];[181, 24]
2;2022-01-13 12:44:42.226000+00:00;0Ixjyd1U3s7J6C06;click;INPUT;radio;[464, 266];[143, 6];[14, 14]
3;2022-01-13 12:44:44.510000+00:00;0Ixjyd1U3s7J6C06;click;LABEL;;[410, 298];[66, 17];[95, 24]
4;2022-01-13 12:44:44.511000+00:00;0Ixjyd1U3s7J6C06;click;INPUT;radio;[410, 298];[89, 12];[14, 14]
5;2022-01-13 12:44:44.915000+00:00;0Ixjyd1U3s7J6C06;click;LABEL;;[413, 266];[69, 11];[181, 24]
6;2022-01-13 12:44:44.916000+00:00;0Ixjyd1U3s7J6C06;click;INPUT;radio;[413, 266];[92, 6];[14, 14]
7;2022-01-13 12:45:10.740000+00:00;0Ixjyd1U3s7J6C06;click;INPUT;radio;[498, 465];[177, 9];[14, 14]
8;2022-01-13 12:45:10.740000+00:00;0Ixjyd1U3s7J6C06;click;LABEL;;[498, 465];[154, 14];[241, 24]
9;2022-01-13 12:45:24.676000+00:00;0Ixjyd1U3s7J6C06;click;LABEL;;[334, 750];[14, 26];[73, 36]
10;2022-01-13 12:45:24.677000+00:00;0Ixjyd1U3s7J6C06;click;INPUT;radio;[334, 750];[12, 25];[10, 10]
11;2022-01-13 12:45:37.615000+00:00;0Ixjyd1U3s7J6C06;click;INPUT;radio;[419, 721];[23, 20];[10, 10]
12;2022-01-13 12:45:37.615000+00:00;0Ixjyd1U3s7J6C06;click;LABEL;;[419, 721];[25, 21];[67, 36]
13;2022-01-13 12:45:49.926000+00:00;0Ixjyd1U3s7J6C06;click;INPUT;radio;[321, 688];[-1, 8];[14, 14]
14;2022-01-13 12:46:06.332000+00:00;0Ixjyd1U3s7J6C06;click;INPUT;checkbox;[330, 533];[9, 4];[14, 14]
15;2022-01-13 12:46:07.656000+00:00;0Ixjyd1U3s7J6C06;click;INPUT;checkbox;[326, 565];[5, 10];[14, 14]
16;2022-01-13 12:46:18.213000+00:00;0Ixjyd1U3s7J6C06;click;INPUT;checkbox;[329, 507];[8, 4];[14, 14]
17;2022-01-13 12:46:21.774000+00:00;0Ixjyd1U3s7J6C06;click;INPUT;radio;[334, 756];[13, 7];[14, 14]
18;2022-01-13 12:46:25.014000+00:00;0Ixjyd1U3s7J6C06;click;BUTTON;;[1759, 926];[59, 8];[192, 36]
19;2022-01-13 12:47:05.323000+00:00;0Ixjyd1U3s7J6C06;click;BUTTON;;[1866, 937];[0, 0];[0, 0]
20;2022-01-13 12:47:16.754000+00:00;0Ixjyd1U3s7J6C06;click;LABEL;;[757, 293];[413, 12];[721, 24]
21;2022-01-13 12:47:16.755000+00:00;0Ixjyd1U3s7J6C06;click;INPUT;radio;[757, 293];[436, 7];[14, 14]
22;2022-01-13 12:47:30.563000+00:00;0Ixjyd1U3s7J6C06;click;INPUT;checkbox;[325, 516];[4, 10];[14, 14]
23;2022-01-13 12:47:38.191000+00:00;0Ixjyd1U3s7J6C06;click;INPUT;checkbox;[325, 568];[4, 10];[14, 14]
24;2022-01-13 12:47:55.746000+00:00;0Ixjyd1U3s7J6C06;click;INPUT;checkbox;[329, 617];[8, 7];[14, 14]
25;2022-01-13 12:48:48.443000+00:00;0Ixjyd1U3s7J6C06;click;LI;;[333, 638];['', ''];['', '']
