;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 13:05:26.016000+00:00;0ZimVIHrBhPlFZmK;click;BUTTON;;[1515, 357];[36, 18];[110, 36]
1;2022-01-13 13:05:28.441000+00:00;0ZimVIHrBhPlFZmK;click;BUTTON;;[1764, 857];[64, 13];[193, 36]
2;2022-01-13 13:05:30.209000+00:00;0ZimVIHrBhPlFZmK;click;BUTTON;;[1823, 861];[1823, 1841];[0, 0]
3;2022-01-13 13:05:35.051000+00:00;0ZimVIHrBhPlFZmK;click;BUTTON;;[1771, 863];[71, 19];[193, 36]
4;2022-01-13 13:05:41.996000+00:00;0ZimVIHrBhPlFZmK;click;BUTTON;;[1841, 862];[1841, 3894];[0, 0]
5;2022-01-13 13:05:45.956000+00:00;0ZimVIHrBhPlFZmK;click;BUTTON;;[1807, 850];[107, 6];[193, 36]
6;2022-01-13 13:05:53.691000+00:00;0ZimVIHrBhPlFZmK;click;BUTTON;;[1827, 858];[1827, 1576];[0, 0]
7;2022-01-13 13:06:01.284000+00:00;0ZimVIHrBhPlFZmK;click;INPUT;radio;[332, 267];[11, 8];[14, 14]
8;2022-01-13 13:06:07.955000+00:00;0ZimVIHrBhPlFZmK;click;INPUT;radio;[322, 393];[1, 4];[14, 14]
9;2022-01-13 13:06:08.913000+00:00;0ZimVIHrBhPlFZmK;click;INPUT;radio;[333, 338];[12, 5];[14, 14]
10;2022-01-13 13:06:15.906000+00:00;0ZimVIHrBhPlFZmK;click;INPUT;checkbox;[330, 297];[9, 5];[14, 14]
11;2022-01-13 13:06:32.539000+00:00;0ZimVIHrBhPlFZmK;click;INPUT;checkbox;[334, 322];[13, 4];[14, 14]
12;2022-01-13 13:06:51.269000+00:00;0ZimVIHrBhPlFZmK;click;BUTTON;;[1754, 858];[54, 14];[193, 36]
13;2022-01-13 13:07:09.822000+00:00;0ZimVIHrBhPlFZmK;click;BUTTON;;[1855, 856];[1855, 1888];[0, 0]
14;2022-01-13 13:07:29.006000+00:00;0ZimVIHrBhPlFZmK;click;INPUT;checkbox;[327, 472];[6, 14];[14, 14]
15;2022-01-13 13:07:30.311000+00:00;0ZimVIHrBhPlFZmK;click;INPUT;checkbox;[329, 445];[8, 13];[14, 14]
16;2022-01-13 13:07:30.575000+00:00;0ZimVIHrBhPlFZmK;click;INPUT;checkbox;[329, 445];[8, 13];[14, 14]
17;2022-01-13 13:07:36.150000+00:00;0ZimVIHrBhPlFZmK;click;INPUT;checkbox;[329, 516];[8, 6];[14, 14]
18;2022-01-13 13:07:54.614000+00:00;0ZimVIHrBhPlFZmK;click;INPUT;radio;[331, 698];[10, 9];[14, 14]
19;2022-01-13 13:08:14.612000+00:00;0ZimVIHrBhPlFZmK;click;INPUT;checkbox;[330, 659];[9, 10];[14, 14]
20;2022-01-13 13:08:31.411000+00:00;0ZimVIHrBhPlFZmK;click;INPUT;checkbox;[332, 734];[11, 7];[14, 14]
21;2022-01-13 13:08:33.332000+00:00;0ZimVIHrBhPlFZmK;click;BUTTON;;[1754, 869];[54, 25];[193, 36]
22;2022-01-13 13:09:02.732000+00:00;0ZimVIHrBhPlFZmK;click;BUTTON;;[1848, 867];[1848, 1777];[0, 0]
23;2022-01-13 13:09:36.079000+00:00;0ZimVIHrBhPlFZmK;click;INPUT;radio;[334, 238];[13, 5];[14, 14]
24;2022-01-13 13:09:56.701000+00:00;0ZimVIHrBhPlFZmK;click;INPUT;radio;[335, 315];[14, 4];[14, 14]
25;2022-01-13 13:10:17.236000+00:00;0ZimVIHrBhPlFZmK;click;INPUT;radio;[325, 511];[4, 6];[14, 14]
26;2022-01-13 13:11:04.835000+00:00;0ZimVIHrBhPlFZmK;click;INPUT;radio;[324, 508];[3, 6];[14, 14]
27;2022-01-13 13:11:07.381000+00:00;0ZimVIHrBhPlFZmK;click;DIV;;[340, 513];['', ''];['', '']
28;2022-01-13 13:11:07.751000+00:00;0ZimVIHrBhPlFZmK;click;INPUT;radio;[335, 510];[14, 8];[14, 14]
29;2022-01-13 13:11:10.571000+00:00;0ZimVIHrBhPlFZmK;click;NULL;;[164, 435];['', ''];['', '']
30;2022-01-13 13:11:10.628000+00:00;0ZimVIHrBhPlFZmK;click;NULL;;[164, 435];['', ''];['', '']
31;2022-01-13 13:11:11.347000+00:00;0ZimVIHrBhPlFZmK;click;NULL;;[163, 437];['', ''];['', '']
32;2022-01-13 13:11:12.239000+00:00;0ZimVIHrBhPlFZmK;click;INPUT;radio;[324, 480];[3, 4];[14, 14]
33;2022-01-13 13:11:13.260000+00:00;0ZimVIHrBhPlFZmK;click;DIV;;[313, 490];['', ''];['', '']
34;2022-01-13 13:11:20.020000+00:00;0ZimVIHrBhPlFZmK;click;INPUT;radio;[336, 511];[15, 9];[14, 14]
35;2022-01-13 13:11:57.989000+00:00;0ZimVIHrBhPlFZmK;click;INPUT;radio;[327, 661];[6, 6];[14, 14]
36;2022-01-13 13:12:21.220000+00:00;0ZimVIHrBhPlFZmK;click;INPUT;radio;[328, 608];[7, 6];[14, 14]
37;2022-01-13 13:12:29.427000+00:00;0ZimVIHrBhPlFZmK;click;INPUT;checkbox;[327, 399];[6, 8];[14, 14]
38;2022-01-13 13:12:31.417000+00:00;0ZimVIHrBhPlFZmK;click;INPUT;checkbox;[323, 426];[2, 9];[14, 14]
39;2022-01-13 13:12:33.832000+00:00;0ZimVIHrBhPlFZmK;click;INPUT;checkbox;[329, 452];[8, 9];[14, 14]
