;time;token;event;nodeName;global_position;local_position;local_dimensions;nodeType
0;2022-01-13 12:43:37.694000+00:00;0lCfD6HsTuGPcYoG;click;H1;[680, 244];['', ''];['', ''];
1;2022-01-13 12:43:37.972000+00:00;0lCfD6HsTuGPcYoG;click;H1;[680, 244];['', ''];['', ''];
2;2022-01-13 12:44:04.183000+00:00;0lCfD6HsTuGPcYoG;click;BUTTON;[1331, 350];[56, 10];[105, 36];
3;2022-01-13 12:44:13.062000+00:00;0lCfD6HsTuGPcYoG;click;INPUT;[118, 248];[7, 14];[14, 14];radio
4;2022-01-13 12:44:14.086000+00:00;0lCfD6HsTuGPcYoG;click;INPUT;[124, 266];[13, 6];[14, 14];radio
5;2022-01-13 12:44:15.415000+00:00;0lCfD6HsTuGPcYoG;click;INPUT;[123, 241];[12, 7];[14, 14];radio
6;2022-01-13 12:44:18.680000+00:00;0lCfD6HsTuGPcYoG;click;LABEL;[233, 270];[99, 15];[181, 24];
7;2022-01-13 12:44:18.686000+00:00;0lCfD6HsTuGPcYoG;click;INPUT;[233, 270];[122, 10];[14, 14];radio
8;2022-01-13 12:44:30.425000+00:00;0lCfD6HsTuGPcYoG;click;INPUT;[120, 413];[9, 5];[14, 14];radio
9;2022-01-13 12:44:37.535000+00:00;0lCfD6HsTuGPcYoG;click;LABEL;[214, 613];[30, 25];[67, 36];
10;2022-01-13 12:44:37.542000+00:00;0lCfD6HsTuGPcYoG;click;INPUT;[214, 613];[28, 24];[10, 10];radio
11;2022-01-13 12:44:41.630000+00:00;0lCfD6HsTuGPcYoG;click;LABEL;[137, 585];[27, 12];[73, 36];
12;2022-01-13 12:44:41.636000+00:00;0lCfD6HsTuGPcYoG;click;INPUT;[137, 585];[25, 11];[10, 10];radio
13;2022-01-13 12:44:52.683000+00:00;0lCfD6HsTuGPcYoG;click;INPUT;[121, 432];[10, 5];[14, 14];radio
14;2022-01-13 12:45:23.254000+00:00;0lCfD6HsTuGPcYoG;click;INPUT;[119, 485];[8, 5];[14, 14];checkbox
15;2022-01-13 12:45:35.050000+00:00;0lCfD6HsTuGPcYoG;click;INPUT;[116, 643];[5, 12];[14, 14];radio
16;2022-01-13 12:45:37.373000+00:00;0lCfD6HsTuGPcYoG;click;BUTTON;[1329, 812];[49, 12];[192, 36];
17;2022-01-13 12:46:10.764000+00:00;0lCfD6HsTuGPcYoG;click;LABEL;[203, 129];[19, 12];[67, 36];
18;2022-01-13 12:46:10.772000+00:00;0lCfD6HsTuGPcYoG;click;INPUT;[203, 129];[17, 11];[10, 10];radio
19;2022-01-13 12:46:12.295000+00:00;0lCfD6HsTuGPcYoG;click;LABEL;[180, 124];[70, 7];[73, 36];
20;2022-01-13 12:46:12.303000+00:00;0lCfD6HsTuGPcYoG;click;INPUT;[180, 124];[68, 6];[10, 10];radio
21;2022-01-13 12:46:20.373000+00:00;0lCfD6HsTuGPcYoG;click;BUTTON;[1445, 812];[0, 0];[0, 0];
22;2022-01-13 12:46:32.452000+00:00;0lCfD6HsTuGPcYoG;click;LABEL;[289, 300];[155, 19];[721, 24];
