;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 12:44:36.929000+00:00;1c0Hn0SAZ47buUj0;click;H1;;[1129, 236];['', ''];['', '']
1;2022-01-13 12:44:55.043000+00:00;1c0Hn0SAZ47buUj0;click;BUTTON;;[1536, 361];[51, 21];[105, 36]
2;2022-01-13 12:45:25.827000+00:00;1c0Hn0SAZ47buUj0;click;NULL;;[189, 359];['', ''];['', '']
3;2022-01-13 12:45:42.309000+00:00;1c0Hn0SAZ47buUj0;click;INPUT;radio;[328, 345];[7, 7];[14, 14]
4;2022-01-13 12:45:47.351000+00:00;1c0Hn0SAZ47buUj0;click;NULL;;[244, 361];['', ''];['', '']
5;2022-01-13 12:45:56.545000+00:00;1c0Hn0SAZ47buUj0;click;NULL;;[233, 367];['', ''];['', '']
6;2022-01-13 12:46:06.601000+00:00;1c0Hn0SAZ47buUj0;click;NULL;;[188, 548];['', ''];['', '']
7;2022-01-13 12:46:18.667000+00:00;1c0Hn0SAZ47buUj0;click;INPUT;radio;[329, 591];[8, 7];[14, 14]
8;2022-01-13 12:46:20.461000+00:00;1c0Hn0SAZ47buUj0;click;INPUT;radio;[331, 675];[10, 13];[14, 14]
9;2022-01-13 12:46:55.271000+00:00;1c0Hn0SAZ47buUj0;click;INPUT;radio;[335, 242];[14, 9];[14, 14]
10;2022-01-13 12:46:55.793000+00:00;1c0Hn0SAZ47buUj0;click;INPUT;radio;[333, 264];[12, 5];[14, 14]
11;2022-01-13 12:47:00.365000+00:00;1c0Hn0SAZ47buUj0;click;DIV;;[889, 268];['', ''];['', '']
12;2022-01-13 12:47:00.599000+00:00;1c0Hn0SAZ47buUj0;click;DIV;;[887, 268];['', ''];['', '']
13;2022-01-13 12:47:01.375000+00:00;1c0Hn0SAZ47buUj0;click;DIV;;[879, 277];['', ''];['', '']
14;2022-01-13 12:47:02.467000+00:00;1c0Hn0SAZ47buUj0;click;DIV;;[1030, 282];['', ''];['', '']
15;2022-01-13 12:47:02.703000+00:00;1c0Hn0SAZ47buUj0;click;DIV;;[1030, 282];['', ''];['', '']
16;2022-01-13 12:47:03.353000+00:00;1c0Hn0SAZ47buUj0;click;LABEL;;[448, 335];[54, 12];[66, 36]
17;2022-01-13 12:47:03.354000+00:00;1c0Hn0SAZ47buUj0;click;INPUT;radio;[448, 335];[54, 13];[13, 13]
18;2022-01-13 12:47:10.155000+00:00;1c0Hn0SAZ47buUj0;click;DIV;;[703, 373];['', ''];['', '']
19;2022-01-13 12:47:10.415000+00:00;1c0Hn0SAZ47buUj0;click;DIV;;[713, 373];['', ''];['', '']
20;2022-01-13 12:47:11.283000+00:00;1c0Hn0SAZ47buUj0;click;DIV;;[949, 373];['', ''];['', '']
21;2022-01-13 12:47:12.057000+00:00;1c0Hn0SAZ47buUj0;click;DIV;;[1019, 363];['', ''];['', '']
22;2022-01-13 12:47:13.547000+00:00;1c0Hn0SAZ47buUj0;click;DIV;;[885, 363];['', ''];['', '']
23;2022-01-13 12:47:13.807000+00:00;1c0Hn0SAZ47buUj0;click;DIV;;[884, 363];['', ''];['', '']
24;2022-01-13 12:47:17.040000+00:00;1c0Hn0SAZ47buUj0;click;DIV;;[1005, 187];['', ''];['', '']
25;2022-01-13 12:47:17.201000+00:00;1c0Hn0SAZ47buUj0;click;DIV;;[986, 185];['', ''];['', '']
26;2022-01-13 12:47:18.045000+00:00;1c0Hn0SAZ47buUj0;click;LABEL;;[357, 416];[37, 13];[73, 36]
27;2022-01-13 12:47:18.046000+00:00;1c0Hn0SAZ47buUj0;click;INPUT;radio;[357, 416];[37, 14];[13, 13]
28;2022-01-13 12:47:18.873000+00:00;1c0Hn0SAZ47buUj0;click;DIV;;[939, 373];['', ''];['', '']
29;2022-01-13 12:47:19.073000+00:00;1c0Hn0SAZ47buUj0;click;DIV;;[939, 373];['', ''];['', '']
30;2022-01-13 12:47:33.809000+00:00;1c0Hn0SAZ47buUj0;click;INPUT;radio;[326, 496];[5, 9];[14, 14]
31;2022-01-13 12:47:34.181000+00:00;1c0Hn0SAZ47buUj0;click;INPUT;radio;[330, 522];[9, 9];[14, 14]
32;2022-01-13 12:47:34.713000+00:00;1c0Hn0SAZ47buUj0;click;INPUT;radio;[331, 543];[10, 4];[14, 14]
33;2022-01-13 12:47:57.107000+00:00;1c0Hn0SAZ47buUj0;click;NULL;;[241, 487];['', ''];['', '']
34;2022-01-13 12:47:59.330000+00:00;1c0Hn0SAZ47buUj0;click;INPUT;checkbox;[324, 513];[3, 6];[14, 14]
35;2022-01-13 12:48:03.265000+00:00;1c0Hn0SAZ47buUj0;click;INPUT;checkbox;[331, 540];[10, 7];[14, 14]
36;2022-01-13 12:48:04.538000+00:00;1c0Hn0SAZ47buUj0;click;INPUT;checkbox;[335, 564];[14, 5];[14, 14]
37;2022-01-13 12:48:07.189000+00:00;1c0Hn0SAZ47buUj0;click;INPUT;checkbox;[333, 597];[12, 12];[14, 14]
38;2022-01-13 12:48:39.319000+00:00;1c0Hn0SAZ47buUj0;click;DIV;;[558, 642];['', ''];['', '']
39;2022-01-13 12:49:10.184000+00:00;1c0Hn0SAZ47buUj0;click;INPUT;radio;[334, 318];[13, 6];[14, 14]
40;2022-01-13 12:49:17.643000+00:00;1c0Hn0SAZ47buUj0;click;DIV;;[335, 709];['', ''];['', '']
41;2022-01-13 12:49:17.878000+00:00;1c0Hn0SAZ47buUj0;click;DIV;;[335, 709];['', ''];['', '']
