;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-20 12:58:24.653000+00:00;3873EZINO4Wf15WH;click;BUTTON;;[1456, 306];[7, 8];[77, 18]
1;2022-01-20 13:00:08.123000+00:00;3873EZINO4Wf15WH;click;HTML;;[1514, 399];['', ''];['', '']
2;2022-01-20 13:00:10.488000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[278, 191];[65, 5];[144, 18]
3;2022-01-20 13:00:11.114000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[278, 191];[65, 5];[144, 18]
4;2022-01-20 13:00:35.712000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[350, 243];[137, 17];[144, 18]
5;2022-01-20 13:00:41.800000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[334, 273];[121, 8];[144, 18]
6;2022-01-20 13:01:57.752000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[308, 314];[95, 9];[144, 18]
7;2022-01-20 13:02:14.430000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[247, 410];[34, 13];[144, 18]
8;2022-01-20 13:02:21.408000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[234, 450];[21, 13];[144, 18]
9;2022-01-20 13:02:29.626000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[241, 505];[28, 10];[144, 18]
10;2022-01-20 13:02:35.903000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[260, 618];[47, 10];[144, 18]
11;2022-01-20 13:03:06.167000+00:00;3873EZINO4Wf15WH;click;INPUT;checkbox;[53, 138];[-1, 4];[10, 10]
12;2022-01-20 13:03:07.398000+00:00;3873EZINO4Wf15WH;click;INPUT;checkbox;[55, 138];[1, 4];[10, 10]
13;2022-01-20 13:03:08.053000+00:00;3873EZINO4Wf15WH;click;INPUT;checkbox;[55, 138];[1, 4];[10, 10]
14;2022-01-20 13:03:09.345000+00:00;3873EZINO4Wf15WH;click;INPUT;checkbox;[57, 179];[3, 6];[10, 10]
15;2022-01-20 13:03:12.038000+00:00;3873EZINO4Wf15WH;click;INPUT;checkbox;[56, 162];[2, 8];[10, 10]
16;2022-01-20 13:03:47.836000+00:00;3873EZINO4Wf15WH;click;INPUT;checkbox;[61, 346];[7, 7];[10, 10]
17;2022-01-20 13:03:53.501000+00:00;3873EZINO4Wf15WH;click;INPUT;checkbox;[63, 364];[9, 6];[10, 10]
18;2022-01-20 13:04:28.406000+00:00;3873EZINO4Wf15WH;click;INPUT;checkbox;[59, 493];[5, 7];[10, 10]
19;2022-01-20 13:04:29.475000+00:00;3873EZINO4Wf15WH;click;INPUT;checkbox;[59, 493];[5, 7];[10, 10]
20;2022-01-20 13:04:30.927000+00:00;3873EZINO4Wf15WH;click;INPUT;checkbox;[61, 516];[7, 10];[10, 10]
21;2022-01-20 13:04:32.240000+00:00;3873EZINO4Wf15WH;click;DIV;;[58, 480];['', ''];['', '']
22;2022-01-20 13:04:33.421000+00:00;3873EZINO4Wf15WH;click;INPUT;checkbox;[58, 475];[4, 8];[10, 10]
23;2022-01-20 13:04:34.359000+00:00;3873EZINO4Wf15WH;click;INPUT;checkbox;[55, 451];[1, 4];[10, 10]
24;2022-01-20 13:04:44.944000+00:00;3873EZINO4Wf15WH;click;INPUT;checkbox;[59, 635];[5, 9];[10, 10]
25;2022-01-20 13:04:52.100000+00:00;3873EZINO4Wf15WH;click;INPUT;checkbox;[65, 671];[11, 7];[10, 10]
26;2022-01-20 13:05:03.926000+00:00;3873EZINO4Wf15WH;click;INPUT;checkbox;[54, 535];[0, 7];[10, 10]
27;2022-01-20 13:05:07.431000+00:00;3873EZINO4Wf15WH;click;INPUT;checkbox;[58, 518];[4, 10];[10, 10]
28;2022-01-20 13:05:30.322000+00:00;3873EZINO4Wf15WH;click;INPUT;checkbox;[54, 221];[0, 8];[10, 10]
29;2022-01-20 13:05:31.400000+00:00;3873EZINO4Wf15WH;click;INPUT;checkbox;[64, 217];[10, 4];[10, 10]
30;2022-01-20 13:05:32.162000+00:00;3873EZINO4Wf15WH;click;INPUT;checkbox;[64, 217];[10, 4];[10, 10]
31;2022-01-20 13:05:42.702000+00:00;3873EZINO4Wf15WH;click;INPUT;checkbox;[61, 90];[7, 5];[10, 10]
32;2022-01-20 13:05:43.593000+00:00;3873EZINO4Wf15WH;click;INPUT;checkbox;[61, 90];[7, 5];[10, 10]
33;2022-01-20 13:05:44.315000+00:00;3873EZINO4Wf15WH;click;INPUT;checkbox;[61, 90];[7, 5];[10, 10]
34;2022-01-20 13:05:47.583000+00:00;3873EZINO4Wf15WH;click;INPUT;checkbox;[65, 69];[11, 3];[10, 10]
35;2022-01-20 13:06:14.296000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[170, 139];[79, 17];[144, 18]
36;2022-01-20 13:06:24.819000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[156, 154];[65, 11];[144, 18]
37;2022-01-20 13:06:31.815000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[140, 172];[49, 8];[144, 18]
38;2022-01-20 13:06:37.983000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[125, 195];[34, 10];[144, 18]
39;2022-01-20 13:06:49.820000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[135, 221];[44, 15];[144, 18]
40;2022-01-20 13:06:56.946000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[125, 238];[34, 10];[144, 18]
41;2022-01-20 13:07:03.477000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[86, 350];[36, 17];[144, 18]
42;2022-01-20 13:07:29.637000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[141, 339];[91, 6];[144, 18]
43;2022-01-20 13:07:38.438000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[121, 380];[71, 7];[144, 18]
44;2022-01-20 13:07:40.545000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[86, 346];[36, 13];[144, 18]
45;2022-01-20 13:07:42.405000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[83, 382];[33, 9];[144, 18]
46;2022-01-20 13:07:50.737000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[78, 427];[28, 15];[144, 18]
47;2022-01-20 13:08:06.714000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[81, 560];[31, 8];[144, 18]
48;2022-01-20 13:08:17.609000+00:00;3873EZINO4Wf15WH;click;DIV;;[104, 572];['', ''];['', '']
49;2022-01-20 13:08:18.422000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[107, 566];[57, 14];[144, 18]
50;2022-01-20 13:08:25.627000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[90, 599];[40, 7];[144, 18]
51;2022-01-20 13:08:37.424000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[54, 562];[4, 10];[144, 18]
52;2022-01-20 13:08:44.405000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[54, 607];[4, 15];[144, 18]
53;2022-01-20 13:08:51.843000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[74, 642];[24, 10];[144, 18]
54;2022-01-20 13:09:04.442000+00:00;3873EZINO4Wf15WH;click;BUTTON;;[663, 726];[76, 4];[146, 18]
55;2022-01-20 13:13:22.596000+00:00;3873EZINO4Wf15WH;click;BUTTON;;[1452, 729];[0, 0];[0, 0]
56;2022-01-20 13:14:41.077000+00:00;3873EZINO4Wf15WH;click;DIV;;[28, 295];['', ''];['', '']
57;2022-01-20 13:14:41.915000+00:00;3873EZINO4Wf15WH;click;INPUT;checkbox;[21, 295];[7, 1];[10, 10]
58;2022-01-20 13:14:50.079000+00:00;3873EZINO4Wf15WH;click;INPUT;checkbox;[23, 127];[9, 4];[10, 10]
59;2022-01-20 13:14:55.214000+00:00;3873EZINO4Wf15WH;click;INPUT;checkbox;[20, 448];[6, 3];[10, 10]
60;2022-01-20 13:15:01.652000+00:00;3873EZINO4Wf15WH;click;INPUT;checkbox;[18, 146];[4, 3];[10, 10]
61;2022-01-20 13:15:52.095000+00:00;3873EZINO4Wf15WH;click;DIV;;[188, 219];['', ''];['', '']
62;2022-01-20 13:16:25.975000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[286, 147];[30, 7];[144, 18]
63;2022-01-20 13:16:31.754000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[290, 167];[34, 6];[144, 18]
64;2022-01-20 13:16:35.991000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[298, 191];[35, 9];[144, 18]
65;2022-01-20 13:16:42.673000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[305, 211];[33, 8];[144, 18]
66;2022-01-20 13:16:57.867000+00:00;3873EZINO4Wf15WH;click;INPUT;radio;[45, 167];[6, 3];[10, 10]
67;2022-01-20 13:17:11.416000+00:00;3873EZINO4Wf15WH;click;INPUT;radio;[41, 368];[2, 7];[10, 10]
68;2022-01-20 13:17:11.993000+00:00;3873EZINO4Wf15WH;click;INPUT;radio;[41, 368];[2, 7];[10, 10]
69;2022-01-20 13:17:23.974000+00:00;3873EZINO4Wf15WH;click;INPUT;radio;[43, 513];[4, 6];[10, 10]
70;2022-01-20 13:17:51.950000+00:00;3873EZINO4Wf15WH;click;INPUT;radio;[44, 654];[5, 7];[10, 10]
71;2022-01-20 13:18:05.324000+00:00;3873EZINO4Wf15WH;click;INPUT;radio;[48, 403];[9, 4];[10, 10]
72;2022-01-20 13:18:37.182000+00:00;3873EZINO4Wf15WH;click;INPUT;checkbox;[22, 586];[8, 7];[10, 10]
73;2022-01-20 13:18:39.210000+00:00;3873EZINO4Wf15WH;click;HTML;;[101, 726];['', ''];['', '']
74;2022-01-20 13:18:50.167000+00:00;3873EZINO4Wf15WH;click;INPUT;checkbox;[14, 623];[0, 6];[10, 10]
75;2022-01-20 13:18:51.902000+00:00;3873EZINO4Wf15WH;click;BUTTON;;[604, 713];[17, 7];[146, 18]
76;2022-01-20 13:19:42.256000+00:00;3873EZINO4Wf15WH;click;DIV;;[1444, 222];['', ''];['', '']
77;2022-01-20 13:21:51.521000+00:00;3873EZINO4Wf15WH;click;BUTTON;;[1430, 725];[0, 0];[0, 0]
78;2022-01-20 13:22:19.987000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[84, 194];[34, 8];[144, 18]
79;2022-01-20 13:22:26.095000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[74, 253];[24, 9];[144, 18]
80;2022-01-20 13:22:31.109000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[77, 287];[27, 3];[144, 18]
81;2022-01-20 13:24:59.389000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[530, 102];[27, 7];[144, 18]
82;2022-01-20 13:25:05.681000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[266, 145];[131, 11];[144, 18]
83;2022-01-20 13:25:19.902000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[161, 146];[26, 12];[144, 18]
84;2022-01-20 13:25:27.712000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[117, 181];[67, 7];[144, 18]
85;2022-01-20 13:25:56.247000+00:00;3873EZINO4Wf15WH;click;INPUT;checkbox;[58, 404];[4, 3];[10, 10]
86;2022-01-20 13:26:00.162000+00:00;3873EZINO4Wf15WH;click;INPUT;checkbox;[58, 254];[4, 5];[10, 10]
87;2022-01-20 13:26:54.268000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[93, 160];[43, 12];[144, 18]
88;2022-01-20 13:27:04.257000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[280, 157];[40, 9];[144, 18]
89;2022-01-20 13:27:11.506000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[334, 199];[37, 11];[144, 18]
90;2022-01-20 13:27:23.287000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[638, 193];[74, 5];[144, 18]
91;2022-01-20 13:27:29.176000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[609, 233];[39, 6];[144, 18]
92;2022-01-20 13:27:34.379000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[490, 260];[124, 12];[144, 18]
93;2022-01-20 13:27:48.984000+00:00;3873EZINO4Wf15WH;click;INPUT;text;[322, 276];[69, 6];[144, 18]
