;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 12:44:40.846000+00:00;4RqXe6eLMq+uomLO;click;H1;;[917, 231];['', ''];['', '']
1;2022-01-13 12:44:41.017000+00:00;4RqXe6eLMq+uomLO;click;H1;;[917, 231];['', ''];['', '']
2;2022-01-13 12:44:41.425000+00:00;4RqXe6eLMq+uomLO;click;H1;;[917, 231];['', ''];['', '']
3;2022-01-13 12:45:06.342000+00:00;4RqXe6eLMq+uomLO;click;DIV;;[884, 323];['', ''];['', '']
4;2022-01-13 12:45:08.103000+00:00;4RqXe6eLMq+uomLO;click;BUTTON;;[1578, 358];[93, 18];[105, 36]
5;2022-01-13 12:45:15.261000+00:00;4RqXe6eLMq+uomLO;click;LABEL;;[364, 324];[20, 17];[127, 24]
6;2022-01-13 12:45:15.263000+00:00;4RqXe6eLMq+uomLO;click;INPUT;radio;[364, 324];[43, 12];[14, 14]
7;2022-01-13 12:45:40.442000+00:00;4RqXe6eLMq+uomLO;click;LABEL;;[386, 490];[42, 13];[95, 24]
8;2022-01-13 12:45:40.444000+00:00;4RqXe6eLMq+uomLO;click;INPUT;radio;[386, 490];[65, 8];[14, 14]
9;2022-01-13 12:45:58.093000+00:00;4RqXe6eLMq+uomLO;click;LABEL;;[405, 741];[11, 17];[67, 36]
10;2022-01-13 12:45:58.096000+00:00;4RqXe6eLMq+uomLO;click;INPUT;radio;[405, 741];[9, 16];[10, 10]
11;2022-01-13 12:46:16.423000+00:00;4RqXe6eLMq+uomLO;click;LABEL;;[337, 618];[17, 20];[73, 36]
12;2022-01-13 12:46:16.424000+00:00;4RqXe6eLMq+uomLO;click;INPUT;radio;[337, 618];[15, 19];[10, 10]
13;2022-01-13 12:46:23.659000+00:00;4RqXe6eLMq+uomLO;click;LABEL;;[450, 492];[106, 21];[550, 24]
14;2022-01-13 12:46:23.660000+00:00;4RqXe6eLMq+uomLO;click;INPUT;radio;[450, 492];[129, 16];[14, 14]
15;2022-01-13 12:46:34.731000+00:00;4RqXe6eLMq+uomLO;click;LABEL;;[471, 502];[127, 15];[543, 24]
16;2022-01-13 12:46:34.732000+00:00;4RqXe6eLMq+uomLO;click;INPUT;checkbox;[471, 502];[150, 10];[14, 14]
17;2022-01-13 12:46:44.087000+00:00;4RqXe6eLMq+uomLO;click;LABEL;;[412, 551];[68, 12];[335, 24]
18;2022-01-13 12:46:44.088000+00:00;4RqXe6eLMq+uomLO;click;INPUT;checkbox;[412, 551];[91, 7];[14, 14]
19;2022-01-13 12:46:50.475000+00:00;4RqXe6eLMq+uomLO;click;LABEL;;[368, 528];[24, 15];[403, 24]
20;2022-01-13 12:46:50.477000+00:00;4RqXe6eLMq+uomLO;click;INPUT;checkbox;[368, 528];[47, 10];[14, 14]
21;2022-01-13 12:46:51.036000+00:00;4RqXe6eLMq+uomLO;click;DIV;;[352, 564];['', ''];['', '']
22;2022-01-13 12:46:51.594000+00:00;4RqXe6eLMq+uomLO;click;LABEL;;[351, 572];[7, 7];[584, 24]
23;2022-01-13 12:46:51.597000+00:00;4RqXe6eLMq+uomLO;click;INPUT;checkbox;[351, 572];[30, 2];[14, 14]
24;2022-01-13 12:46:58.646000+00:00;4RqXe6eLMq+uomLO;click;LABEL;;[368, 768];[24, 9];[191, 24]
25;2022-01-13 12:46:58.648000+00:00;4RqXe6eLMq+uomLO;click;INPUT;radio;[368, 768];[47, 4];[14, 14]
26;2022-01-13 12:47:07.730000+00:00;4RqXe6eLMq+uomLO;click;LABEL;;[391, 264];[47, 9];[181, 24]
27;2022-01-13 12:47:07.731000+00:00;4RqXe6eLMq+uomLO;click;INPUT;radio;[391, 264];[70, 4];[14, 14]
28;2022-01-13 12:47:09.728000+00:00;4RqXe6eLMq+uomLO;click;LABEL;;[418, 567];[74, 14];[241, 24]
29;2022-01-13 12:47:09.729000+00:00;4RqXe6eLMq+uomLO;click;INPUT;radio;[418, 567];[97, 9];[14, 14]
30;2022-01-13 12:47:23.944000+00:00;4RqXe6eLMq+uomLO;click;DIV;;[337, 674];['', ''];['', '']
31;2022-01-13 12:47:24.637000+00:00;4RqXe6eLMq+uomLO;click;INPUT;radio;[331, 673];[10, 11];[14, 14]
32;2022-01-13 12:47:36.325000+00:00;4RqXe6eLMq+uomLO;click;BUTTON;;[1861, 901];[161, 21];[192, 36]
33;2022-01-13 12:47:47.209000+00:00;4RqXe6eLMq+uomLO;click;LABEL;;[444, 798];[50, 26];[67, 36]
34;2022-01-13 12:47:47.210000+00:00;4RqXe6eLMq+uomLO;click;INPUT;radio;[444, 798];[48, 25];[10, 10]
35;2022-01-13 12:47:48.298000+00:00;4RqXe6eLMq+uomLO;click;LABEL;;[375, 785];[55, 13];[73, 36]
36;2022-01-13 12:47:48.301000+00:00;4RqXe6eLMq+uomLO;click;INPUT;radio;[375, 785];[53, 12];[10, 10]
37;2022-01-13 12:47:48.898000+00:00;4RqXe6eLMq+uomLO;click;DIV;;[632, 806];['', ''];['', '']
38;2022-01-13 12:47:59.715000+00:00;4RqXe6eLMq+uomLO;click;BUTTON;;[1806, 892];[0, 0];[0, 0]
39;2022-01-13 12:48:08.249000+00:00;4RqXe6eLMq+uomLO;click;LABEL;;[364, 267];[20, 12];[778, 24]
40;2022-01-13 12:48:08.251000+00:00;4RqXe6eLMq+uomLO;click;INPUT;radio;[364, 267];[43, 7];[14, 14]
41;2022-01-13 12:48:15.300000+00:00;4RqXe6eLMq+uomLO;click;LABEL;;[466, 299];[122, 18];[721, 24]
42;2022-01-13 12:48:15.302000+00:00;4RqXe6eLMq+uomLO;click;INPUT;radio;[466, 299];[145, 13];[14, 14]
43;2022-01-13 12:48:31.379000+00:00;4RqXe6eLMq+uomLO;click;LABEL;;[402, 491];[58, 16];[281, 24]
44;2022-01-13 12:48:40.523000+00:00;4RqXe6eLMq+uomLO;click;DIV;;[340, 571];['', ''];['', '']
45;2022-01-13 12:48:41.697000+00:00;4RqXe6eLMq+uomLO;click;INPUT;checkbox;[330, 571];[9, 13];[14, 14]
46;2022-01-13 12:48:45.692000+00:00;4RqXe6eLMq+uomLO;click;INPUT;checkbox;[331, 597];[10, 13];[14, 14]
47;2022-01-13 12:48:49.293000+00:00;4RqXe6eLMq+uomLO;click;INPUT;checkbox;[332, 615];[11, 5];[14, 14]
48;2022-01-13 12:48:50.998000+00:00;4RqXe6eLMq+uomLO;click;INPUT;checkbox;[334, 648];[13, 12];[14, 14]
49;2022-01-13 12:48:53.569000+00:00;4RqXe6eLMq+uomLO;click;INPUT;checkbox;[326, 512];[5, 6];[14, 14]
50;2022-01-13 12:48:54.048000+00:00;4RqXe6eLMq+uomLO;click;INPUT;checkbox;[330, 493];[9, 13];[14, 14]
51;2022-01-13 12:48:58.344000+00:00;4RqXe6eLMq+uomLO;click;INPUT;checkbox;[335, 492];[14, 12];[14, 14]
52;2022-01-13 12:49:00.622000+00:00;4RqXe6eLMq+uomLO;click;LABEL;;[485, 515];[141, 14];[299, 24]
53;2022-01-13 12:49:00.624000+00:00;4RqXe6eLMq+uomLO;click;INPUT;checkbox;[485, 515];[164, 9];[14, 14]
54;2022-01-13 12:49:17.083000+00:00;4RqXe6eLMq+uomLO;click;INPUT;text;[521, 309];[8, 10];[205, 26]
55;2022-01-13 12:54:12.386000+00:00;4RqXe6eLMq+uomLO;click;DIV;;[644, 339];['', ''];['', '']
56;2022-01-13 12:54:12.949000+00:00;4RqXe6eLMq+uomLO;click;INPUT;text;[637, 370];[124, 11];[205, 26]
57;2022-01-13 12:54:13.134000+00:00;4RqXe6eLMq+uomLO;click;INPUT;text;[637, 370];[124, 11];[205, 26]
58;2022-01-13 12:55:35.977000+00:00;4RqXe6eLMq+uomLO;click;LABEL;;[578, 554];[218, 21];[284, 24]
59;2022-01-13 12:55:36.816000+00:00;4RqXe6eLMq+uomLO;click;LABEL;;[501, 543];[141, 10];[284, 24]
60;2022-01-13 12:55:37.461000+00:00;4RqXe6eLMq+uomLO;click;LABEL;;[412, 536];[52, 3];[284, 24]
61;2022-01-13 12:55:38.516000+00:00;4RqXe6eLMq+uomLO;click;INPUT;checkbox;[349, 567];[12, 3];[14, 14]
62;2022-01-13 12:55:40.445000+00:00;4RqXe6eLMq+uomLO;click;DIV;;[354, 604];['', ''];['', '']
63;2022-01-13 12:55:40.996000+00:00;4RqXe6eLMq+uomLO;click;INPUT;checkbox;[346, 603];[9, 13];[14, 14]
64;2022-01-13 12:55:44.623000+00:00;4RqXe6eLMq+uomLO;click;INPUT;checkbox;[338, 626];[1, 10];[14, 14]
65;2022-01-13 12:55:47.452000+00:00;4RqXe6eLMq+uomLO;click;INPUT;checkbox;[350, 552];[13, 14];[14, 14]
66;2022-01-13 12:55:55.963000+00:00;4RqXe6eLMq+uomLO;click;INPUT;checkbox;[349, 534];[12, 13];[14, 14]
67;2022-01-13 12:55:57.049000+00:00;4RqXe6eLMq+uomLO;click;INPUT;checkbox;[346, 551];[9, 4];[14, 14]
68;2022-01-13 12:56:02.766000+00:00;4RqXe6eLMq+uomLO;click;INPUT;checkbox;[350, 577];[13, 4];[14, 14]
69;2022-01-13 12:56:04.462000+00:00;4RqXe6eLMq+uomLO;click;INPUT;checkbox;[348, 607];[11, 8];[14, 14]
70;2022-01-13 12:56:19.138000+00:00;4RqXe6eLMq+uomLO;click;LABEL;;[421, 643];[61, 16];[384, 24]
71;2022-01-13 12:56:19.139000+00:00;4RqXe6eLMq+uomLO;click;INPUT;checkbox;[421, 643];[100, 642];[14, 14]
72;2022-01-13 12:56:28.699000+00:00;4RqXe6eLMq+uomLO;click;INPUT;checkbox;[341, 448];[4, 9];[14, 14]
73;2022-01-13 12:56:36.129000+00:00;4RqXe6eLMq+uomLO;click;INPUT;checkbox;[352, 519];[15, 2];[14, 14]
74;2022-01-13 12:56:39.669000+00:00;4RqXe6eLMq+uomLO;click;INPUT;checkbox;[347, 421];[10, 8];[14, 14]
75;2022-01-13 12:57:02.006000+00:00;4RqXe6eLMq+uomLO;click;LABEL;;[388, 404];[28, 13];[332, 24]
76;2022-01-13 12:57:02.704000+00:00;4RqXe6eLMq+uomLO;click;LABEL;;[366, 406];[6, 15];[332, 24]
77;2022-01-13 12:57:03.221000+00:00;4RqXe6eLMq+uomLO;click;INPUT;checkbox;[351, 410];[14, 14];[14, 14]
78;2022-01-13 12:57:05.008000+00:00;4RqXe6eLMq+uomLO;click;INPUT;checkbox;[348, 432];[11, 10];[14, 14]
79;2022-01-13 12:57:12.864000+00:00;4RqXe6eLMq+uomLO;click;INPUT;checkbox;[338, 482];[1, 8];[14, 14]
80;2022-01-13 12:57:16.668000+00:00;4RqXe6eLMq+uomLO;click;INPUT;checkbox;[349, 513];[12, 13];[14, 14]
81;2022-01-13 12:57:17.556000+00:00;4RqXe6eLMq+uomLO;click;INPUT;checkbox;[346, 486];[9, 12];[14, 14]
82;2022-01-13 12:57:26.426000+00:00;4RqXe6eLMq+uomLO;click;DIV;;[342, 505];['', ''];['', '']
83;2022-01-13 12:57:27.665000+00:00;4RqXe6eLMq+uomLO;click;INPUT;checkbox;[346, 515];[9, 8];[14, 14]
84;2022-01-13 12:57:30.700000+00:00;4RqXe6eLMq+uomLO;click;INPUT;checkbox;[348, 542];[11, 9];[14, 14]
85;2022-01-13 12:57:39.102000+00:00;4RqXe6eLMq+uomLO;click;INPUT;checkbox;[350, 567];[13, 8];[14, 14]
