;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 12:43:43.544000+00:00;4Skle0ZKSXgpaLKQ;click;H1;;[1108, 252];['', ''];['', '']
1;2022-01-13 12:44:09.346000+00:00;4Skle0ZKSXgpaLKQ;click;BUTTON;;[1873, 357];[68, 17];[105, 36]
2;2022-01-13 12:44:18.528000+00:00;4Skle0ZKSXgpaLKQ;click;NULL;;[2234, 627];['', ''];['', '']
3;2022-01-13 12:44:22.480000+00:00;4Skle0ZKSXgpaLKQ;click;DIV;;[1250, 201];['', ''];['', '']
4;2022-01-13 12:44:23.015000+00:00;4Skle0ZKSXgpaLKQ;click;DIV;;[1209, 203];['', ''];['', '']
5;2022-01-13 12:44:24.466000+00:00;4Skle0ZKSXgpaLKQ;click;DIV;;[1674, 199];['', ''];['', '']
6;2022-01-13 12:44:24.990000+00:00;4Skle0ZKSXgpaLKQ;click;DIV;;[1673, 193];['', ''];['', '']
7;2022-01-13 12:44:27.852000+00:00;4Skle0ZKSXgpaLKQ;click;LABEL;;[774, 265];[110, 10];[181, 24]
8;2022-01-13 12:44:27.853000+00:00;4Skle0ZKSXgpaLKQ;click;INPUT;radio;[774, 265];[133, 5];[14, 14]
9;2022-01-13 12:44:30.048000+00:00;4Skle0ZKSXgpaLKQ;click;INPUT;radio;[683, 290];[42, 4];[14, 14]
10;2022-01-13 12:44:30.048000+00:00;4Skle0ZKSXgpaLKQ;click;LABEL;;[683, 290];[19, 9];[95, 24]
11;2022-01-13 12:44:30.479000+00:00;4Skle0ZKSXgpaLKQ;click;INPUT;radio;[730, 273];[89, 13];[14, 14]
12;2022-01-13 12:44:30.479000+00:00;4Skle0ZKSXgpaLKQ;click;LABEL;;[730, 273];[66, 18];[181, 24]
13;2022-01-13 12:44:32.383000+00:00;4Skle0ZKSXgpaLKQ;click;DIV;;[1148, 489];['', ''];['', '']
14;2022-01-13 12:44:32.869000+00:00;4Skle0ZKSXgpaLKQ;click;DIV;;[1194, 507];['', ''];['', '']
15;2022-01-13 12:44:33.743000+00:00;4Skle0ZKSXgpaLKQ;click;DIV;;[1280, 497];['', ''];['', '']
16;2022-01-13 12:44:34.142000+00:00;4Skle0ZKSXgpaLKQ;click;DIV;;[1476, 506];['', ''];['', '']
17;2022-01-13 12:44:36.493000+00:00;4Skle0ZKSXgpaLKQ;click;NULL;;[606, 463];['', ''];['', '']
18;2022-01-13 12:44:37.467000+00:00;4Skle0ZKSXgpaLKQ;click;DIV;;[768, 495];['', ''];['', '']
19;2022-01-13 12:44:38.601000+00:00;4Skle0ZKSXgpaLKQ;click;DIV;;[1480, 504];['', ''];['', '']
20;2022-01-13 12:44:39.197000+00:00;4Skle0ZKSXgpaLKQ;click;DIV;;[1489, 504];['', ''];['', '']
21;2022-01-13 12:44:40.948000+00:00;4Skle0ZKSXgpaLKQ;click;LABEL;;[711, 590];[47, 11];[95, 24]
22;2022-01-13 12:44:40.949000+00:00;4Skle0ZKSXgpaLKQ;click;INPUT;radio;[711, 590];[70, 6];[14, 14]
23;2022-01-13 12:44:48.111000+00:00;4Skle0ZKSXgpaLKQ;click;DIV;;[1235, 482];['', ''];['', '']
24;2022-01-13 12:44:57.674000+00:00;4Skle0ZKSXgpaLKQ;click;NULL;;[351, 710];['', ''];['', '']
25;2022-01-13 12:44:59.962000+00:00;4Skle0ZKSXgpaLKQ;click;DIV;;[1507, 487];['', ''];['', '']
26;2022-01-13 12:45:00.343000+00:00;4Skle0ZKSXgpaLKQ;click;DIV;;[1507, 487];['', ''];['', '']
27;2022-01-13 12:46:23.850000+00:00;4Skle0ZKSXgpaLKQ;click;NULL;;[2797, 862];['', ''];['', '']
28;2022-01-13 12:46:45.255000+00:00;4Skle0ZKSXgpaLKQ;click;LABEL;;[798, 858];[17, 32];[72, 35]
29;2022-01-13 12:46:45.255000+00:00;4Skle0ZKSXgpaLKQ;click;INPUT;radio;[798, 858];[17, 33];[12, 12]
30;2022-01-13 12:46:48.497000+00:00;4Skle0ZKSXgpaLKQ;click;LABEL;;[890, 1026];[34, 19];[65, 35]
31;2022-01-13 12:46:48.497000+00:00;4Skle0ZKSXgpaLKQ;click;INPUT;radio;[890, 1026];[34, 20];[12, 12]
32;2022-01-13 12:46:56.968000+00:00;4Skle0ZKSXgpaLKQ;click;INPUT;radio;[1081, 791];[298, 7];[13, 13]
33;2022-01-13 12:46:56.968000+00:00;4Skle0ZKSXgpaLKQ;click;LABEL;;[1081, 791];[275, 12];[550, 24]
34;2022-01-13 12:46:57.324000+00:00;4Skle0ZKSXgpaLKQ;click;INPUT;radio;[1043, 817];[260, 7];[13, 13]
35;2022-01-13 12:46:57.324000+00:00;4Skle0ZKSXgpaLKQ;click;LABEL;;[1043, 817];[237, 12];[550, 24]
36;2022-01-13 12:46:57.728000+00:00;4Skle0ZKSXgpaLKQ;click;INPUT;radio;[1057, 844];[275, 8];[13, 13]
37;2022-01-13 12:46:57.728000+00:00;4Skle0ZKSXgpaLKQ;click;LABEL;;[1057, 844];[252, 13];[661, 24]
38;2022-01-13 12:46:58.116000+00:00;4Skle0ZKSXgpaLKQ;click;LABEL;;[1062, 784];[256, 5];[550, 24]
39;2022-01-13 12:46:58.116000+00:00;4Skle0ZKSXgpaLKQ;click;INPUT;radio;[1062, 784];[279, 0];[13, 13]
40;2022-01-13 12:47:01.023000+00:00;4Skle0ZKSXgpaLKQ;click;DIV;;[1072, 744];['', ''];['', '']
41;2022-01-13 12:47:01.404000+00:00;4Skle0ZKSXgpaLKQ;click;DIV;;[1218, 754];['', ''];['', '']
42;2022-01-13 12:47:03.282000+00:00;4Skle0ZKSXgpaLKQ;click;DIV;;[982, 735];['', ''];['', '']
