;time;token;event;nodeName;global_position;local_position;local_dimensions;nodeType
0;2022-01-13 12:43:33.831000+00:00;5TvQCOwFyJkBKnis;click;H1;[773, 225];['', ''];['', ''];
1;2022-01-13 12:43:40.056000+00:00;5TvQCOwFyJkBKnis;click;HTML;[675, 602];['', ''];['', ''];
2;2022-01-13 12:43:42.774000+00:00;5TvQCOwFyJkBKnis;click;BUTTON;[1556, 368];[71, 28];[105, 36];
3;2022-01-13 12:43:54.772000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[332, 261];[11, 1];[14, 14];radio
4;2022-01-13 12:43:56.071000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[332, 315];[11, 3];[14, 14];radio
5;2022-01-13 12:43:57.087000+00:00;5TvQCOwFyJkBKnis;click;DIV;[326, 276];['', ''];['', ''];
6;2022-01-13 12:43:57.647000+00:00;5TvQCOwFyJkBKnis;click;DIV;[324, 279];['', ''];['', ''];
7;2022-01-13 12:43:58.099000+00:00;5TvQCOwFyJkBKnis;click;DIV;[324, 275];['', ''];['', ''];
8;2022-01-13 12:43:58.665000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[325, 270];[4, 10];[14, 14];radio
9;2022-01-13 12:44:26.680000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[327, 486];[6, 2];[14, 14];radio
10;2022-01-13 12:44:37.135000+00:00;5TvQCOwFyJkBKnis;click;LABEL;[352, 540];[32, 14];[73, 36];
11;2022-01-13 12:44:37.136000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[352, 540];[32, 15];[13, 13];radio
12;2022-01-13 12:44:40.785000+00:00;5TvQCOwFyJkBKnis;click;LABEL;[349, 727];[29, 21];[73, 36];
13;2022-01-13 12:44:40.786000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[349, 727];[29, 22];[13, 13];radio
14;2022-01-13 12:44:53.560000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[328, 495];[7, 5];[14, 14];radio
15;2022-01-13 12:45:09.613000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[330, 547];[9, 10];[14, 14];checkbox
16;2022-01-13 12:45:10.712000+00:00;5TvQCOwFyJkBKnis;click;DIV;[337, 529];['', ''];['', ''];
17;2022-01-13 12:45:11.738000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[326, 523];[5, 12];[14, 14];checkbox
18;2022-01-13 12:45:21.975000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[324, 568];[3, 5];[14, 14];checkbox
19;2022-01-13 12:45:35.491000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[328, 817];[7, 8];[14, 14];radio
20;2022-01-13 12:46:03.408000+00:00;5TvQCOwFyJkBKnis;click;BUTTON;[1728, 943];[28, 17];[192, 36];
21;2022-01-13 12:46:29.257000+00:00;5TvQCOwFyJkBKnis;click;NULL;[36, 555];['', ''];['', ''];
22;2022-01-13 12:46:31.505000+00:00;5TvQCOwFyJkBKnis;click;BUTTON;[1782, 952];[1782, 2019];[0, 0];
23;2022-01-13 12:46:43.500000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[332, 293];[11, 7];[14, 14];radio
24;2022-01-13 12:47:22.394000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[325, 365];[4, 7];[14, 14];checkbox
25;2022-01-13 12:47:26.989000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[329, 421];[8, 11];[14, 14];checkbox
26;2022-01-13 12:47:28.025000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[329, 443];[8, 7];[14, 14];checkbox
27;2022-01-13 12:47:34.248000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[329, 443];[8, 7];[14, 14];checkbox
28;2022-01-13 12:47:41.752000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[331, 391];[10, 7];[14, 14];checkbox
29;2022-01-13 12:47:42.621000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[331, 419];[10, 9];[14, 14];checkbox
30;2022-01-13 12:50:14.494000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[528, 321];[15, 12];[185, 26];text
31;2022-01-13 12:50:52.305000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[642, 388];[129, 8];[185, 26];text
32;2022-01-13 12:52:29.583000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[595, 467];[82, 16];[185, 26];text
33;2022-01-13 12:52:51.835000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[597, 561];[84, 15];[185, 26];text
34;2022-01-13 12:53:49.644000+00:00;5TvQCOwFyJkBKnis;click;DIV;[630, 491];['', ''];['', ''];
35;2022-01-13 12:53:50.876000+00:00;5TvQCOwFyJkBKnis;click;DIV;[630, 575];['', ''];['', ''];
36;2022-01-13 12:53:51.436000+00:00;5TvQCOwFyJkBKnis;click;DIV;[377, 557];['', ''];['', ''];
37;2022-01-13 12:53:52.469000+00:00;5TvQCOwFyJkBKnis;click;NULL;[201, 361];['', ''];['', ''];
38;2022-01-13 12:54:33.617000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[556, 631];[43, 14];[185, 26];text
39;2022-01-13 12:55:57.589000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[569, 830];[56, 23];[185, 26];text
40;2022-01-13 12:57:16.268000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[547, 587];[34, -1];[185, 26];text
41;2022-01-13 12:57:36.141000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[593, 290];[80, 10];[185, 26];text
42;2022-01-13 12:57:40.344000+00:00;5TvQCOwFyJkBKnis;click;DIV;[401, 357];['', ''];['', ''];
43;2022-01-13 12:57:42.073000+00:00;5TvQCOwFyJkBKnis;click;DIV;[414, 462];['', ''];['', ''];
44;2022-01-13 12:57:45.331000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[674, 526];[161, 9];[185, 26];text
45;2022-01-13 12:58:01.167000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[600, 372];[87, 21];[185, 26];text
46;2022-01-13 12:58:08.842000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[564, 469];[51, 23];[185, 26];text
47;2022-01-13 12:58:17.126000+00:00;5TvQCOwFyJkBKnis;click;UL;[856, 486];['', ''];['', ''];
48;2022-01-13 12:58:18.690000+00:00;5TvQCOwFyJkBKnis;click;DIV;[730, 521];['', ''];['', ''];
49;2022-01-13 12:58:46.187000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[345, 473];[8, 9];[14, 14];checkbox
50;2022-01-13 12:58:51.349000+00:00;5TvQCOwFyJkBKnis;click;DIV;[345, 488];['', ''];['', ''];
51;2022-01-13 12:58:51.776000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[345, 496];[8, 6];[14, 14];checkbox
52;2022-01-13 12:58:57.335000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[342, 452];[5, 14];[14, 14];checkbox
53;2022-01-13 12:58:58.136000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[342, 426];[5, 14];[14, 14];checkbox
54;2022-01-13 12:59:04.990000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[346, 607];[9, 8];[14, 14];checkbox
55;2022-01-13 12:59:06.332000+00:00;5TvQCOwFyJkBKnis;click;DIV;[336, 638];['', ''];['', ''];
56;2022-01-13 12:59:07.188000+00:00;5TvQCOwFyJkBKnis;click;DIV;[337, 617];['', ''];['', ''];
57;2022-01-13 12:59:07.716000+00:00;5TvQCOwFyJkBKnis;click;LI;[330, 629];['', ''];['', ''];
58;2022-01-13 12:59:08.365000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[345, 634];[8, 9];[14, 14];checkbox
59;2022-01-13 12:59:23.229000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[343, 758];[6, 7];[14, 14];checkbox
60;2022-01-13 12:59:35.475000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[345, 673];[8, 0];[14, 14];checkbox
61;2022-01-13 12:59:41.875000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[347, 567];[10, 7];[14, 14];checkbox
62;2022-01-13 12:59:42.923000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[344, 591];[7, 5];[14, 14];checkbox
63;2022-01-13 12:59:45.032000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[341, 623];[4, 11];[14, 14];checkbox
64;2022-01-13 12:59:45.984000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[343, 648];[6, 10];[14, 14];checkbox
65;2022-01-13 12:59:49.111000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[340, 674];[3, 10];[14, 14];checkbox
66;2022-01-13 13:00:02.253000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[348, 554];[11, 7];[14, 14];checkbox
67;2022-01-13 13:00:10.352000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[340, 601];[3, 2];[14, 14];checkbox
68;2022-01-13 13:00:12.593000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[347, 628];[10, 3];[14, 14];checkbox
69;2022-01-13 13:00:35.134000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[343, 576];[6, 3];[14, 14];checkbox
70;2022-01-13 13:00:41.393000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[344, 539];[7, 5];[14, 14];checkbox
71;2022-01-13 13:00:42.629000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[345, 567];[8, 7];[14, 14];checkbox
72;2022-01-13 13:00:46.511000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[342, 619];[5, 7];[14, 14];checkbox
73;2022-01-13 13:00:47.797000+00:00;5TvQCOwFyJkBKnis;click;DIV;[351, 632];['', ''];['', ''];
74;2022-01-13 13:01:00.134000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[347, 542];[10, 4];[14, 14];checkbox
75;2022-01-13 13:01:18.267000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[343, 625];[6, 4];[14, 14];checkbox
76;2022-01-13 13:01:22.981000+00:00;5TvQCOwFyJkBKnis;click;DIV;[469, 621];['', ''];['', ''];
77;2022-01-13 13:01:44.516000+00:00;5TvQCOwFyJkBKnis;click;LI;[373, 342];['', ''];['', ''];
78;2022-01-13 13:02:19.637000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[344, 556];[7, 9];[14, 14];checkbox
79;2022-01-13 13:02:31.720000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[339, 582];[2, 9];[14, 14];checkbox
80;2022-01-13 13:02:45.046000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[345, 715];[8, 7];[14, 14];checkbox
81;2022-01-13 13:02:45.925000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[338, 738];[1, 4];[14, 14];checkbox
82;2022-01-13 13:03:00.522000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[344, 787];[7, 1];[14, 14];checkbox
83;2022-01-13 13:04:30.916000+00:00;5TvQCOwFyJkBKnis;click;DIV;[519, 196];['', ''];['', ''];
84;2022-01-13 13:04:47.628000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[615, 472];[102, 26];[185, 26];text
85;2022-01-13 13:04:55.950000+00:00;5TvQCOwFyJkBKnis;click;LABEL;[386, 615];[42, 6];[51, 24];
86;2022-01-13 13:04:55.951000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[386, 615];[65, 1];[14, 14];radio
87;2022-01-13 13:05:04.166000+00:00;5TvQCOwFyJkBKnis;click;LABEL;[430, 641];[36, 11];[66, 36];
88;2022-01-13 13:05:04.167000+00:00;5TvQCOwFyJkBKnis;click;INPUT;[430, 641];[36, 12];[13, 13];radio
