;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-20 12:53:05.771000+00:00;604OCjtkvTGI9lHv;click;H1;;[1029, 252];['', ''];['', '']
1;2022-01-20 12:53:05.931000+00:00;604OCjtkvTGI9lHv;click;H1;;[1029, 252];['', ''];['', '']
2;2022-01-20 12:53:11.040000+00:00;604OCjtkvTGI9lHv;click;BUTTON;;[1538, 360];[53, 20];[105, 36]
3;2022-01-20 12:53:12.024000+00:00;604OCjtkvTGI9lHv;click;BUTTON;;[1538, 360];[53, 20];[105, 36]
4;2022-01-20 12:53:12.182000+00:00;604OCjtkvTGI9lHv;click;BUTTON;;[1538, 360];[53, 20];[105, 36]
5;2022-01-20 12:53:12.354000+00:00;604OCjtkvTGI9lHv;click;BUTTON;;[1538, 360];[53, 20];[105, 36]
6;2022-01-20 12:53:21.408000+00:00;604OCjtkvTGI9lHv;click;INPUT;text;[599, 249];[86, 10];[205, 26]
7;2022-01-20 12:54:27.823000+00:00;604OCjtkvTGI9lHv;click;INPUT;text;[591, 246];[78, 7];[205, 26]
8;2022-01-20 12:54:32.844000+00:00;604OCjtkvTGI9lHv;click;DIV;;[448, 263];['', ''];['', '']
9;2022-01-20 12:54:34.036000+00:00;604OCjtkvTGI9lHv;click;DIV;;[430, 254];['', ''];['', '']
10;2022-01-20 12:54:34.238000+00:00;604OCjtkvTGI9lHv;click;DIV;;[430, 254];['', ''];['', '']
11;2022-01-20 12:54:35.351000+00:00;604OCjtkvTGI9lHv;click;DIV;;[894, 258];['', ''];['', '']
12;2022-01-20 12:54:35.712000+00:00;604OCjtkvTGI9lHv;click;DIV;;[896, 258];['', ''];['', '']
13;2022-01-20 12:54:35.936000+00:00;604OCjtkvTGI9lHv;click;DIV;;[896, 258];['', ''];['', '']
14;2022-01-20 12:54:36.270000+00:00;604OCjtkvTGI9lHv;click;DIV;;[896, 258];['', ''];['', '']
15;2022-01-20 12:54:36.511000+00:00;604OCjtkvTGI9lHv;click;DIV;;[896, 258];['', ''];['', '']
16;2022-01-20 12:54:37.011000+00:00;604OCjtkvTGI9lHv;click;DIV;;[896, 258];['', ''];['', '']
