;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 12:44:35.574000+00:00;83VBgcWZZGr3C79z;click;H1;;[543, 253];['', ''];['', '']
1;2022-01-13 12:45:06.552000+00:00;83VBgcWZZGr3C79z;click;DIV;;[1075, 346];['', ''];['', '']
2;2022-01-13 12:45:07.522000+00:00;83VBgcWZZGr3C79z;click;BUTTON;;[1349, 338];[56, -1];[104, 36]
3;2022-01-13 12:45:14.864000+00:00;83VBgcWZZGr3C79z;click;INPUT;radio;[143, 265];[14, 6];[14, 14]
4;2022-01-13 12:45:15.989000+00:00;83VBgcWZZGr3C79z;click;DIV;;[136, 283];['', ''];['', '']
5;2022-01-13 12:45:17.139000+00:00;83VBgcWZZGr3C79z;click;INPUT;radio;[135, 291];[6, 5];[14, 14]
6;2022-01-13 12:45:18.311000+00:00;83VBgcWZZGr3C79z;click;INPUT;radio;[139, 273];[10, 14];[14, 14]
7;2022-01-13 12:45:39.689000+00:00;83VBgcWZZGr3C79z;click;INPUT;radio;[0, 0];[0, 0];[14, 14]
8;2022-01-13 12:45:39.975000+00:00;83VBgcWZZGr3C79z;click;INPUT;radio;[0, 0];[0, 0];[14, 14]
9;2022-01-13 12:45:40.495000+00:00;83VBgcWZZGr3C79z;click;INPUT;radio;[0, 0];[0, 0];[14, 14]
10;2022-01-13 12:45:40.717000+00:00;83VBgcWZZGr3C79z;click;INPUT;radio;[0, 0];[0, 0];[14, 14]
11;2022-01-13 12:45:51.551000+00:00;83VBgcWZZGr3C79z;click;INPUT;radio;[139, 252];[10, 8];[14, 14]
12;2022-01-13 12:45:59.583000+00:00;83VBgcWZZGr3C79z;click;LABEL;;[160, 444];[32, 11];[73, 36]
13;2022-01-13 12:45:59.585000+00:00;83VBgcWZZGr3C79z;click;INPUT;radio;[160, 444];[32, 12];[13, 13]
14;2022-01-13 12:46:30.480000+00:00;83VBgcWZZGr3C79z;click;LABEL;;[230, 338];[28, 14];[66, 36]
15;2022-01-13 12:46:30.483000+00:00;83VBgcWZZGr3C79z;click;INPUT;radio;[230, 338];[28, 15];[13, 13]
16;2022-01-13 12:46:34.058000+00:00;83VBgcWZZGr3C79z;click;LABEL;;[148, 348];[20, 24];[73, 36]
17;2022-01-13 12:46:34.060000+00:00;83VBgcWZZGr3C79z;click;INPUT;radio;[148, 348];[20, 25];[13, 13]
18;2022-01-13 12:46:37.077000+00:00;83VBgcWZZGr3C79z;click;LABEL;;[237, 334];[35, 10];[66, 36]
19;2022-01-13 12:46:37.079000+00:00;83VBgcWZZGr3C79z;click;INPUT;radio;[237, 334];[35, 11];[13, 13]
20;2022-01-13 12:46:57.068000+00:00;83VBgcWZZGr3C79z;click;LABEL;;[181, 521];[53, 17];[73, 36]
21;2022-01-13 12:46:57.071000+00:00;83VBgcWZZGr3C79z;click;INPUT;radio;[181, 521];[53, 18];[13, 13]
22;2022-01-13 12:47:26.529000+00:00;83VBgcWZZGr3C79z;click;INPUT;radio;[137, 382];[8, 3];[14, 14]
23;2022-01-13 12:48:21.710000+00:00;83VBgcWZZGr3C79z;click;INPUT;checkbox;[136, 450];[7, 4];[14, 14]
24;2022-01-13 12:48:42.998000+00:00;83VBgcWZZGr3C79z;click;INPUT;radio;[135, 522];[6, 9];[14, 14]
25;2022-01-13 12:50:01.721000+00:00;83VBgcWZZGr3C79z;click;BUTTON;;[1444, 682];[129, 0];[192, 36]
26;2022-01-13 12:51:47.797000+00:00;83VBgcWZZGr3C79z;click;BUTTON;;[1456, 689];[1456, 1999];[0, 0]
27;2022-01-13 12:52:59.392000+00:00;83VBgcWZZGr3C79z;click;INPUT;radio;[136, 243];[6, 9];[14, 14]
28;2022-01-13 12:53:00.098000+00:00;83VBgcWZZGr3C79z;click;INPUT;radio;[136, 267];[7, 7];[14, 14]
29;2022-01-13 12:53:01.650000+00:00;83VBgcWZZGr3C79z;click;INPUT;radio;[140, 235];[11, 1];[14, 14]
30;2022-01-13 12:53:03.729000+00:00;83VBgcWZZGr3C79z;click;DIV;;[658, 177];['', ''];['', '']
31;2022-01-13 12:53:08.446000+00:00;83VBgcWZZGr3C79z;click;NULL;;[139, 265];['', ''];['', '']
32;2022-01-13 12:53:08.843000+00:00;83VBgcWZZGr3C79z;click;INPUT;radio;[139, 265];[10, 6];[14, 14]
33;2022-01-13 12:53:10.031000+00:00;83VBgcWZZGr3C79z;click;INPUT;radio;[137, 243];[8, 9];[14, 14]
34;2022-01-13 12:53:32.733000+00:00;83VBgcWZZGr3C79z;click;LABEL;;[474, 284];[322, 3];[721, 24]
35;2022-01-13 12:53:35.580000+00:00;83VBgcWZZGr3C79z;click;DIV;;[619, 332];['', ''];['', '']
36;2022-01-13 12:53:38.607000+00:00;83VBgcWZZGr3C79z;click;INPUT;radio;[135, 291];[6, 5];[14, 14]
37;2022-01-13 12:54:07.487000+00:00;83VBgcWZZGr3C79z;click;INPUT;checkbox;[140, 242];[10, 6];[14, 14]
38;2022-01-13 12:54:14.316000+00:00;83VBgcWZZGr3C79z;click;INPUT;checkbox;[137, 317];[8, 3];[14, 14]
39;2022-01-13 12:54:15.223000+00:00;83VBgcWZZGr3C79z;click;INPUT;checkbox;[137, 317];[8, 3];[14, 14]
40;2022-01-13 12:54:23.208000+00:00;83VBgcWZZGr3C79z;click;INPUT;checkbox;[143, 345];[14, 5];[14, 14]
41;2022-01-13 12:54:26.210000+00:00;83VBgcWZZGr3C79z;click;INPUT;checkbox;[140, 371];[10, 5];[14, 14]
42;2022-01-13 12:54:31.781000+00:00;83VBgcWZZGr3C79z;click;INPUT;checkbox;[132, 371];[2, 5];[14, 14]
43;2022-01-13 12:54:40.533000+00:00;83VBgcWZZGr3C79z;click;DIV;;[1031, 260];['', ''];['', '']
44;2022-01-13 12:55:12.244000+00:00;83VBgcWZZGr3C79z;click;INPUT;checkbox;[133, 73];[4, 8];[14, 14]
45;2022-01-13 12:55:19.607000+00:00;83VBgcWZZGr3C79z;click;INPUT;checkbox;[137, 149];[8, 6];[14, 14]
46;2022-01-13 12:55:28.360000+00:00;83VBgcWZZGr3C79z;click;INPUT;checkbox;[139, 154];[10, 11];[14, 14]
47;2022-01-13 12:56:01.492000+00:00;83VBgcWZZGr3C79z;click;DIV;;[117, 137];['', ''];['', '']
48;2022-01-13 12:56:38.148000+00:00;83VBgcWZZGr3C79z;click;INPUT;checkbox;[135, 165];[6, 7];[14, 14]
49;2022-01-13 12:57:12.252000+00:00;83VBgcWZZGr3C79z;click;INPUT;text;[454, 593];[133, 19];[185, 26]
50;2022-01-13 12:57:31.974000+00:00;83VBgcWZZGr3C79z;click;INPUT;text;[349, 461];[28, 7];[185, 26]
51;2022-01-13 12:57:48.957000+00:00;83VBgcWZZGr3C79z;click;INPUT;text;[410, 322];[89, 9];[185, 26]
52;2022-01-13 12:57:55.435000+00:00;83VBgcWZZGr3C79z;click;INPUT;text;[408, 395];[87, 11];[185, 26]
53;2022-01-13 12:58:11.107000+00:00;83VBgcWZZGr3C79z;click;INPUT;text;[395, 234];[74, 16];[185, 26]
54;2022-01-13 12:58:43.811000+00:00;83VBgcWZZGr3C79z;click;DIV;;[191, 596];['', ''];['', '']
55;2022-01-13 12:59:32.764000+00:00;83VBgcWZZGr3C79z;click;INPUT;text;[444, 167];[124, 20];[185, 26]
56;2022-01-13 12:59:44.976000+00:00;83VBgcWZZGr3C79z;click;INPUT;text;[472, 235];[152, 17];[185, 26]
57;2022-01-13 12:59:50.585000+00:00;83VBgcWZZGr3C79z;click;INPUT;text;[467, 97];[146, 22];[185, 26]
58;2022-01-13 13:01:02.194000+00:00;83VBgcWZZGr3C79z;click;INPUT;text;[334, 327];[13, 14];[185, 26]
59;2022-01-13 13:01:27.324000+00:00;83VBgcWZZGr3C79z;click;INPUT;checkbox;[152, 269];[6, 8];[14, 14]
60;2022-01-13 13:01:43.743000+00:00;83VBgcWZZGr3C79z;click;INPUT;checkbox;[152, 221];[7, 12];[14, 14]
61;2022-01-13 13:01:49.701000+00:00;83VBgcWZZGr3C79z;click;NULL;;[1502, 169];['', ''];['', '']
62;2022-01-13 13:02:22.995000+00:00;83VBgcWZZGr3C79z;click;HTML;;[1535, 189];['', ''];['', '']
63;2022-01-13 13:02:26.999000+00:00;83VBgcWZZGr3C79z;click;DIV;;[188, 480];['', ''];['', '']
64;2022-01-13 13:02:41.368000+00:00;83VBgcWZZGr3C79z;click;DIV;;[269, 337];['', ''];['', '']
65;2022-01-13 13:03:05.041000+00:00;83VBgcWZZGr3C79z;click;INPUT;checkbox;[153, 540];[8, 10];[14, 14]
66;2022-01-13 13:03:15.866000+00:00;83VBgcWZZGr3C79z;click;INPUT;checkbox;[149, 548];[4, 3];[14, 14]
67;2022-01-13 13:03:38.031000+00:00;83VBgcWZZGr3C79z;click;INPUT;checkbox;[155, 549];[10, 4];[14, 14]
68;2022-01-13 13:03:56.434000+00:00;83VBgcWZZGr3C79z;click;DIV;;[160, 625];['', ''];['', '']
69;2022-01-13 13:03:57.598000+00:00;83VBgcWZZGr3C79z;click;INPUT;checkbox;[150, 624];[5, 0];[14, 14]
