;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 12:44:02.683000+00:00;83fxMv7kSQpv8n9E;click;BUTTON;;[1277, 362];[38, 23];[110, 36]
1;2022-01-13 12:44:38.317000+00:00;83fxMv7kSQpv8n9E;click;DIV;;[98, 173];['', ''];['', '']
2;2022-01-13 12:44:39.515000+00:00;83fxMv7kSQpv8n9E;click;DIV;;[103, 163];['', ''];['', '']
3;2022-01-13 12:44:40.436000+00:00;83fxMv7kSQpv8n9E;click;INPUT;radio;[100, 159];[10, 8];[14, 14]
4;2022-01-13 12:45:03.617000+00:00;83fxMv7kSQpv8n9E;click;LABEL;;[194, 402];[82, 10];[99, 24]
5;2022-01-13 12:45:03.618000+00:00;83fxMv7kSQpv8n9E;click;INPUT;radio;[194, 402];[105, 5];[14, 14]
6;2022-01-13 12:45:04.319000+00:00;83fxMv7kSQpv8n9E;click;LABEL;;[189, 402];[77, 10];[99, 24]
7;2022-01-13 12:45:04.320000+00:00;83fxMv7kSQpv8n9E;click;INPUT;radio;[189, 402];[100, 5];[14, 14]
8;2022-01-13 12:45:30.135000+00:00;83fxMv7kSQpv8n9E;click;LABEL;;[223, 347];[60, 22];[70, 36]
9;2022-01-13 12:45:30.137000+00:00;83fxMv7kSQpv8n9E;click;INPUT;radio;[223, 347];[60, 23];[13, 13]
10;2022-01-13 12:45:39.267000+00:00;83fxMv7kSQpv8n9E;click;LABEL;;[116, 315];[28, 3];[74, 36]
11;2022-01-13 12:45:39.268000+00:00;83fxMv7kSQpv8n9E;click;INPUT;radio;[116, 315];[28, 4];[13, 13]
12;2022-01-13 12:45:43.951000+00:00;83fxMv7kSQpv8n9E;click;LABEL;;[221, 155];[108, 9];[187, 24]
13;2022-01-13 12:45:43.953000+00:00;83fxMv7kSQpv8n9E;click;INPUT;radio;[221, 155];[131, 4];[14, 14]
14;2022-01-13 12:45:52.434000+00:00;83fxMv7kSQpv8n9E;click;LABEL;;[266, 288];[153, 14];[567, 24]
15;2022-01-13 12:45:52.436000+00:00;83fxMv7kSQpv8n9E;click;INPUT;radio;[266, 288];[176, 9];[14, 14]
16;2022-01-13 12:46:11.533000+00:00;83fxMv7kSQpv8n9E;click;LABEL;;[334, 370];[222, 16];[561, 24]
17;2022-01-13 12:46:11.535000+00:00;83fxMv7kSQpv8n9E;click;INPUT;checkbox;[334, 370];[245, 11];[14, 14]
18;2022-01-13 12:46:22.930000+00:00;83fxMv7kSQpv8n9E;click;LABEL;;[206, 615];[94, 16];[113, 24]
19;2022-01-13 12:46:22.931000+00:00;83fxMv7kSQpv8n9E;click;INPUT;radio;[206, 615];[117, 11];[14, 14]
20;2022-01-13 12:46:36.836000+00:00;83fxMv7kSQpv8n9E;click;BUTTON;;[1241, 785];[6, 12];[193, 36]
21;2022-01-13 12:46:50.181000+00:00;83fxMv7kSQpv8n9E;click;HTML;;[1133, 793];['', ''];['', '']
22;2022-01-13 12:47:05.084000+00:00;83fxMv7kSQpv8n9E;click;BUTTON;;[1356, 790];[1357, 2010];[0, 0]
23;2022-01-13 12:47:12.501000+00:00;83fxMv7kSQpv8n9E;click;LABEL;;[333, 269];[220, 15];[801, 24]
24;2022-01-13 12:47:12.502000+00:00;83fxMv7kSQpv8n9E;click;INPUT;radio;[333, 269];[243, 10];[14, 14]
25;2022-01-13 12:47:39.336000+00:00;83fxMv7kSQpv8n9E;click;INPUT;checkbox;[102, 336];[13, 9];[14, 14]
26;2022-01-13 12:47:42.715000+00:00;83fxMv7kSQpv8n9E;click;INPUT;checkbox;[94, 357];[5, 8];[14, 14]
27;2022-01-13 12:47:45.302000+00:00;83fxMv7kSQpv8n9E;click;INPUT;checkbox;[96, 304];[6, 7];[14, 14]
28;2022-01-13 12:47:54.700000+00:00;83fxMv7kSQpv8n9E;click;DIV;;[228, 353];['', ''];['', '']
29;2022-01-13 12:49:07.096000+00:00;83fxMv7kSQpv8n9E;click;INPUT;text;[332, 256];[44, 16];[179, 26]
