;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 12:43:38.083000+00:00;8PkU5v5h+0OEPrfm;click;H1;;[760, 259];['', ''];['', '']
1;2022-01-13 12:43:41.499000+00:00;8PkU5v5h+0OEPrfm;click;HTML;;[923, 447];['', ''];['', '']
2;2022-01-13 12:43:46.137000+00:00;8PkU5v5h+0OEPrfm;click;BUTTON;;[1480, 354];[15, 14];[105, 36]
3;2022-01-13 12:44:02.405000+00:00;8PkU5v5h+0OEPrfm;click;DIV;;[1007, 367];['', ''];['', '']
4;2022-01-13 12:44:04.879000+00:00;8PkU5v5h+0OEPrfm;click;LABEL;;[403, 269];[78, 14];[181, 24]
5;2022-01-13 12:44:04.880000+00:00;8PkU5v5h+0OEPrfm;click;INPUT;radio;[403, 269];[101, 9];[14, 14]
6;2022-01-13 12:44:17.611000+00:00;8PkU5v5h+0OEPrfm;click;DIV;;[747, 243];['', ''];['', '']
7;2022-01-13 12:44:26.982000+00:00;8PkU5v5h+0OEPrfm;click;LABEL;;[395, 488];[70, 9];[95, 24]
8;2022-01-13 12:44:26.983000+00:00;8PkU5v5h+0OEPrfm;click;INPUT;radio;[395, 488];[93, 4];[14, 14]
9;2022-01-13 12:44:34.201000+00:00;8PkU5v5h+0OEPrfm;click;LABEL;;[421, 573];[96, 16];[146, 24]
10;2022-01-13 12:44:34.203000+00:00;8PkU5v5h+0OEPrfm;click;INPUT;radio;[421, 573];[119, 11];[14, 14]
11;2022-01-13 12:44:35.339000+00:00;8PkU5v5h+0OEPrfm;click;DIV;;[347, 179];['', ''];['', '']
12;2022-01-13 12:44:35.647000+00:00;8PkU5v5h+0OEPrfm;click;LABEL;;[340, 195];[15, 14];[95, 24]
13;2022-01-13 12:44:36.164000+00:00;8PkU5v5h+0OEPrfm;click;INPUT;radio;[315, 198];[13, 12];[14, 14]
14;2022-01-13 12:44:36.746000+00:00;8PkU5v5h+0OEPrfm;click;DIV;;[313, 176];['', ''];['', '']
15;2022-01-13 12:44:37.099000+00:00;8PkU5v5h+0OEPrfm;click;INPUT;radio;[308, 164];[6, 4];[14, 14]
16;2022-01-13 12:44:52.575000+00:00;8PkU5v5h+0OEPrfm;click;NULL;;[247, 403];['', ''];['', '']
17;2022-01-13 12:44:52.943000+00:00;8PkU5v5h+0OEPrfm;click;NULL;;[211, 410];['', ''];['', '']
