;time;token;event;nodeName;global_position;local_position;local_dimensions;nodeType
0;2022-01-13 12:45:44.562000+00:00;AugH5l6cAYxeSC7q;click;H1;[507, 236];['', ''];['', ''];
1;2022-01-13 12:46:15.847000+00:00;AugH5l6cAYxeSC7q;click;BUTTON;[1155, 354];[37, 14];[105, 36];
2;2022-01-13 12:49:42.427000+00:00;AugH5l6cAYxeSC7q;click;DIV;[851, 163];['', ''];['', ''];
3;2022-01-13 12:52:49.033000+00:00;AugH5l6cAYxeSC7q;click;BODY;[1333, 0];['', ''];['', ''];
4;2022-01-13 12:54:29.065000+00:00;AugH5l6cAYxeSC7q;click;DIV;[791, 271];['', ''];['', ''];
5;2022-01-13 12:54:29.434000+00:00;AugH5l6cAYxeSC7q;click;DIV;[791, 271];['', ''];['', ''];
6;2022-01-13 12:54:41.322000+00:00;AugH5l6cAYxeSC7q;click;LABEL;[234, 272];[77, 17];[181, 24];
7;2022-01-13 12:54:41.323000+00:00;AugH5l6cAYxeSC7q;click;INPUT;[234, 272];[100, 12];[14, 14];radio
8;2022-01-13 12:54:42.571000+00:00;AugH5l6cAYxeSC7q;click;INPUT;[143, 236];[9, 2];[14, 14];radio
9;2022-01-13 12:54:48.456000+00:00;AugH5l6cAYxeSC7q;click;DIV;[1080, 188];['', ''];['', ''];
10;2022-01-13 12:55:05.581000+00:00;AugH5l6cAYxeSC7q;click;DIV;[128, 370];['', ''];['', ''];
11;2022-01-13 12:55:40.654000+00:00;AugH5l6cAYxeSC7q;click;DIV;[920, 178];['', ''];['', ''];
12;2022-01-13 12:56:10.009000+00:00;AugH5l6cAYxeSC7q;click;DIV;[337, 268];['', ''];['', ''];
13;2022-01-13 12:56:15.291000+00:00;AugH5l6cAYxeSC7q;click;LABEL;[206, 225];[49, 14];[83, 24];
14;2022-01-13 12:56:15.293000+00:00;AugH5l6cAYxeSC7q;click;INPUT;[206, 225];[72, 9];[14, 14];radio
15;2022-01-13 12:56:27.179000+00:00;AugH5l6cAYxeSC7q;click;LABEL;[224, 228];[17, 27];[67, 36];
16;2022-01-13 12:56:27.182000+00:00;AugH5l6cAYxeSC7q;click;INPUT;[224, 228];[15, 26];[10, 10];radio
17;2022-01-13 12:56:58.827000+00:00;AugH5l6cAYxeSC7q;click;DIV;[846, 105];['', ''];['', ''];
18;2022-01-13 12:56:59.217000+00:00;AugH5l6cAYxeSC7q;click;DIV;[846, 105];['', ''];['', ''];
19;2022-01-13 12:57:12.741000+00:00;AugH5l6cAYxeSC7q;click;LABEL;[179, 284];[46, 7];[73, 36];
20;2022-01-13 12:57:12.743000+00:00;AugH5l6cAYxeSC7q;click;INPUT;[179, 284];[44, 6];[10, 10];radio
21;2022-01-13 12:57:31.815000+00:00;AugH5l6cAYxeSC7q;click;HTML;[1264, 636];['', ''];['', ''];
22;2022-01-13 12:57:32.397000+00:00;AugH5l6cAYxeSC7q;click;BUTTON;[1266, 623];[120, 27];[192, 36];
23;2022-01-13 12:57:44.302000+00:00;AugH5l6cAYxeSC7q;click;BUTTON;[1277, 616];[0, 0];[0, 0];
24;2022-01-13 13:00:22.175000+00:00;AugH5l6cAYxeSC7q;click;INPUT;[142, 198];[8, 9];[14, 14];radio
25;2022-01-13 13:00:34.471000+00:00;AugH5l6cAYxeSC7q;click;INPUT;[145, 156];[11, 5];[14, 14];checkbox
26;2022-01-13 13:00:36.704000+00:00;AugH5l6cAYxeSC7q;click;INPUT;[144, 190];[10, 13];[14, 14];checkbox
27;2022-01-13 13:00:37.356000+00:00;AugH5l6cAYxeSC7q;click;INPUT;[144, 190];[10, 13];[14, 14];checkbox
28;2022-01-13 13:00:38.184000+00:00;AugH5l6cAYxeSC7q;click;INPUT;[144, 190];[10, 13];[14, 14];checkbox
29;2022-01-13 13:00:38.587000+00:00;AugH5l6cAYxeSC7q;click;INPUT;[144, 190];[10, 13];[14, 14];checkbox
30;2022-01-13 13:00:40.694000+00:00;AugH5l6cAYxeSC7q;click;DIV;[209, 155];['', ''];['', ''];
31;2022-01-13 13:01:02.526000+00:00;AugH5l6cAYxeSC7q;click;INPUT;[138, 200];[4, 11];[14, 14];checkbox
32;2022-01-13 13:01:13.401000+00:00;AugH5l6cAYxeSC7q;click;INPUT;[141, 270];[7, 3];[14, 14];checkbox
33;2022-01-13 13:01:20.239000+00:00;AugH5l6cAYxeSC7q;click;INPUT;[441, 96];[115, 8];[205, 26];text
34;2022-01-13 13:01:53.337000+00:00;AugH5l6cAYxeSC7q;click;BUTTON;[1249, 610];[103, 14];[192, 36];
35;2022-01-13 13:01:59.422000+00:00;AugH5l6cAYxeSC7q;click;BUTTON;[1276, 602];[0, 0];[0, 0];
36;2022-01-13 13:02:27.137000+00:00;AugH5l6cAYxeSC7q;click;BUTTON;[1234, 627];[88, 31];[192, 36];
37;2022-01-13 13:02:35.192000+00:00;AugH5l6cAYxeSC7q;click;BUTTON;[1288, 606];[0, 0];[0, 0];
38;2022-01-13 13:02:58.016000+00:00;AugH5l6cAYxeSC7q;click;HTML;[1365, 153];['', ''];['', ''];
39;2022-01-13 13:03:00.162000+00:00;AugH5l6cAYxeSC7q;click;BUTTON;[1249, 624];[103, 28];[192, 36];
40;2022-01-13 13:03:04.259000+00:00;AugH5l6cAYxeSC7q;click;BUTTON;[1296, 619];[0, 0];[0, 0];
41;2022-01-13 13:03:27.606000+00:00;AugH5l6cAYxeSC7q;click;BUTTON;[1294, 627];[148, 31];[192, 36];
42;2022-01-13 13:03:31.057000+00:00;AugH5l6cAYxeSC7q;click;BUTTON;[1287, 618];[0, 0];[0, 0];
43;2022-01-13 13:03:58.770000+00:00;AugH5l6cAYxeSC7q;click;BUTTON;[1296, 616];[150, 20];[192, 36];
44;2022-01-13 13:04:01.365000+00:00;AugH5l6cAYxeSC7q;click;BUTTON;[1308, 615];[0, 0];[0, 0];
45;2022-01-13 13:04:18.845000+00:00;AugH5l6cAYxeSC7q;click;BUTTON;[1266, 620];[120, 24];[192, 36];
