;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 12:44:23.300000+00:00;BF8JCJ1XfAaj+Rnj;click;BUTTON;;[1512, 358];[27, 18];[105, 36]
1;2022-01-13 12:44:56.814000+00:00;BF8JCJ1XfAaj+Rnj;click;INPUT;radio;[325, 238];[4, 4];[14, 14]
2;2022-01-13 12:44:57.604000+00:00;BF8JCJ1XfAaj+Rnj;click;INPUT;radio;[325, 264];[4, 4];[14, 14]
3;2022-01-13 12:44:58.268000+00:00;BF8JCJ1XfAaj+Rnj;click;INPUT;radio;[325, 293];[4, 7];[14, 14]
4;2022-01-13 12:44:58.932000+00:00;BF8JCJ1XfAaj+Rnj;click;INPUT;radio;[327, 324];[6, 12];[14, 14]
5;2022-01-13 12:44:59.492000+00:00;BF8JCJ1XfAaj+Rnj;click;INPUT;radio;[329, 340];[8, 2];[14, 14]
6;2022-01-13 12:45:00.118000+00:00;BF8JCJ1XfAaj+Rnj;click;INPUT;radio;[331, 375];[10, 11];[14, 14]
7;2022-01-13 12:45:06.397000+00:00;BF8JCJ1XfAaj+Rnj;click;INPUT;radio;[332, 268];[11, 8];[14, 14]
8;2022-01-13 12:45:28.307000+00:00;BF8JCJ1XfAaj+Rnj;click;INPUT;radio;[326, 358];[5, 4];[14, 14]
9;2022-01-13 12:45:43.500000+00:00;BF8JCJ1XfAaj+Rnj;click;LABEL;;[413, 334];[19, 18];[67, 36]
10;2022-01-13 12:45:43.501000+00:00;BF8JCJ1XfAaj+Rnj;click;INPUT;radio;[413, 334];[17, 17];[10, 10]
11;2022-01-13 12:45:50.924000+00:00;BF8JCJ1XfAaj+Rnj;click;LABEL;;[420, 306];[26, 14];[67, 36]
12;2022-01-13 12:45:50.926000+00:00;BF8JCJ1XfAaj+Rnj;click;INPUT;radio;[420, 306];[24, 13];[10, 10]
13;2022-01-13 12:46:05.404000+00:00;BF8JCJ1XfAaj+Rnj;click;INPUT;radio;[328, 281];[7, 9];[14, 14]
14;2022-01-13 12:46:22.701000+00:00;BF8JCJ1XfAaj+Rnj;click;INPUT;checkbox;[325, 475];[4, 10];[14, 14]
15;2022-01-13 12:46:23.829000+00:00;BF8JCJ1XfAaj+Rnj;click;INPUT;checkbox;[329, 497];[8, 6];[14, 14]
16;2022-01-13 12:46:24.445000+00:00;BF8JCJ1XfAaj+Rnj;click;INPUT;checkbox;[328, 519];[7, 2];[14, 14]
17;2022-01-13 12:46:24.893000+00:00;BF8JCJ1XfAaj+Rnj;click;INPUT;checkbox;[329, 550];[8, 7];[14, 14]
18;2022-01-13 12:46:26.020000+00:00;BF8JCJ1XfAaj+Rnj;click;INPUT;checkbox;[330, 527];[9, 10];[14, 14]
19;2022-01-13 12:46:26.484000+00:00;BF8JCJ1XfAaj+Rnj;click;INPUT;checkbox;[326, 546];[5, 3];[14, 14]
20;2022-01-13 12:46:27.356000+00:00;BF8JCJ1XfAaj+Rnj;click;INPUT;checkbox;[332, 500];[11, 9];[14, 14]
21;2022-01-13 12:46:31.900000+00:00;BF8JCJ1XfAaj+Rnj;click;INPUT;checkbox;[332, 531];[11, 14];[14, 14]
