;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-12 21:51:38.112000+00:00;BWlQMO8e4VshRyFI;click;BUTTON;;[1164, 357];[49, 27];[36, 107]
1;2022-01-12 21:52:05.082000+00:00;BWlQMO8e4VshRyFI;click;DIV;;[531, 397];['', ''];['', '']
2;2022-01-12 21:52:05.215000+00:00;BWlQMO8e4VshRyFI;click;DIV;;[531, 397];['', ''];['', '']
3;2022-01-12 21:52:05.784000+00:00;BWlQMO8e4VshRyFI;click;DIV;;[764, 482];['', ''];['', '']
4;2022-01-12 21:52:05.903000+00:00;BWlQMO8e4VshRyFI;click;DIV;;[764, 482];['', ''];['', '']
5;2022-01-12 21:52:06.519000+00:00;BWlQMO8e4VshRyFI;click;DIV;;[925, 639];['', ''];['', '']
6;2022-01-12 21:52:06.635000+00:00;BWlQMO8e4VshRyFI;click;DIV;;[925, 639];['', ''];['', '']
7;2022-01-12 21:52:07.439000+00:00;BWlQMO8e4VshRyFI;click;DIV;;[670, 521];['', ''];['', '']
8;2022-01-12 21:52:08.560000+00:00;BWlQMO8e4VshRyFI;click;LABEL;;[311, 637];[153, 14];[24, 239]
9;2022-01-12 21:52:08.567000+00:00;BWlQMO8e4VshRyFI;click;INPUT;radio;[311, 637];[176, 9];[14, 14]
