;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-20 12:58:07.996000+00:00;CIc5Ka5ThGnBQc6R;click;BUTTON;;[1851, 359];[46, 19];[105, 36]
1;2022-01-20 12:58:09.252000+00:00;CIc5Ka5ThGnBQc6R;click;INPUT;text;[927, 239];[94, 0];[205, 26]
2;2022-01-20 12:58:10.283000+00:00;CIc5Ka5ThGnBQc6R;click;NULL;;[548, 269];['', ''];['', '']
3;2022-01-20 12:58:13.777000+00:00;CIc5Ka5ThGnBQc6R;click;INPUT;text;[922, 249];[89, 10];[205, 26]
4;2022-01-20 12:58:14.401000+00:00;CIc5Ka5ThGnBQc6R;click;DIV;;[625, 230];['', ''];['', '']
5;2022-01-20 12:58:19.849000+00:00;CIc5Ka5ThGnBQc6R;click;INPUT;text;[918, 239];[85, 0];[205, 26]
6;2022-01-20 13:02:24.207000+00:00;CIc5Ka5ThGnBQc6R;click;INPUT;text;[940, 487];[107, 11];[205, 26]
7;2022-01-20 13:03:43.938000+00:00;CIc5Ka5ThGnBQc6R;click;INPUT;checkbox;[666, 359];[9, 5];[14, 14]
8;2022-01-20 13:04:15.593000+00:00;CIc5Ka5ThGnBQc6R;click;INPUT;checkbox;[667, 362];[10, 8];[14, 14]
9;2022-01-20 13:04:19.354000+00:00;CIc5Ka5ThGnBQc6R;click;INPUT;checkbox;[666, 715];[9, 13];[14, 14]
10;2022-01-20 13:04:19.944000+00:00;CIc5Ka5ThGnBQc6R;click;INPUT;checkbox;[667, 683];[10, 7];[14, 14]
11;2022-01-20 13:05:15.607000+00:00;CIc5Ka5ThGnBQc6R;click;LABEL;;[798, 551];[118, 15];[411, 24]
12;2022-01-20 13:05:15.607000+00:00;CIc5Ka5ThGnBQc6R;click;INPUT;checkbox;[798, 551];[141, 10];[14, 14]
13;2022-01-20 13:05:18.286000+00:00;CIc5Ka5ThGnBQc6R;click;LABEL;;[800, 579];[120, 17];[302, 24]
14;2022-01-20 13:05:18.287000+00:00;CIc5Ka5ThGnBQc6R;click;INPUT;checkbox;[800, 579];[143, 12];[14, 14]
15;2022-01-20 13:05:58.496000+00:00;CIc5Ka5ThGnBQc6R;click;INPUT;checkbox;[664, 847];[7, 9];[14, 14]
16;2022-01-20 13:06:01.145000+00:00;CIc5Ka5ThGnBQc6R;click;INPUT;checkbox;[668, 820];[11, 8];[14, 14]
17;2022-01-20 13:06:19.958000+00:00;CIc5Ka5ThGnBQc6R;click;LABEL;;[776, 205];[96, 10];[388, 24]
18;2022-01-20 13:06:19.958000+00:00;CIc5Ka5ThGnBQc6R;click;INPUT;checkbox;[776, 205];[119, 5];[14, 14]
19;2022-01-20 13:06:24.193000+00:00;CIc5Ka5ThGnBQc6R;click;INPUT;checkbox;[670, 239];[13, 13];[14, 14]
20;2022-01-20 13:06:36.490000+00:00;CIc5Ka5ThGnBQc6R;click;INPUT;checkbox;[867, 360];[210, 7];[14, 14]
21;2022-01-20 13:06:36.490000+00:00;CIc5Ka5ThGnBQc6R;click;LABEL;;[867, 360];[187, 12];[514, 24]
