;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 12:45:44.202000+00:00;CyTqUIZjsoeob1jg;click;H1;;[612, 249];['', ''];['', '']
1;2022-01-13 12:46:03.523000+00:00;CyTqUIZjsoeob1jg;click;DIV;;[1344, 334];['', ''];['', '']
2;2022-01-13 12:46:03.781000+00:00;CyTqUIZjsoeob1jg;click;BUTTON;;[1340, 345];[47, 6];[104, 36]
3;2022-01-13 12:52:03.451000+00:00;CyTqUIZjsoeob1jg;click;DIV;;[919, 84];['', ''];['', '']
4;2022-01-13 12:52:03.607000+00:00;CyTqUIZjsoeob1jg;click;DIV;;[919, 84];['', ''];['', '']
5;2022-01-13 12:52:30.976000+00:00;CyTqUIZjsoeob1jg;click;INPUT;radio;[136, 219];[7, 7];[14, 14]
6;2022-01-13 12:55:30.154000+00:00;CyTqUIZjsoeob1jg;click;INPUT;radio;[144, 340];[14, 8];[14, 14]
7;2022-01-13 12:56:34.880000+00:00;CyTqUIZjsoeob1jg;click;LABEL;;[172, 345];[44, 19];[73, 36]
8;2022-01-13 12:56:34.882000+00:00;CyTqUIZjsoeob1jg;click;INPUT;radio;[172, 345];[44, 20];[13, 13]
9;2022-01-13 12:58:02.880000+00:00;CyTqUIZjsoeob1jg;click;INPUT;radio;[239, 319];[37, 14];[13, 13]
10;2022-01-13 12:58:02.880000+00:00;CyTqUIZjsoeob1jg;click;LABEL;;[239, 319];[37, 13];[66, 36]
11;2022-01-13 12:58:39.933000+00:00;CyTqUIZjsoeob1jg;click;DIV;;[197, 248];['', ''];['', '']
12;2022-01-13 12:58:40.072000+00:00;CyTqUIZjsoeob1jg;click;DIV;;[197, 248];['', ''];['', '']
13;2022-01-13 12:59:52.465000+00:00;CyTqUIZjsoeob1jg;click;INPUT;radio;[143, 294];[14, 5];[14, 14]
14;2022-01-13 12:59:53.275000+00:00;CyTqUIZjsoeob1jg;click;DIV;;[468, 384];['', ''];['', '']
15;2022-01-13 13:00:05.256000+00:00;CyTqUIZjsoeob1jg;click;DIV;;[346, 268];['', ''];['', '']
16;2022-01-13 13:00:05.432000+00:00;CyTqUIZjsoeob1jg;click;DIV;;[346, 268];['', ''];['', '']
17;2022-01-13 13:00:07.463000+00:00;CyTqUIZjsoeob1jg;click;DIV;;[334, 280];['', ''];['', '']
18;2022-01-13 13:00:12.523000+00:00;CyTqUIZjsoeob1jg;click;LABEL;;[347, 321];[195, 16];[543, 24]
19;2022-01-13 13:00:18.284000+00:00;CyTqUIZjsoeob1jg;click;LABEL;;[244, 343];[92, 12];[403, 24]
20;2022-01-13 13:00:18.285000+00:00;CyTqUIZjsoeob1jg;click;INPUT;checkbox;[244, 343];[115, 7];[14, 14]
21;2022-01-13 13:00:20.112000+00:00;CyTqUIZjsoeob1jg;click;LABEL;;[196, 347];[44, 16];[403, 24]
22;2022-01-13 13:00:20.310000+00:00;CyTqUIZjsoeob1jg;click;LABEL;;[196, 347];[44, 16];[403, 24]
23;2022-01-13 13:00:20.311000+00:00;CyTqUIZjsoeob1jg;click;INPUT;checkbox;[196, 347];[67, 11];[14, 14]
24;2022-01-13 13:00:21.940000+00:00;CyTqUIZjsoeob1jg;click;LABEL;;[289, 346];[137, 16];[403, 24]
25;2022-01-13 13:00:22.308000+00:00;CyTqUIZjsoeob1jg;click;LABEL;;[285, 346];[133, 16];[403, 24]
26;2022-01-13 13:00:22.309000+00:00;CyTqUIZjsoeob1jg;click;INPUT;checkbox;[285, 346];[156, 11];[14, 14]
27;2022-01-13 13:00:22.711000+00:00;CyTqUIZjsoeob1jg;click;LABEL;;[275, 344];[123, 13];[403, 24]
28;2022-01-13 13:00:22.712000+00:00;CyTqUIZjsoeob1jg;click;INPUT;checkbox;[275, 344];[146, 8];[14, 14]
29;2022-01-13 13:00:23.570000+00:00;CyTqUIZjsoeob1jg;click;INPUT;checkbox;[172, 343];[42, 7];[14, 14]
30;2022-01-13 13:00:23.570000+00:00;CyTqUIZjsoeob1jg;click;LABEL;;[172, 343];[19, 12];[403, 24]
