;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 12:43:34.138000+00:00;D+BwNpkU94N2MPcl;click;H1;;[1147, 245];['', ''];['', '']
1;2022-01-13 12:43:55.035000+00:00;D+BwNpkU94N2MPcl;click;BUTTON;;[1473, 350];[8, 10];[105, 36]
2;2022-01-13 12:44:04.233000+00:00;D+BwNpkU94N2MPcl;click;LABEL;;[371, 262];[46, 7];[181, 24]
3;2022-01-13 12:44:04.234000+00:00;D+BwNpkU94N2MPcl;click;INPUT;radio;[371, 262];[69, 2];[14, 14]
4;2022-01-13 12:44:42.535000+00:00;D+BwNpkU94N2MPcl;click;DIV;;[316, 597];['', ''];['', '']
5;2022-01-13 12:44:43.401000+00:00;D+BwNpkU94N2MPcl;click;INPUT;radio;[308, 591];[6, 7];[14, 14]
6;2022-01-13 12:45:06.205000+00:00;D+BwNpkU94N2MPcl;click;LABEL;;[330, 647];[29, 21];[73, 36]
7;2022-01-13 12:45:06.206000+00:00;D+BwNpkU94N2MPcl;click;INPUT;radio;[330, 647];[29, 22];[13, 13]
8;2022-01-13 12:45:10.508000+00:00;D+BwNpkU94N2MPcl;click;LABEL;;[418, 635];[43, 29];[66, 36]
9;2022-01-13 12:45:10.509000+00:00;D+BwNpkU94N2MPcl;click;INPUT;radio;[418, 635];[43, 30];[13, 13]
10;2022-01-13 12:45:17.941000+00:00;D+BwNpkU94N2MPcl;click;LABEL;;[363, 339];[38, 12];[84, 24]
11;2022-01-13 12:45:17.942000+00:00;D+BwNpkU94N2MPcl;click;INPUT;radio;[363, 339];[61, 7];[14, 14]
12;2022-01-13 12:45:59.675000+00:00;D+BwNpkU94N2MPcl;click;DIV;;[313, 605];['', ''];['', '']
13;2022-01-13 12:46:00.716000+00:00;D+BwNpkU94N2MPcl;click;INPUT;radio;[307, 593];[5, 3];[14, 14]
14;2022-01-13 12:46:31.405000+00:00;D+BwNpkU94N2MPcl;click;INPUT;checkbox;[301, 497];[-1, 10];[14, 14]
15;2022-01-13 12:46:32.890000+00:00;D+BwNpkU94N2MPcl;click;INPUT;checkbox;[310, 523];[8, 10];[14, 14]
16;2022-01-13 12:46:33.865000+00:00;D+BwNpkU94N2MPcl;click;INPUT;checkbox;[315, 522];[13, 9];[14, 14]
17;2022-01-13 12:47:36.530000+00:00;D+BwNpkU94N2MPcl;click;DIV;;[666, 549];['', ''];['', '']
18;2022-01-13 12:47:46.973000+00:00;D+BwNpkU94N2MPcl;click;INPUT;checkbox;[301, 520];[-1, 7];[14, 14]
19;2022-01-13 12:47:53.162000+00:00;D+BwNpkU94N2MPcl;click;INPUT;radio;[302, 742];[0, 9];[14, 14]
20;2022-01-13 12:47:55.929000+00:00;D+BwNpkU94N2MPcl;click;INPUT;radio;[307, 797];[5, 12];[14, 14]
21;2022-01-13 12:47:56.668000+00:00;D+BwNpkU94N2MPcl;click;INPUT;radio;[307, 736];[5, 3];[14, 14]
22;2022-01-13 12:48:04.908000+00:00;D+BwNpkU94N2MPcl;click;NULL;;[1724, 814];['', ''];['', '']
23;2022-01-13 12:48:07.061000+00:00;D+BwNpkU94N2MPcl;click;BUTTON;;[1720, 903];[59, 1];[192, 36]
24;2022-01-13 12:48:12.296000+00:00;D+BwNpkU94N2MPcl;click;INPUT;radio;[307, 611];[5, 3];[14, 14]
25;2022-01-13 12:48:13.336000+00:00;D+BwNpkU94N2MPcl;click;INPUT;radio;[308, 559];[6, 3];[14, 14]
26;2022-01-13 12:48:43.047000+00:00;D+BwNpkU94N2MPcl;click;BUTTON;;[1763, 914];[1763, 2005];[0, 0]
27;2022-01-13 12:49:07.474000+00:00;D+BwNpkU94N2MPcl;click;INPUT;radio;[309, 295];[7, 9];[14, 14]
28;2022-01-13 12:49:12.691000+00:00;D+BwNpkU94N2MPcl;click;LABEL;;[891, 297];[566, 16];[721, 24]
29;2022-01-13 12:49:14.213000+00:00;D+BwNpkU94N2MPcl;click;DIV;;[1180, 317];['', ''];['', '']
30;2022-01-13 12:49:16.126000+00:00;D+BwNpkU94N2MPcl;click;LABEL;;[841, 301];[516, 20];[721, 24]
31;2022-01-13 12:49:16.794000+00:00;D+BwNpkU94N2MPcl;click;LABEL;;[845, 299];[520, 18];[721, 24]
32;2022-01-13 12:49:16.795000+00:00;D+BwNpkU94N2MPcl;click;INPUT;radio;[845, 299];[543, 13];[14, 14]
33;2022-01-13 12:49:18.188000+00:00;D+BwNpkU94N2MPcl;click;LABEL;;[887, 293];[562, 12];[721, 24]
34;2022-01-13 12:49:18.189000+00:00;D+BwNpkU94N2MPcl;click;INPUT;radio;[887, 293];[585, 7];[14, 14]
35;2022-01-13 12:49:20.090000+00:00;D+BwNpkU94N2MPcl;click;LABEL;;[899, 292];[574, 11];[721, 24]
36;2022-01-13 12:49:20.091000+00:00;D+BwNpkU94N2MPcl;click;INPUT;radio;[899, 292];[597, 6];[14, 14]
37;2022-01-13 12:49:23.863000+00:00;D+BwNpkU94N2MPcl;click;LABEL;;[835, 292];[510, 11];[721, 24]
38;2022-01-13 12:49:24.620000+00:00;D+BwNpkU94N2MPcl;click;DIV;;[1128, 300];['', ''];['', '']
39;2022-01-13 12:49:32.740000+00:00;D+BwNpkU94N2MPcl;click;LABEL;;[891, 284];[566, 3];[721, 24]
