;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-20 12:58:03.429000+00:00;D+DdutLJFU2PCt+R;click;BUTTON;;[1121, 359];[55, 20];[110, 36]
1;2022-01-20 13:01:22.892000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[417, 57];[122, 16];[179, 26]
2;2022-01-20 13:01:54.694000+00:00;D+DdutLJFU2PCt+R;click;DIV;;[356, 398];['', ''];['', '']
3;2022-01-20 13:01:59.777000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[359, 243];[64, 19];[179, 26]
4;2022-01-20 13:02:12.726000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[365, 113];[70, 14];[179, 26]
5;2022-01-20 13:02:22.195000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[388, 195];[93, 25];[179, 26]
6;2022-01-20 13:02:46.077000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[380, 251];[86, 9];[179, 26]
7;2022-01-20 13:03:00.244000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[357, 368];[62, 8];[179, 26]
8;2022-01-20 13:03:03.676000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[365, 433];[70, 1];[179, 26]
9;2022-01-20 13:03:14.292000+00:00;D+DdutLJFU2PCt+R;click;LI;;[387, 505];['', ''];['', '']
10;2022-01-20 13:03:15.043000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[386, 511];[91, 0];[179, 26]
11;2022-01-20 13:03:42.160000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[419, 379];[124, 12];[179, 26]
12;2022-01-20 13:04:06.293000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[422, 314];[128, 17];[179, 26]
13;2022-01-20 13:04:39.876000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[398, 239];[103, 13];[179, 26]
14;2022-01-20 13:04:45.128000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[393, 119];[99, 12];[179, 26]
15;2022-01-20 13:04:51.028000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[386, 42];[91, 7];[179, 26]
16;2022-01-20 13:04:56.878000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[328, 124];[33, 17];[179, 26]
17;2022-01-20 13:04:59.078000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[334, 38];[39, 2];[179, 26]
18;2022-01-20 13:05:05.893000+00:00;D+DdutLJFU2PCt+R;click;DIV;;[564, 195];['', ''];['', '']
19;2022-01-20 13:05:58.845000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[352, 233];[57, 14];[179, 26]
20;2022-01-20 13:06:08.777000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[367, 306];[72, 15];[179, 26]
21;2022-01-20 13:06:08.928000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[367, 306];[72, 15];[179, 26]
22;2022-01-20 13:06:19.061000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[390, 435];[96, 14];[179, 26]
23;2022-01-20 13:06:19.209000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[390, 435];[96, 14];[179, 26]
24;2022-01-20 13:06:37.959000+00:00;D+DdutLJFU2PCt+R;click;INPUT;checkbox;[125, 270];[13, 8];[14, 14]
25;2022-01-20 13:06:38.561000+00:00;D+DdutLJFU2PCt+R;click;DIV;;[125, 286];['', ''];['', '']
26;2022-01-20 13:06:39.360000+00:00;D+DdutLJFU2PCt+R;click;INPUT;checkbox;[121, 323];[9, 9];[14, 14]
27;2022-01-20 13:06:40.061000+00:00;D+DdutLJFU2PCt+R;click;INPUT;checkbox;[121, 293];[9, 5];[14, 14]
28;2022-01-20 13:06:42.644000+00:00;D+DdutLJFU2PCt+R;click;INPUT;checkbox;[123, 282];[11, 7];[14, 14]
29;2022-01-20 13:06:43.312000+00:00;D+DdutLJFU2PCt+R;click;INPUT;checkbox;[120, 301];[8, 1];[14, 14]
30;2022-01-20 13:06:45.395000+00:00;D+DdutLJFU2PCt+R;click;INPUT;checkbox;[114, 336];[2, 9];[14, 14]
31;2022-01-20 13:06:47.442000+00:00;D+DdutLJFU2PCt+R;click;DIV;;[128, 274];['', ''];['', '']
32;2022-01-20 13:06:48.060000+00:00;D+DdutLJFU2PCt+R;click;INPUT;checkbox;[118, 273];[6, 5];[14, 14]
33;2022-01-20 13:06:48.694000+00:00;D+DdutLJFU2PCt+R;click;INPUT;checkbox;[118, 306];[6, 12];[14, 14]
34;2022-01-20 13:06:50.844000+00:00;D+DdutLJFU2PCt+R;click;INPUT;checkbox;[122, 273];[10, 5];[14, 14]
35;2022-01-20 13:06:51.261000+00:00;D+DdutLJFU2PCt+R;click;INPUT;checkbox;[122, 298];[10, 4];[14, 14]
36;2022-01-20 13:06:53.628000+00:00;D+DdutLJFU2PCt+R;click;INPUT;checkbox;[119, 311];[7, 10];[14, 14]
37;2022-01-20 13:06:53.994000+00:00;D+DdutLJFU2PCt+R;click;INPUT;checkbox;[119, 326];[7, -1];[14, 14]
38;2022-01-20 13:06:56.011000+00:00;D+DdutLJFU2PCt+R;click;INPUT;checkbox;[121, 349];[9, 5];[14, 14]
39;2022-01-20 13:06:56.345000+00:00;D+DdutLJFU2PCt+R;click;INPUT;checkbox;[121, 381];[9, 10];[14, 14]
40;2022-01-20 13:06:58.327000+00:00;D+DdutLJFU2PCt+R;click;DIV;;[120, 370];['', ''];['', '']
41;2022-01-20 13:06:58.760000+00:00;D+DdutLJFU2PCt+R;click;INPUT;checkbox;[120, 383];[8, 11];[14, 14]
42;2022-01-20 13:06:59.694000+00:00;D+DdutLJFU2PCt+R;click;INPUT;checkbox;[120, 407];[8, 9];[14, 14]
43;2022-01-20 13:07:23.977000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[241, 380];[55, 18];[179, 26]
44;2022-01-20 13:07:28.644000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[225, 405];[37, 13];[179, 26]
45;2022-01-20 13:07:36.677000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[217, 441];[29, 19];[179, 26]
46;2022-01-20 13:07:45.760000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[208, 480];[20, -2];[179, 26]
47;2022-01-20 13:07:46.443000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[209, 468];[20, 16];[179, 26]
48;2022-01-20 13:08:10.160000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[210, 494];[22, 11];[179, 26]
49;2022-01-20 13:08:27.427000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[203, 529];[14, 17];[179, 26]
50;2022-01-20 13:08:42.827000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[160, 362];[47, 27];[179, 26]
51;2022-01-20 13:09:42.311000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[193, 172];[80, 14];[179, 26]
52;2022-01-20 13:09:57.594000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[163, 245];[50, 15];[179, 26]
53;2022-01-20 13:10:12.310000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[153, 433];[40, 15];[179, 26]
54;2022-01-20 13:10:29.960000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[129, 505];[16, 17];[179, 26]
55;2022-01-20 13:10:54.728000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[127, 552];[14, 16];[179, 26]
56;2022-01-20 13:11:06.780000+00:00;D+DdutLJFU2PCt+R;click;BUTTON;;[1085, 660];[17, 19];[193, 36]
57;2022-01-20 13:11:32.765000+00:00;D+DdutLJFU2PCt+R;click;BUTTON;;[1146, 646];[1146, 3912];[0, 0]
58;2022-01-20 13:11:56.295000+00:00;D+DdutLJFU2PCt+R;click;INPUT;checkbox;[102, 293];[6, 7];[14, 14]
59;2022-01-20 13:12:08.545000+00:00;D+DdutLJFU2PCt+R;click;INPUT;checkbox;[100, 338];[4, 0];[14, 14]
60;2022-01-20 13:12:15.413000+00:00;D+DdutLJFU2PCt+R;click;INPUT;checkbox;[99, 503];[3, 0];[14, 14]
61;2022-01-20 13:12:16.796000+00:00;D+DdutLJFU2PCt+R;click;INPUT;checkbox;[98, 502];[2, 0];[14, 14]
62;2022-01-20 13:12:29.378000+00:00;D+DdutLJFU2PCt+R;click;INPUT;checkbox;[107, 434];[11, 10];[14, 14]
63;2022-01-20 13:16:42.461000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[406, 441];[55, 19];[179, 26]
64;2022-01-20 13:17:09.127000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[395, 470];[42, 18];[179, 26]
65;2022-01-20 13:17:27.880000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[427, 338];[68, 14];[179, 26]
66;2022-01-20 13:17:36.046000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[389, 372];[21, 18];[179, 26]
67;2022-01-20 13:18:07.926000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[466, 576];[98, 11];[179, 26]
68;2022-01-20 13:18:08.095000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[466, 576];[98, 11];[179, 26]
69;2022-01-20 13:19:03.110000+00:00;D+DdutLJFU2PCt+R;click;INPUT;radio;[118, 359];[6, 9];[14, 14]
70;2022-01-20 13:19:13.127000+00:00;D+DdutLJFU2PCt+R;click;INPUT;radio;[124, 492];[12, 10];[14, 14]
71;2022-01-20 13:19:15.011000+00:00;D+DdutLJFU2PCt+R;click;INPUT;radio;[116, 546];[4, 12];[14, 14]
72;2022-01-20 13:19:16.544000+00:00;D+DdutLJFU2PCt+R;click;INPUT;radio;[119, 483];[7, 1];[14, 14]
73;2022-01-20 13:19:18.179000+00:00;D+DdutLJFU2PCt+R;click;INPUT;radio;[119, 546];[7, 12];[14, 14]
74;2022-01-20 13:19:21.679000+00:00;D+DdutLJFU2PCt+R;click;INPUT;radio;[124, 452];[12, 10];[14, 14]
75;2022-01-20 13:19:40.161000+00:00;D+DdutLJFU2PCt+R;click;INPUT;radio;[121, 567];[9, 5];[14, 14]
76;2022-01-20 13:20:06.178000+00:00;D+DdutLJFU2PCt+R;click;INPUT;radio;[117, 516];[5, 9];[14, 14]
77;2022-01-20 13:20:19.178000+00:00;D+DdutLJFU2PCt+R;click;INPUT;checkbox;[102, 472];[6, 5];[14, 14]
78;2022-01-20 13:20:24.897000+00:00;D+DdutLJFU2PCt+R;click;INPUT;checkbox;[101, 520];[5, 1];[14, 14]
79;2022-01-20 13:20:26.046000+00:00;D+DdutLJFU2PCt+R;click;INPUT;checkbox;[102, 468];[6, 1];[14, 14]
80;2022-01-20 13:20:31.330000+00:00;D+DdutLJFU2PCt+R;click;INPUT;checkbox;[103, 449];[7, 7];[14, 14]
81;2022-01-20 13:20:32.813000+00:00;D+DdutLJFU2PCt+R;click;BUTTON;;[1109, 653];[40, 17];[193, 36]
82;2022-01-20 13:20:59.082000+00:00;D+DdutLJFU2PCt+R;click;BUTTON;;[1168, 636];[1168, 5065];[0, 0]
83;2022-01-20 13:21:01.410000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[211, 242];[98, 3];[179, 26]
84;2022-01-20 13:21:13.010000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[200, 389];[87, 9];[179, 26]
85;2022-01-20 13:21:45.428000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[224, 308];[111, -1];[179, 26]
86;2022-01-20 13:21:59.446000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[211, 255];[98, 16];[179, 26]
87;2022-01-20 13:23:58.893000+00:00;D+DdutLJFU2PCt+R;click;DIV;;[181, 340];['', ''];['', '']
88;2022-01-20 13:24:28.211000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[637, 271];[19, 15];[179, 26]
89;2022-01-20 13:25:41.640000+00:00;D+DdutLJFU2PCt+R;click;LABEL;;[177, 411];[42, 18];[655, 24]
90;2022-01-20 13:25:41.643000+00:00;D+DdutLJFU2PCt+R;click;INPUT;checkbox;[177, 411];[65, 13];[14, 14]
91;2022-01-20 13:25:42.624000+00:00;D+DdutLJFU2PCt+R;click;LABEL;;[174, 499];[39, 30];[1026, 48]
92;2022-01-20 13:25:42.628000+00:00;D+DdutLJFU2PCt+R;click;INPUT;checkbox;[174, 499];[62, 25];[14, 14]
93;2022-01-20 13:25:44.725000+00:00;D+DdutLJFU2PCt+R;click;LABEL;;[151, 536];[16, 17];[662, 24]
94;2022-01-20 13:25:44.728000+00:00;D+DdutLJFU2PCt+R;click;INPUT;checkbox;[151, 536];[39, 12];[14, 14]
95;2022-01-20 13:29:00.106000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[241, 120];[128, 14];[179, 26]
96;2022-01-20 13:29:07.773000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[399, 116];[53, 10];[179, 26]
97;2022-01-20 13:29:10.956000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[179, 120];[66, 14];[179, 26]
98;2022-01-20 13:29:13.439000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[380, 120];[35, 13];[179, 26]
99;2022-01-20 13:29:34.358000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[403, 194];[18, 16];[179, 26]
100;2022-01-20 13:29:39.238000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[750, 189];[53, 11];[179, 26]
101;2022-01-20 13:29:48.021000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[777, 255];[80, 7];[179, 26]
102;2022-01-20 13:30:00.825000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[710, 263];[13, 15];[179, 26]
103;2022-01-20 13:30:04.407000+00:00;D+DdutLJFU2PCt+R;click;INPUT;text;[255, 295];[7, 16];[179, 26]
