;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 06:28:32.545000+00:00;D9olvVMc4GUDzTtN;click;BUTTON;;[1579, 303];[30, 21];[36, 111]
1;2022-01-13 06:28:41.120000+00:00;D9olvVMc4GUDzTtN;click;DIV;;[400, 180];['', ''];['', '']
2;2022-01-13 06:28:41.744000+00:00;D9olvVMc4GUDzTtN;click;DIV;;[400, 178];['', ''];['', '']
3;2022-01-13 06:28:44.029000+00:00;D9olvVMc4GUDzTtN;click;INPUT;radio;[400, 171];[8, 11];[14, 14]
4;2022-01-13 06:28:47.445000+00:00;D9olvVMc4GUDzTtN;click;LABEL;;[407, 180];[16, 32];[36, 74]
5;2022-01-13 06:28:47.447000+00:00;D9olvVMc4GUDzTtN;click;INPUT;radio;[407, 180];[14, 31];[10, 10]
6;2022-01-13 06:28:48.233000+00:00;D9olvVMc4GUDzTtN;click;LABEL;;[516, 174];[50, 26];[36, 70]
7;2022-01-13 06:28:48.237000+00:00;D9olvVMc4GUDzTtN;click;INPUT;radio;[516, 174];[48, 25];[10, 10]
8;2022-01-13 06:28:53.110000+00:00;D9olvVMc4GUDzTtN;click;LABEL;;[445, 332];[54, 12];[36, 74]
9;2022-01-13 06:28:53.112000+00:00;D9olvVMc4GUDzTtN;click;INPUT;radio;[445, 332];[52, 11];[10, 10]
10;2022-01-13 06:28:57.396000+00:00;D9olvVMc4GUDzTtN;click;LABEL;;[500, 336];[34, 16];[36, 70]
11;2022-01-13 06:28:57.397000+00:00;D9olvVMc4GUDzTtN;click;INPUT;radio;[500, 336];[32, 15];[10, 10]
12;2022-01-13 06:29:02.471000+00:00;D9olvVMc4GUDzTtN;click;LABEL;;[508, 122];[42, 22];[36, 70]
13;2022-01-13 06:29:02.477000+00:00;D9olvVMc4GUDzTtN;click;INPUT;radio;[508, 122];[40, 21];[10, 10]
14;2022-01-13 06:29:30.348000+00:00;D9olvVMc4GUDzTtN;click;LABEL;;[497, 120];[31, 20];[36, 70]
15;2022-01-13 06:29:30.350000+00:00;D9olvVMc4GUDzTtN;click;INPUT;radio;[497, 120];[29, 19];[10, 10]
16;2022-01-13 06:29:37.009000+00:00;D9olvVMc4GUDzTtN;click;LABEL;;[446, 120];[55, 20];[36, 74]
17;2022-01-13 06:29:37.014000+00:00;D9olvVMc4GUDzTtN;click;INPUT;radio;[446, 120];[53, 19];[10, 10]
18;2022-01-13 06:29:39.281000+00:00;D9olvVMc4GUDzTtN;click;LABEL;;[432, 120];[41, 20];[36, 74]
19;2022-01-13 06:29:39.286000+00:00;D9olvVMc4GUDzTtN;click;INPUT;radio;[432, 120];[39, 19];[10, 10]
20;2022-01-13 06:29:45.515000+00:00;D9olvVMc4GUDzTtN;click;LABEL;;[415, 121];[24, 21];[36, 74]
21;2022-01-13 06:29:45.519000+00:00;D9olvVMc4GUDzTtN;click;INPUT;radio;[415, 121];[22, 20];[10, 10]
22;2022-01-13 06:30:30.229000+00:00;D9olvVMc4GUDzTtN;click;LABEL;;[420, 128];[29, 28];[36, 74]
23;2022-01-13 06:30:30.232000+00:00;D9olvVMc4GUDzTtN;click;INPUT;radio;[420, 128];[27, 27];[10, 10]
24;2022-01-13 06:30:33.523000+00:00;D9olvVMc4GUDzTtN;click;LABEL;;[420, 128];[29, 28];[36, 74]
25;2022-01-13 06:30:33.526000+00:00;D9olvVMc4GUDzTtN;click;INPUT;radio;[420, 128];[27, 27];[10, 10]
