;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 12:44:13.763000+00:00;DYVtzfEMGBF1cOHE;click;HTML;;[370, 443];['', ''];['', '']
1;2022-01-13 12:44:24.621000+00:00;DYVtzfEMGBF1cOHE;click;P;;[591, 290];['', ''];['', '']
2;2022-01-13 12:44:25.167000+00:00;DYVtzfEMGBF1cOHE;click;HTML;;[686, 547];['', ''];['', '']
3;2022-01-13 12:44:28.922000+00:00;DYVtzfEMGBF1cOHE;click;H1;;[957, 257];['', ''];['', '']
4;2022-01-13 12:44:42.911000+00:00;DYVtzfEMGBF1cOHE;click;HTML;;[795, 448];['', ''];['', '']
5;2022-01-13 12:44:45.295000+00:00;DYVtzfEMGBF1cOHE;click;BUTTON;;[1362, 365];[69, 26];[104, 36]
6;2022-01-13 12:45:01.362000+00:00;DYVtzfEMGBF1cOHE;click;INPUT;radio;[135, 237];[6, 4];[14, 14]
7;2022-01-13 12:45:01.676000+00:00;DYVtzfEMGBF1cOHE;click;INPUT;radio;[135, 263];[6, 3];[14, 14]
8;2022-01-13 12:45:02.358000+00:00;DYVtzfEMGBF1cOHE;click;INPUT;radio;[137, 241];[8, 7];[14, 14]
9;2022-01-13 12:45:06.498000+00:00;DYVtzfEMGBF1cOHE;click;LABEL;;[180, 268];[27, 13];[181, 24]
10;2022-01-13 12:45:06.499000+00:00;DYVtzfEMGBF1cOHE;click;INPUT;radio;[180, 268];[50, 8];[14, 14]
11;2022-01-13 12:45:17.105000+00:00;DYVtzfEMGBF1cOHE;click;LABEL;;[200, 338];[47, 12];[83, 24]
12;2022-01-13 12:45:17.106000+00:00;DYVtzfEMGBF1cOHE;click;INPUT;radio;[200, 338];[70, 7];[14, 14]
13;2022-01-13 12:45:21.440000+00:00;DYVtzfEMGBF1cOHE;click;LABEL;;[220, 393];[67, 14];[95, 24]
14;2022-01-13 12:45:21.441000+00:00;DYVtzfEMGBF1cOHE;click;INPUT;radio;[220, 393];[90, 9];[14, 14]
15;2022-01-13 12:45:24.015000+00:00;DYVtzfEMGBF1cOHE;click;LABEL;;[203, 344];[51, 17];[83, 24]
16;2022-01-13 12:45:24.015000+00:00;DYVtzfEMGBF1cOHE;click;INPUT;radio;[203, 344];[74, 12];[14, 14]
17;2022-01-13 12:45:40.615000+00:00;DYVtzfEMGBF1cOHE;click;INPUT;radio;[175, 351];[47, 26];[13, 13]
18;2022-01-13 12:45:40.615000+00:00;DYVtzfEMGBF1cOHE;click;LABEL;;[175, 351];[47, 25];[73, 36]
19;2022-01-13 12:45:57.839000+00:00;DYVtzfEMGBF1cOHE;click;LABEL;;[248, 315];[46, 9];[66, 36]
20;2022-01-13 12:45:57.840000+00:00;DYVtzfEMGBF1cOHE;click;INPUT;radio;[248, 315];[46, 10];[13, 13]
21;2022-01-13 12:46:35.148000+00:00;DYVtzfEMGBF1cOHE;click;LABEL;;[521, 428];[369, 17];[550, 24]
22;2022-01-13 12:46:35.149000+00:00;DYVtzfEMGBF1cOHE;click;INPUT;radio;[521, 428];[392, 12];[14, 14]
23;2022-01-13 12:46:52.681000+00:00;DYVtzfEMGBF1cOHE;click;INPUT;checkbox;[134, 419];[5, 9];[14, 14]
24;2022-01-13 12:46:52.977000+00:00;DYVtzfEMGBF1cOHE;click;INPUT;checkbox;[132, 450];[3, 15];[14, 14]
25;2022-01-13 12:46:53.493000+00:00;DYVtzfEMGBF1cOHE;click;INPUT;checkbox;[135, 443];[6, 7];[14, 14]
26;2022-01-13 12:46:53.786000+00:00;DYVtzfEMGBF1cOHE;click;INPUT;checkbox;[137, 421];[8, 11];[14, 14]
27;2022-01-13 12:47:11.147000+00:00;DYVtzfEMGBF1cOHE;click;INPUT;radio;[597, 253];[468, 11];[14, 14]
28;2022-01-13 12:47:11.147000+00:00;DYVtzfEMGBF1cOHE;click;LABEL;;[597, 253];[445, 16];[662, 24]
29;2022-01-13 12:47:15.691000+00:00;DYVtzfEMGBF1cOHE;click;DIV;;[604, 260];['', ''];['', '']
30;2022-01-13 12:47:16.196000+00:00;DYVtzfEMGBF1cOHE;click;DIV;;[584, 278];['', ''];['', '']
31;2022-01-13 12:47:31.461000+00:00;DYVtzfEMGBF1cOHE;click;LABEL;;[213, 317];[61, 13];[543, 24]
32;2022-01-13 12:47:31.462000+00:00;DYVtzfEMGBF1cOHE;click;INPUT;checkbox;[213, 317];[84, 8];[14, 14]
33;2022-01-13 12:47:34.899000+00:00;DYVtzfEMGBF1cOHE;click;INPUT;checkbox;[228, 349];[99, 14];[14, 14]
34;2022-01-13 12:47:34.899000+00:00;DYVtzfEMGBF1cOHE;click;LABEL;;[228, 349];[76, 19];[403, 24]
35;2022-01-13 12:47:48.470000+00:00;DYVtzfEMGBF1cOHE;click;INPUT;checkbox;[365, 374];[236, 13];[14, 14]
36;2022-01-13 12:47:48.470000+00:00;DYVtzfEMGBF1cOHE;click;LABEL;;[365, 374];[213, 18];[335, 24]
37;2022-01-13 12:47:48.872000+00:00;DYVtzfEMGBF1cOHE;click;LABEL;;[364, 396];[211, 13];[584, 24]
38;2022-01-13 12:47:49.451000+00:00;DYVtzfEMGBF1cOHE;click;INPUT;checkbox;[364, 394];[235, 7];[14, 14]
39;2022-01-13 12:47:49.451000+00:00;DYVtzfEMGBF1cOHE;click;LABEL;;[364, 394];[212, 12];[584, 24]
40;2022-01-13 12:47:52.779000+00:00;DYVtzfEMGBF1cOHE;click;DIV;;[424, 451];['', ''];['', '']
41;2022-01-13 12:48:05.274000+00:00;DYVtzfEMGBF1cOHE;click;INPUT;checkbox;[142, 396];[13, 8];[14, 14]
42;2022-01-13 12:48:05.658000+00:00;DYVtzfEMGBF1cOHE;click;INPUT;checkbox;[142, 398];[13, 11];[14, 14]
43;2022-01-13 12:48:06.041000+00:00;DYVtzfEMGBF1cOHE;click;DIV;;[142, 405];['', ''];['', '']
44;2022-01-13 12:48:07.333000+00:00;DYVtzfEMGBF1cOHE;click;DIV;;[283, 449];['', ''];['', '']
45;2022-01-13 12:49:00.244000+00:00;DYVtzfEMGBF1cOHE;click;LABEL;;[423, 585];[271, 15];[414, 24]
46;2022-01-13 12:49:00.245000+00:00;DYVtzfEMGBF1cOHE;click;INPUT;radio;[423, 585];[294, 10];[14, 14]
47;2022-01-13 12:49:01.084000+00:00;DYVtzfEMGBF1cOHE;click;INPUT;radio;[219, 508];[90, 11];[14, 14]
48;2022-01-13 12:49:01.084000+00:00;DYVtzfEMGBF1cOHE;click;LABEL;;[219, 508];[67, 16];[109, 24]
49;2022-01-13 12:49:02.078000+00:00;DYVtzfEMGBF1cOHE;click;LABEL;;[248, 591];[96, 21];[414, 24]
50;2022-01-13 12:49:02.079000+00:00;DYVtzfEMGBF1cOHE;click;INPUT;radio;[248, 591];[119, 16];[14, 14]
51;2022-01-13 12:49:13.898000+00:00;DYVtzfEMGBF1cOHE;click;LABEL;;[164, 501];[12, 9];[109, 24]
52;2022-01-13 12:49:13.898000+00:00;DYVtzfEMGBF1cOHE;click;INPUT;radio;[164, 501];[35, 4];[14, 14]
53;2022-01-13 12:49:14.350000+00:00;DYVtzfEMGBF1cOHE;click;DIV;;[157, 569];['', ''];['', '']
54;2022-01-13 12:49:14.849000+00:00;DYVtzfEMGBF1cOHE;click;DIV;;[156, 610];['', ''];['', '']
55;2022-01-13 12:49:15.156000+00:00;DYVtzfEMGBF1cOHE;click;INPUT;radio;[155, 579];[26, 4];[14, 14]
56;2022-01-13 12:49:15.156000+00:00;DYVtzfEMGBF1cOHE;click;LABEL;;[155, 579];[3, 9];[414, 24]
57;2022-01-13 12:49:23.567000+00:00;DYVtzfEMGBF1cOHE;click;INPUT;radio;[235, 509];[106, 12];[14, 14]
58;2022-01-13 12:49:23.567000+00:00;DYVtzfEMGBF1cOHE;click;LABEL;;[235, 509];[83, 17];[109, 24]
59;2022-01-13 12:49:33.837000+00:00;DYVtzfEMGBF1cOHE;click;INPUT;radio;[136, 581];[6, 6];[14, 14]
60;2022-01-13 12:49:35.569000+00:00;DYVtzfEMGBF1cOHE;click;INPUT;radio;[140, 507];[10, 10];[14, 14]
61;2022-01-13 12:49:36.680000+00:00;DYVtzfEMGBF1cOHE;click;BUTTON;;[1453, 701];[138, 35];[192, 36]
62;2022-01-13 12:51:00.157000+00:00;DYVtzfEMGBF1cOHE;click;BUTTON;;[1428, 689];[1429, 2016];[0, 0]
63;2022-01-13 12:51:10.256000+00:00;DYVtzfEMGBF1cOHE;click;LABEL;;[471, 291];[319, 10];[721, 24]
64;2022-01-13 12:51:10.257000+00:00;DYVtzfEMGBF1cOHE;click;INPUT;radio;[471, 291];[342, 5];[14, 14]
65;2022-01-13 12:52:02.722000+00:00;DYVtzfEMGBF1cOHE;click;LABEL;;[595, 362];[443, 10];[698, 24]
66;2022-01-13 12:52:02.723000+00:00;DYVtzfEMGBF1cOHE;click;INPUT;checkbox;[595, 362];[466, 5];[14, 14]
67;2022-01-13 12:52:07.052000+00:00;DYVtzfEMGBF1cOHE;click;LABEL;;[477, 419];[325, 14];[407, 24]
68;2022-01-13 12:52:07.053000+00:00;DYVtzfEMGBF1cOHE;click;INPUT;checkbox;[477, 419];[348, 9];[14, 14]
69;2022-01-13 12:52:08.054000+00:00;DYVtzfEMGBF1cOHE;click;LABEL;;[470, 417];[318, 13];[407, 24]
70;2022-01-13 12:52:08.055000+00:00;DYVtzfEMGBF1cOHE;click;INPUT;checkbox;[470, 417];[341, 8];[14, 14]
71;2022-01-13 12:52:14.386000+00:00;DYVtzfEMGBF1cOHE;click;LABEL;;[467, 441];[315, 10];[342, 24]
72;2022-01-13 12:52:14.387000+00:00;DYVtzfEMGBF1cOHE;click;INPUT;checkbox;[467, 441];[338, 5];[14, 14]
73;2022-01-13 12:52:15.008000+00:00;DYVtzfEMGBF1cOHE;click;LABEL;;[479, 421];[327, 17];[407, 24]
