;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-20 13:12:02.263000+00:00;ETXFjTbnPqEbGuYl;click;BUTTON;;[1322, 373];[29, 34];[104, 36]
1;2022-01-20 13:12:07.129000+00:00;ETXFjTbnPqEbGuYl;click;P;;[184, 170];['', ''];['', '']
2;2022-01-20 13:12:07.264000+00:00;ETXFjTbnPqEbGuYl;click;P;;[184, 170];['', ''];['', '']
3;2022-01-20 13:12:12.510000+00:00;ETXFjTbnPqEbGuYl;click;DIV;;[266, 274];['', ''];['', '']
4;2022-01-20 13:12:55.252000+00:00;ETXFjTbnPqEbGuYl;click;LABEL;;[422, 465];[254, 5];[432, 24]
5;2022-01-20 13:12:55.254000+00:00;ETXFjTbnPqEbGuYl;click;INPUT;checkbox;[422, 465];[277, 0];[14, 14]
6;2022-01-20 13:12:55.847000+00:00;ETXFjTbnPqEbGuYl;click;P;;[192, 252];['', ''];['', '']
7;2022-01-20 13:12:55.984000+00:00;ETXFjTbnPqEbGuYl;click;P;;[192, 252];['', ''];['', '']
8;2022-01-20 13:13:07.318000+00:00;ETXFjTbnPqEbGuYl;click;DIV;;[798, 535];['', ''];['', '']
9;2022-01-20 13:13:10.944000+00:00;ETXFjTbnPqEbGuYl;click;INPUT;checkbox;[156, 472];[11, 6];[14, 14]
10;2022-01-20 13:13:39.048000+00:00;ETXFjTbnPqEbGuYl;click;INPUT;text;[262, 181];[116, 21];[185, 26]
11;2022-01-20 13:13:41.634000+00:00;ETXFjTbnPqEbGuYl;click;INPUT;text;[213, 177];[67, 18];[185, 26]
12;2022-01-20 13:13:43.315000+00:00;ETXFjTbnPqEbGuYl;click;INPUT;text;[206, 183];[60, 23];[185, 26]
13;2022-01-20 13:13:44.121000+00:00;ETXFjTbnPqEbGuYl;click;INPUT;text;[207, 185];[61, 25];[185, 26]
14;2022-01-20 13:13:45.135000+00:00;ETXFjTbnPqEbGuYl;click;INPUT;text;[150, 173];[4, 14];[185, 26]
15;2022-01-20 13:13:46.667000+00:00;ETXFjTbnPqEbGuYl;click;INPUT;text;[205, 174];[59, 14];[185, 26]
16;2022-01-20 13:13:51.437000+00:00;ETXFjTbnPqEbGuYl;click;INPUT;text;[248, 174];[102, 14];[185, 26]
17;2022-01-20 13:13:51.613000+00:00;ETXFjTbnPqEbGuYl;click;INPUT;text;[248, 174];[102, 14];[185, 26]
18;2022-01-20 13:13:51.737000+00:00;ETXFjTbnPqEbGuYl;click;INPUT;text;[248, 174];[102, 14];[185, 26]
19;2022-01-20 13:13:52.232000+00:00;ETXFjTbnPqEbGuYl;click;INPUT;text;[152, 181];[6, 21];[185, 26]
20;2022-01-20 13:14:10.235000+00:00;ETXFjTbnPqEbGuYl;click;INPUT;text;[276, 228];[129, 21];[185, 26]
21;2022-01-20 13:14:15.103000+00:00;ETXFjTbnPqEbGuYl;click;INPUT;text;[274, 277];[128, 24];[185, 26]
22;2022-01-20 13:14:16.136000+00:00;ETXFjTbnPqEbGuYl;click;INPUT;text;[316, 230];[170, 23];[185, 26]
23;2022-01-20 13:14:16.509000+00:00;ETXFjTbnPqEbGuYl;click;INPUT;text;[320, 186];[174, 26];[185, 26]
24;2022-01-20 13:14:17.927000+00:00;ETXFjTbnPqEbGuYl;click;BUTTON;;[1330, 693];[14, 28];[192, 36]
25;2022-01-20 13:14:30.645000+00:00;ETXFjTbnPqEbGuYl;click;INPUT;text;[314, 244];[168, 14];[185, 26]
26;2022-01-20 13:14:49.102000+00:00;ETXFjTbnPqEbGuYl;click;NULL;;[86, 105];['', ''];['', '']
