;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 13:18:41.559000+00:00;F4bQ77Zz6Yah5Y5h;click;BUTTON;;[1354, 346];[61, 7];[104, 36]
1;2022-01-13 13:18:44.097000+00:00;F4bQ77Zz6Yah5Y5h;click;DIV;;[144, 270];['', ''];['', '']
2;2022-01-13 13:18:45.028000+00:00;F4bQ77Zz6Yah5Y5h;click;DIV;;[145, 273];['', ''];['', '']
3;2022-01-13 13:18:45.432000+00:00;F4bQ77Zz6Yah5Y5h;click;INPUT;radio;[132, 265];[2, 6];[14, 14]
4;2022-01-13 13:18:50.129000+00:00;F4bQ77Zz6Yah5Y5h;click;LABEL;;[256, 345];[54, 20];[66, 36]
5;2022-01-13 13:18:50.131000+00:00;F4bQ77Zz6Yah5Y5h;click;INPUT;radio;[256, 345];[54, 21];[13, 13]
6;2022-01-13 13:18:51.334000+00:00;F4bQ77Zz6Yah5Y5h;click;LABEL;;[238, 527];[36, 21];[66, 36]
7;2022-01-13 13:18:51.335000+00:00;F4bQ77Zz6Yah5Y5h;click;INPUT;radio;[238, 527];[36, 22];[13, 13]
8;2022-01-13 13:18:59.278000+00:00;F4bQ77Zz6Yah5Y5h;click;INPUT;radio;[141, 270];[12, 9];[14, 14]
9;2022-01-13 13:19:04.941000+00:00;F4bQ77Zz6Yah5Y5h;click;INPUT;radio;[136, 340];[6, 8];[14, 14]
10;2022-01-13 13:19:17.712000+00:00;F4bQ77Zz6Yah5Y5h;click;INPUT;radio;[140, 369];[11, 12];[14, 14]
11;2022-01-13 13:19:23.717000+00:00;F4bQ77Zz6Yah5Y5h;click;DIV;;[146, 197];['', ''];['', '']
12;2022-01-13 13:19:24.313000+00:00;F4bQ77Zz6Yah5Y5h;click;INPUT;radio;[136, 197];[6, 7];[14, 14]
13;2022-01-13 13:19:25.092000+00:00;F4bQ77Zz6Yah5Y5h;click;INPUT;checkbox;[137, 417];[8, 8];[14, 14]
14;2022-01-13 13:19:25.357000+00:00;F4bQ77Zz6Yah5Y5h;click;INPUT;checkbox;[138, 441];[9, 6];[14, 14]
15;2022-01-13 13:19:26.493000+00:00;F4bQ77Zz6Yah5Y5h;click;INPUT;radio;[141, 505];[12, 8];[14, 14]
16;2022-01-13 13:19:27.235000+00:00;F4bQ77Zz6Yah5Y5h;click;BUTTON;;[1364, 687];[48, 21];[192, 36]
17;2022-01-13 13:19:37.151000+00:00;F4bQ77Zz6Yah5Y5h;click;DIV;;[280, 366];['', ''];['', '']
18;2022-01-13 13:19:37.599000+00:00;F4bQ77Zz6Yah5Y5h;click;DIV;;[379, 364];['', ''];['', '']
19;2022-01-13 13:20:07.176000+00:00;F4bQ77Zz6Yah5Y5h;click;DIV;;[1364, 521];['', ''];['', '']
20;2022-01-13 13:20:09.316000+00:00;F4bQ77Zz6Yah5Y5h;click;INPUT;radio;[137, 414];[8, 7];[14, 14]
21;2022-01-13 13:20:10.452000+00:00;F4bQ77Zz6Yah5Y5h;click;INPUT;radio;[143, 438];[14, 5];[14, 14]
22;2022-01-13 13:20:11.296000+00:00;F4bQ77Zz6Yah5Y5h;click;INPUT;radio;[133, 459];[4, -1];[14, 14]
23;2022-01-13 13:20:11.656000+00:00;F4bQ77Zz6Yah5Y5h;click;INPUT;radio;[140, 491];[11, 5];[14, 14]
24;2022-01-13 13:20:12.175000+00:00;F4bQ77Zz6Yah5Y5h;click;DIV;;[141, 376];['', ''];['', '']
25;2022-01-13 13:20:12.534000+00:00;F4bQ77Zz6Yah5Y5h;click;DIV;;[140, 372];['', ''];['', '']
26;2022-01-13 13:20:12.951000+00:00;F4bQ77Zz6Yah5Y5h;click;INPUT;radio;[131, 357];[2, 2];[14, 14]
27;2022-01-13 13:20:13.227000+00:00;F4bQ77Zz6Yah5Y5h;click;DIV;;[139, 399];['', ''];['', '']
28;2022-01-13 13:20:15.002000+00:00;F4bQ77Zz6Yah5Y5h;click;BUTTON;;[1452, 665];[1453, 1992];[0, 0]
29;2022-01-13 13:20:24.589000+00:00;F4bQ77Zz6Yah5Y5h;click;INPUT;radio;[137, 243];[8, 9];[14, 14]
30;2022-01-13 13:20:24.903000+00:00;F4bQ77Zz6Yah5Y5h;click;INPUT;radio;[132, 269];[3, 10];[14, 14]
31;2022-01-13 13:20:25.233000+00:00;F4bQ77Zz6Yah5Y5h;click;DIV;;[141, 301];['', ''];['', '']
32;2022-01-13 13:20:25.555000+00:00;F4bQ77Zz6Yah5Y5h;click;DIV;;[140, 301];['', ''];['', '']
33;2022-01-13 13:20:25.870000+00:00;F4bQ77Zz6Yah5Y5h;click;DIV;;[136, 305];['', ''];['', '']
34;2022-01-13 13:20:48.551000+00:00;F4bQ77Zz6Yah5Y5h;click;BUTTON;;[1388, 701];[72, 35];[192, 36]
35;2022-01-13 13:20:56.602000+00:00;F4bQ77Zz6Yah5Y5h;click;BUTTON;;[1435, 692];[1435, 3927];[0, 0]
36;2022-01-13 13:20:59.665000+00:00;F4bQ77Zz6Yah5Y5h;click;LABEL;;[218, 148];[16, 15];[66, 36]
37;2022-01-13 13:20:59.666000+00:00;F4bQ77Zz6Yah5Y5h;click;INPUT;radio;[218, 148];[16, 16];[13, 13]
38;2022-01-13 13:21:00.198000+00:00;F4bQ77Zz6Yah5Y5h;click;INPUT;radio;[247, 369];[45, 34];[13, 13]
39;2022-01-13 13:21:00.198000+00:00;F4bQ77Zz6Yah5Y5h;click;LABEL;;[247, 369];[45, 33];[66, 36]
40;2022-01-13 13:21:00.702000+00:00;F4bQ77Zz6Yah5Y5h;click;LABEL;;[251, 548];[49, 31];[66, 36]
41;2022-01-13 13:21:00.703000+00:00;F4bQ77Zz6Yah5Y5h;click;INPUT;radio;[251, 548];[49, 32];[13, 13]
42;2022-01-13 13:21:01.590000+00:00;F4bQ77Zz6Yah5Y5h;click;LABEL;;[240, 320];[38, 23];[66, 36]
43;2022-01-13 13:21:01.591000+00:00;F4bQ77Zz6Yah5Y5h;click;INPUT;radio;[240, 320];[38, 24];[13, 13]
44;2022-01-13 13:21:02.838000+00:00;F4bQ77Zz6Yah5Y5h;click;LABEL;;[163, 275];[11, 3];[214, 24]
45;2022-01-13 13:21:02.839000+00:00;F4bQ77Zz6Yah5Y5h;click;INPUT;checkbox;[163, 275];[34, -2];[14, 14]
46;2022-01-13 13:21:03.532000+00:00;F4bQ77Zz6Yah5Y5h;click;DIV;;[141, 514];['', ''];['', '']
47;2022-01-13 13:21:04.282000+00:00;F4bQ77Zz6Yah5Y5h;click;INPUT;radio;[129, 503];[0, 6];[14, 14]
48;2022-01-13 13:21:06.591000+00:00;F4bQ77Zz6Yah5Y5h;click;BUTTON;;[1336, 666];[20, 0];[192, 36]
49;2022-01-13 13:21:15.164000+00:00;F4bQ77Zz6Yah5Y5h;click;BUTTON;;[1439, 665];[1439, 1707];[0, 0]
50;2022-01-13 13:21:24.354000+00:00;F4bQ77Zz6Yah5Y5h;click;INPUT;radio;[136, 238];[6, 5];[14, 14]
51;2022-01-13 13:21:27.705000+00:00;F4bQ77Zz6Yah5Y5h;click;INPUT;radio;[138, 283];[9, 3];[14, 14]
52;2022-01-13 13:21:28.707000+00:00;F4bQ77Zz6Yah5Y5h;click;DIV;;[149, 340];['', ''];['', '']
53;2022-01-13 13:21:29.585000+00:00;F4bQ77Zz6Yah5Y5h;click;DIV;;[148, 333];['', ''];['', '']
54;2022-01-13 13:21:29.955000+00:00;F4bQ77Zz6Yah5Y5h;click;INPUT;checkbox;[141, 331];[12, 5];[14, 14]
