;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-20 12:50:56.286000+00:00;H2JYLQtZumbX9YNz;click;H1;;[1136, 238];['', ''];['', '']
1;2022-01-20 12:50:58.182000+00:00;H2JYLQtZumbX9YNz;click;BUTTON;;[1498, 355];[33, 15];[105, 36]
2;2022-01-20 12:51:05.671000+00:00;H2JYLQtZumbX9YNz;click;INPUT;text;[640, 248];[146, 9];[185, 26]
3;2022-01-20 12:51:26.606000+00:00;H2JYLQtZumbX9YNz;click;INPUT;text;[577, 319];[83, 9];[185, 26]
4;2022-01-20 12:51:30.528000+00:00;H2JYLQtZumbX9YNz;click;INPUT;text;[614, 396];[120, 15];[185, 26]
5;2022-01-20 12:51:52.782000+00:00;H2JYLQtZumbX9YNz;click;INPUT;text;[582, 487];[88, 11];[185, 26]
6;2022-01-20 12:52:01.814000+00:00;H2JYLQtZumbX9YNz;click;INPUT;text;[593, 546];[99, -1];[185, 26]
7;2022-01-20 12:52:08.483000+00:00;H2JYLQtZumbX9YNz;click;INPUT;text;[630, 616];[136, -2];[185, 26]
8;2022-01-20 12:52:17.674000+00:00;H2JYLQtZumbX9YNz;click;INPUT;text;[585, 753];[91, 16];[185, 26]
9;2022-01-20 12:52:28.088000+00:00;H2JYLQtZumbX9YNz;click;DIV;;[640, 352];['', ''];['', '']
10;2022-01-20 12:52:41.358000+00:00;H2JYLQtZumbX9YNz;click;INPUT;checkbox;[322, 423];[4, 7];[14, 14]
11;2022-01-20 12:52:41.830000+00:00;H2JYLQtZumbX9YNz;click;INPUT;checkbox;[327, 454];[9, 12];[14, 14]
12;2022-01-20 12:52:42.201000+00:00;H2JYLQtZumbX9YNz;click;INPUT;checkbox;[326, 469];[8, 1];[14, 14]
13;2022-01-20 12:52:44.889000+00:00;H2JYLQtZumbX9YNz;click;INPUT;checkbox;[325, 610];[7, 7];[14, 14]
14;2022-01-20 12:52:45.422000+00:00;H2JYLQtZumbX9YNz;click;INPUT;checkbox;[324, 634];[6, 5];[14, 14]
15;2022-01-20 12:52:54.859000+00:00;H2JYLQtZumbX9YNz;click;INPUT;checkbox;[330, 498];[12, 8];[14, 14]
16;2022-01-20 12:52:55.875000+00:00;H2JYLQtZumbX9YNz;click;INPUT;checkbox;[324, 525];[6, 9];[14, 14]
17;2022-01-20 12:52:56.517000+00:00;H2JYLQtZumbX9YNz;click;INPUT;checkbox;[324, 525];[6, 9];[14, 14]
18;2022-01-20 12:53:18.381000+00:00;H2JYLQtZumbX9YNz;click;INPUT;checkbox;[323, 426];[5, 10];[14, 14]
19;2022-01-20 12:53:24.218000+00:00;H2JYLQtZumbX9YNz;click;DIV;;[291, 504];['', ''];['', '']
20;2022-01-20 12:53:27.468000+00:00;H2JYLQtZumbX9YNz;click;INPUT;checkbox;[329, 478];[11, 1];[14, 14]
21;2022-01-20 12:53:29.058000+00:00;H2JYLQtZumbX9YNz;click;INPUT;checkbox;[320, 514];[2, 11];[14, 14]
22;2022-01-20 12:53:33.227000+00:00;H2JYLQtZumbX9YNz;click;INPUT;checkbox;[327, 474];[9, 10];[14, 14]
23;2022-01-20 12:53:35.815000+00:00;H2JYLQtZumbX9YNz;click;INPUT;checkbox;[324, 524];[6, 8];[14, 14]
24;2022-01-20 12:53:39.174000+00:00;H2JYLQtZumbX9YNz;click;INPUT;checkbox;[324, 519];[6, 3];[14, 14]
25;2022-01-20 12:53:42.232000+00:00;H2JYLQtZumbX9YNz;click;INPUT;checkbox;[321, 499];[3, 9];[14, 14]
26;2022-01-20 12:53:46.030000+00:00;H2JYLQtZumbX9YNz;click;INPUT;checkbox;[330, 458];[12, 7];[14, 14]
27;2022-01-20 12:53:47.176000+00:00;H2JYLQtZumbX9YNz;click;INPUT;checkbox;[325, 484];[7, 7];[14, 14]
28;2022-01-20 12:53:48.719000+00:00;H2JYLQtZumbX9YNz;click;INPUT;checkbox;[322, 507];[4, 4];[14, 14]
29;2022-01-20 12:53:54.496000+00:00;H2JYLQtZumbX9YNz;click;INPUT;checkbox;[328, 445];[10, 7];[14, 14]
