;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 12:44:44.608000+00:00;HMk6kjaMUucBmbWg;click;H1;;[1484, 243];['', ''];['', '']
1;2022-01-13 12:44:57.054000+00:00;HMk6kjaMUucBmbWg;click;HTML;;[1120, 572];['', ''];['', '']
2;2022-01-13 12:45:05.719000+00:00;HMk6kjaMUucBmbWg;click;BUTTON;;[1827, 362];[22, 22];[105, 36]
3;2022-01-13 12:45:14.560000+00:00;HMk6kjaMUucBmbWg;click;DIV;;[637, 181];['', ''];['', '']
4;2022-01-13 12:45:23.960000+00:00;HMk6kjaMUucBmbWg;click;DIV;;[889, 314];['', ''];['', '']
5;2022-01-13 12:45:24.679000+00:00;HMk6kjaMUucBmbWg;click;DIV;;[770, 366];['', ''];['', '']
6;2022-01-13 12:45:24.904000+00:00;HMk6kjaMUucBmbWg;click;DIV;;[763, 369];['', ''];['', '']
7;2022-01-13 12:46:08.220000+00:00;HMk6kjaMUucBmbWg;click;INPUT;radio;[656, 268];[15, 8];[14, 14]
8;2022-01-13 12:46:08.959000+00:00;HMk6kjaMUucBmbWg;click;INPUT;radio;[646, 299];[5, 13];[14, 14]
9;2022-01-13 12:46:09.707000+00:00;HMk6kjaMUucBmbWg;click;INPUT;radio;[649, 272];[8, 12];[14, 14]
10;2022-01-13 12:46:37.719000+00:00;HMk6kjaMUucBmbWg;click;LABEL;;[747, 845];[33, 19];[66, 36]
11;2022-01-13 12:46:37.719000+00:00;HMk6kjaMUucBmbWg;click;INPUT;radio;[747, 845];[33, 20];[13, 13]
12;2022-01-13 12:46:44.393000+00:00;HMk6kjaMUucBmbWg;click;LABEL;;[761, 1020];[47, 14];[66, 36]
13;2022-01-13 12:46:44.394000+00:00;HMk6kjaMUucBmbWg;click;INPUT;radio;[761, 1020];[47, 15];[13, 13]
14;2022-01-13 12:47:22.234000+00:00;HMk6kjaMUucBmbWg;click;INPUT;radio;[649, 1196];[8, 6];[14, 14]
15;2022-01-13 12:47:28.767000+00:00;HMk6kjaMUucBmbWg;click;INPUT;checkbox;[649, 1119];[8, 9];[14, 14]
16;2022-01-13 12:47:29.142000+00:00;HMk6kjaMUucBmbWg;click;INPUT;checkbox;[649, 1147];[8, 11];[14, 14]
17;2022-01-13 12:47:30.194000+00:00;HMk6kjaMUucBmbWg;click;INPUT;checkbox;[646, 1143];[5, 7];[14, 14]
18;2022-01-13 12:49:36.749000+00:00;HMk6kjaMUucBmbWg;click;INPUT;radio;[649, 591];[8, 7];[14, 14]
19;2022-01-13 12:51:45.059000+00:00;HMk6kjaMUucBmbWg;click;INPUT;radio;[652, 1091];[11, 10];[14, 14]
20;2022-01-13 12:52:39.846000+00:00;HMk6kjaMUucBmbWg;click;INPUT;checkbox;[652, 993];[11, 6];[14, 14]
21;2022-01-13 12:52:40.473000+00:00;HMk6kjaMUucBmbWg;click;INPUT;checkbox;[649, 1024];[8, 11];[14, 14]
22;2022-01-13 12:52:42.158000+00:00;HMk6kjaMUucBmbWg;click;BUTTON;;[2392, 1266];[52, 16];[192, 36]
23;2022-01-13 12:52:44.820000+00:00;HMk6kjaMUucBmbWg;click;NULL;;[2073, 570];['', ''];['', '']
24;2022-01-13 12:53:52.220000+00:00;HMk6kjaMUucBmbWg;click;BUTTON;;[2455, 1269];[2455, 2012];[0, 0]
25;2022-01-13 12:54:02.175000+00:00;HMk6kjaMUucBmbWg;click;INPUT;radio;[652, 293];[11, 7];[14, 14]
26;2022-01-13 12:54:04.758000+00:00;HMk6kjaMUucBmbWg;click;INPUT;radio;[656, 268];[15, 8];[14, 14]
27;2022-01-13 12:54:05.515000+00:00;HMk6kjaMUucBmbWg;click;INPUT;radio;[646, 289];[5, 3];[14, 14]
28;2022-01-13 12:54:16.964000+00:00;HMk6kjaMUucBmbWg;click;DIV;;[639, 464];['', ''];['', '']
29;2022-01-13 12:54:17.635000+00:00;HMk6kjaMUucBmbWg;click;INPUT;checkbox;[652, 464];[11, 6];[14, 14]
30;2022-01-13 12:55:05.084000+00:00;HMk6kjaMUucBmbWg;click;INPUT;checkbox;[652, 520];[11, 10];[14, 14]
31;2022-01-13 12:55:22.873000+00:00;HMk6kjaMUucBmbWg;click;INPUT;text;[856, 828];[23, 11];[185, 26]
32;2022-01-13 12:55:30.421000+00:00;HMk6kjaMUucBmbWg;click;INPUT;text;[883, 773];[50, 27];[185, 26]
33;2022-01-13 12:56:59.688000+00:00;HMk6kjaMUucBmbWg;click;INPUT;text;[894, 1119];[61, 12];[185, 26]
34;2022-01-13 12:57:29.213000+00:00;HMk6kjaMUucBmbWg;click;INPUT;text;[880, 990];[47, 2];[185, 26]
35;2022-01-13 12:57:58.172000+00:00;HMk6kjaMUucBmbWg;click;INPUT;text;[964, 528];[131, 19];[185, 26]
36;2022-01-13 12:58:09.380000+00:00;HMk6kjaMUucBmbWg;click;INPUT;text;[975, 590];[142, 10];[185, 26]
37;2022-01-13 12:58:24.442000+00:00;HMk6kjaMUucBmbWg;click;DIV;;[1440, 626];['', ''];['', '']
38;2022-01-13 12:58:25.514000+00:00;HMk6kjaMUucBmbWg;click;DIV;;[1251, 626];['', ''];['', '']
39;2022-01-13 12:58:29.038000+00:00;HMk6kjaMUucBmbWg;click;INPUT;text;[898, 664];[65, 13];[185, 26]
40;2022-01-13 12:58:35.648000+00:00;HMk6kjaMUucBmbWg;click;INPUT;text;[887, 762];[54, 16];[185, 26]
41;2022-01-13 12:58:48.332000+00:00;HMk6kjaMUucBmbWg;click;INPUT;text;[912, 752];[79, 6];[185, 26]
42;2022-01-13 12:58:56.591000+00:00;HMk6kjaMUucBmbWg;click;DIV;;[1115, 783];['', ''];['', '']
43;2022-01-13 12:59:39.368000+00:00;HMk6kjaMUucBmbWg;click;INPUT;checkbox;[670, 874];[13, 1];[14, 14]
44;2022-01-13 12:59:40.884000+00:00;HMk6kjaMUucBmbWg;click;INPUT;checkbox;[660, 933];[3, 8];[14, 14]
45;2022-01-13 12:59:53.018000+00:00;HMk6kjaMUucBmbWg;click;INPUT;checkbox;[670, 909];[13, 10];[14, 14]
46;2022-01-13 13:00:14.537000+00:00;HMk6kjaMUucBmbWg;click;INPUT;checkbox;[659, 692];[2, 6];[14, 14]
47;2022-01-13 13:00:20.112000+00:00;HMk6kjaMUucBmbWg;click;INPUT;checkbox;[670, 615];[13, 3];[14, 14]
48;2022-01-13 13:00:21.347000+00:00;HMk6kjaMUucBmbWg;click;INPUT;checkbox;[663, 646];[6, 8];[14, 14]
49;2022-01-13 13:00:51.288000+00:00;HMk6kjaMUucBmbWg;click;INPUT;checkbox;[656, 1017];[-2, 5];[14, 14]
50;2022-01-13 13:00:56.263000+00:00;HMk6kjaMUucBmbWg;click;INPUT;checkbox;[663, 972];[6, 12];[14, 14]
51;2022-01-13 13:01:17.951000+00:00;HMk6kjaMUucBmbWg;click;INPUT;checkbox;[660, 1129];[3, 8];[14, 14]
52;2022-01-13 13:01:21.505000+00:00;HMk6kjaMUucBmbWg;click;INPUT;checkbox;[670, 1182];[13, 9];[14, 14]
53;2022-01-13 13:01:25.708000+00:00;HMk6kjaMUucBmbWg;click;INPUT;checkbox;[667, 1158];[10, 11];[14, 14]
54;2022-01-13 13:01:46.212000+00:00;HMk6kjaMUucBmbWg;click;INPUT;checkbox;[663, 1011];[6, 3];[14, 14]
55;2022-01-13 13:01:46.653000+00:00;HMk6kjaMUucBmbWg;click;INPUT;checkbox;[670, 1038];[13, 4];[14, 14]
56;2022-01-13 13:02:20.059000+00:00;HMk6kjaMUucBmbWg;click;INPUT;checkbox;[667, 877];[10, 4];[14, 14]
57;2022-01-13 13:02:23.334000+00:00;HMk6kjaMUucBmbWg;click;DIV;;[673, 850];['', ''];['', '']
58;2022-01-13 13:02:23.871000+00:00;HMk6kjaMUucBmbWg;click;INPUT;checkbox;[667, 850];[10, 3];[14, 14]
59;2022-01-13 13:02:53.822000+00:00;HMk6kjaMUucBmbWg;click;INPUT;checkbox;[663, 696];[6, 10];[14, 14]
60;2022-01-13 13:02:54.566000+00:00;HMk6kjaMUucBmbWg;click;INPUT;checkbox;[660, 674];[3, 14];[14, 14]
61;2022-01-13 13:02:58.021000+00:00;HMk6kjaMUucBmbWg;click;INPUT;radio;[649, 821];[8, 7];[14, 14]
62;2022-01-13 13:03:02.768000+00:00;HMk6kjaMUucBmbWg;click;LABEL;;[667, 737];[27, 7];[73, 36]
63;2022-01-13 13:03:02.768000+00:00;HMk6kjaMUucBmbWg;click;INPUT;radio;[667, 737];[27, 8];[13, 13]
64;2022-01-13 13:03:07.942000+00:00;HMk6kjaMUucBmbWg;click;LABEL;;[765, 828];[51, 18];[66, 36]
65;2022-01-13 13:03:07.943000+00:00;HMk6kjaMUucBmbWg;click;INPUT;radio;[765, 828];[51, 19];[13, 13]
66;2022-01-13 13:03:13.244000+00:00;HMk6kjaMUucBmbWg;click;LABEL;;[761, 979];[47, 16];[66, 36]
67;2022-01-13 13:03:13.245000+00:00;HMk6kjaMUucBmbWg;click;INPUT;radio;[761, 979];[47, 17];[13, 13]
68;2022-01-13 13:03:19.479000+00:00;HMk6kjaMUucBmbWg;click;LABEL;;[684, 1165];[44, 22];[73, 36]
69;2022-01-13 13:03:19.479000+00:00;HMk6kjaMUucBmbWg;click;INPUT;radio;[684, 1165];[44, 23];[13, 13]
70;2022-01-13 13:03:24.365000+00:00;HMk6kjaMUucBmbWg;click;BUTTON;;[2413, 1259];[73, 9];[192, 36]
71;2022-01-13 13:03:43.284000+00:00;HMk6kjaMUucBmbWg;click;BUTTON;;[2444, 1255];[2444, 4050];[0, 0]
