;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 11:09:54.160000+00:00;Ivw6MiFZiU0F3hT6;click;BUTTON;;[1524, 347];[41, 7];[107, 36]
1;2022-01-13 11:09:58.374000+00:00;Ivw6MiFZiU0F3hT6;click;BUTTON;;[1795, 905];[86, 4];[188, 36]
2;2022-01-13 11:10:02.539000+00:00;Ivw6MiFZiU0F3hT6;click;BUTTON;;[1838, 919];[0, 0];[0, 0]
3;2022-01-13 11:10:10.163000+00:00;Ivw6MiFZiU0F3hT6;click;BUTTON;;[1813, 908];[104, 7];[188, 36]
4;2022-01-13 11:10:17.315000+00:00;Ivw6MiFZiU0F3hT6;click;BUTTON;;[1852, 922];[0, 0];[0, 0]
5;2022-01-13 11:10:23.224000+00:00;Ivw6MiFZiU0F3hT6;click;BUTTON;;[1836, 914];[127, 13];[188, 36]
6;2022-01-13 11:10:28.603000+00:00;Ivw6MiFZiU0F3hT6;click;BUTTON;;[1843, 920];[0, 0];[0, 0]
7;2022-01-13 11:10:33.593000+00:00;Ivw6MiFZiU0F3hT6;click;BUTTON;;[1843, 920];[134, 19];[188, 36]
8;2022-01-13 11:10:37.851000+00:00;Ivw6MiFZiU0F3hT6;click;BUTTON;;[1828, 912];[0, 0];[0, 0]
9;2022-01-13 11:10:42.453000+00:00;Ivw6MiFZiU0F3hT6;click;BUTTON;;[1832, 918];[123, 17];[188, 36]
10;2022-01-13 11:10:46.595000+00:00;Ivw6MiFZiU0F3hT6;click;BUTTON;;[1832, 918];[0, 0];[0, 0]
11;2022-01-13 11:10:58.337000+00:00;Ivw6MiFZiU0F3hT6;click;BUTTON;;[1836, 919];[127, 18];[188, 36]
12;2022-01-13 11:11:02.212000+00:00;Ivw6MiFZiU0F3hT6;click;BUTTON;;[1836, 919];[0, 0];[0, 0]
13;2022-01-13 11:11:06.784000+00:00;Ivw6MiFZiU0F3hT6;click;BUTTON;;[1829, 872];[108, 23];[188, 36]
