;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 12:44:29.615000+00:00;LbORFcceht0nuUhv;click;H1;;[828, 247];['', ''];['', '']
1;2022-01-13 12:45:01.785000+00:00;LbORFcceht0nuUhv;click;BUTTON;;[1138, 369];[63, 29];[105, 36]
2;2022-01-13 12:45:43.746000+00:00;LbORFcceht0nuUhv;click;INPUT;radio;[94, 271];[3, 11];[14, 14]
3;2022-01-13 12:45:47.699000+00:00;LbORFcceht0nuUhv;click;DIV;;[104, 213];['', ''];['', '']
4;2022-01-13 12:45:48.759000+00:00;LbORFcceht0nuUhv;click;INPUT;radio;[99, 223];[8, 12];[14, 14]
5;2022-01-13 12:45:49.570000+00:00;LbORFcceht0nuUhv;click;INPUT;radio;[103, 167];[12, 7];[14, 14]
6;2022-01-13 12:46:07.046000+00:00;LbORFcceht0nuUhv;click;INPUT;radio;[98, 238];[7, 6];[14, 14]
7;2022-01-13 12:47:44.205000+00:00;LbORFcceht0nuUhv;click;LABEL;;[177, 139];[13, 14];[67, 36]
8;2022-01-13 12:47:44.206000+00:00;LbORFcceht0nuUhv;click;INPUT;radio;[177, 139];[13, 15];[13, 13]
9;2022-01-13 12:47:44.943000+00:00;LbORFcceht0nuUhv;click;LABEL;;[111, 328];[21, 22];[73, 36]
10;2022-01-13 12:47:44.944000+00:00;LbORFcceht0nuUhv;click;INPUT;radio;[111, 328];[21, 23];[13, 13]
11;2022-01-13 12:48:08.454000+00:00;LbORFcceht0nuUhv;click;INPUT;radio;[99, 199];[8, 9];[14, 14]
12;2022-01-13 12:49:23.111000+00:00;LbORFcceht0nuUhv;click;DIV;;[105, 228];['', ''];['', '']
13;2022-01-13 12:49:24.231000+00:00;LbORFcceht0nuUhv;click;DIV;;[106, 227];['', ''];['', '']
14;2022-01-13 12:49:24.792000+00:00;LbORFcceht0nuUhv;click;INPUT;checkbox;[103, 225];[12, 12];[14, 14]
15;2022-01-13 12:49:33.023000+00:00;LbORFcceht0nuUhv;click;INPUT;radio;[97, 440];[6, 7];[14, 14]
16;2022-01-13 12:50:24.699000+00:00;LbORFcceht0nuUhv;click;LABEL;;[128, 423];[38, 20];[73, 36]
17;2022-01-13 12:50:24.700000+00:00;LbORFcceht0nuUhv;click;INPUT;radio;[128, 423];[38, 21];[13, 13]
18;2022-01-13 12:50:28.595000+00:00;LbORFcceht0nuUhv;click;LABEL;;[218, 225];[54, 22];[67, 36]
19;2022-01-13 12:50:28.596000+00:00;LbORFcceht0nuUhv;click;INPUT;radio;[218, 225];[54, 23];[13, 13]
20;2022-01-13 12:50:29.457000+00:00;LbORFcceht0nuUhv;click;LABEL;;[221, 399];[57, 16];[67, 36]
21;2022-01-13 12:50:29.458000+00:00;LbORFcceht0nuUhv;click;INPUT;radio;[221, 399];[57, 17];[13, 13]
22;2022-01-13 12:51:08.358000+00:00;LbORFcceht0nuUhv;click;INPUT;checkbox;[104, 221];[12, 11];[14, 14]
23;2022-01-13 12:51:09.042000+00:00;LbORFcceht0nuUhv;click;INPUT;checkbox;[95, 235];[4, 0];[14, 14]
24;2022-01-13 12:51:09.889000+00:00;LbORFcceht0nuUhv;click;LABEL;;[116, 245];[2, 14];[403, 24]
