;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 12:44:06.922000+00:00;MnFKQU71wY3NITW9;click;BUTTON;;[1545, 346];[60, 6];[105, 36]
1;2022-01-13 12:44:30.993000+00:00;MnFKQU71wY3NITW9;click;INPUT;radio;[331, 315];[10, 3];[14, 14]
2;2022-01-13 12:44:31.337000+00:00;MnFKQU71wY3NITW9;click;INPUT;radio;[329, 297];[8, 11];[14, 14]
3;2022-01-13 12:44:43.169000+00:00;MnFKQU71wY3NITW9;click;INPUT;radio;[334, 319];[13, 7];[14, 14]
4;2022-01-13 12:44:45.464000+00:00;MnFKQU71wY3NITW9;click;INPUT;radio;[332, 293];[11, 7];[14, 14]
5;2022-01-13 12:44:55.152000+00:00;MnFKQU71wY3NITW9;click;INPUT;radio;[333, 264];[12, 4];[14, 14]
6;2022-01-13 12:45:09.096000+00:00;MnFKQU71wY3NITW9;click;INPUT;radio;[327, 674];[6, 12];[14, 14]
7;2022-01-13 12:45:17.200000+00:00;MnFKQU71wY3NITW9;click;LABEL;;[346, 638];[26, 16];[73, 36]
8;2022-01-13 12:45:17.201000+00:00;MnFKQU71wY3NITW9;click;INPUT;radio;[346, 638];[24, 15];[10, 10]
9;2022-01-13 12:45:44.183000+00:00;MnFKQU71wY3NITW9;click;LABEL;;[423, 432];[29, 14];[67, 36]
10;2022-01-13 12:45:44.184000+00:00;MnFKQU71wY3NITW9;click;INPUT;radio;[423, 432];[27, 13];[10, 10]
11;2022-01-13 12:45:46.414000+00:00;MnFKQU71wY3NITW9;click;LABEL;;[349, 606];[29, 8];[73, 36]
12;2022-01-13 12:45:46.415000+00:00;MnFKQU71wY3NITW9;click;INPUT;radio;[349, 606];[27, 7];[10, 10]
13;2022-01-13 12:46:04.662000+00:00;MnFKQU71wY3NITW9;click;INPUT;radio;[326, 585];[5, 7];[14, 14]
14;2022-01-13 12:46:15.054000+00:00;MnFKQU71wY3NITW9;click;INPUT;radio;[328, 638];[7, 8];[14, 14]
15;2022-01-13 12:46:18.358000+00:00;MnFKQU71wY3NITW9;click;INPUT;radio;[335, 588];[14, 10];[14, 14]
16;2022-01-13 12:46:37.229000+00:00;MnFKQU71wY3NITW9;click;INPUT;checkbox;[327, 598];[6, 4];[14, 14]
17;2022-01-13 12:46:38.813000+00:00;MnFKQU71wY3NITW9;click;INPUT;checkbox;[323, 624];[2, 4];[14, 14]
18;2022-01-13 12:46:44.549000+00:00;MnFKQU71wY3NITW9;click;INPUT;checkbox;[329, 647];[8, 1];[14, 14]
19;2022-01-13 12:46:50.908000+00:00;MnFKQU71wY3NITW9;click;INPUT;radio;[334, 784];[13, 6];[14, 14]
20;2022-01-13 12:46:57.821000+00:00;MnFKQU71wY3NITW9;click;BUTTON;;[1768, 956];[68, 9];[192, 36]
21;2022-01-13 12:47:11.638000+00:00;MnFKQU71wY3NITW9;click;BUTTON;;[1795, 954];[0, 0];[0, 0]
22;2022-01-13 12:47:32.115000+00:00;MnFKQU71wY3NITW9;click;INPUT;radio;[331, 289];[10, 3];[14, 14]
23;2022-01-13 12:47:43.675000+00:00;MnFKQU71wY3NITW9;click;INPUT;checkbox;[331, 511];[10, 5];[14, 14]
24;2022-01-13 12:47:53.451000+00:00;MnFKQU71wY3NITW9;click;INPUT;checkbox;[327, 564];[6, 6];[14, 14]
25;2022-01-13 12:47:58.586000+00:00;MnFKQU71wY3NITW9;click;INPUT;checkbox;[327, 588];[6, 4];[14, 14]
26;2022-01-13 12:47:58.986000+00:00;MnFKQU71wY3NITW9;click;INPUT;checkbox;[332, 617];[11, 7];[14, 14]
27;2022-01-13 12:48:07.251000+00:00;MnFKQU71wY3NITW9;click;INPUT;checkbox;[334, 490];[13, 10];[14, 14]
