;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-20 12:51:04.922000+00:00;NTwZhwBmebca4Gup;click;H1;;[727, 252];['', ''];['', '']
1;2022-01-20 12:51:06.717000+00:00;NTwZhwBmebca4Gup;click;HTML;;[847, 662];['', ''];['', '']
2;2022-01-20 12:51:10.968000+00:00;NTwZhwBmebca4Gup;click;BUTTON;;[1500, 365];[35, 25];[105, 36]
3;2022-01-20 12:51:59.076000+00:00;NTwZhwBmebca4Gup;click;INPUT;text;[599, 255];[105, 16];[185, 26]
4;2022-01-20 12:52:03.240000+00:00;NTwZhwBmebca4Gup;click;INPUT;text;[603, 337];[109, 27];[185, 26]
5;2022-01-20 12:52:30.731000+00:00;NTwZhwBmebca4Gup;click;INPUT;text;[611, 173];[117, 17];[185, 26]
6;2022-01-20 12:52:55.768000+00:00;NTwZhwBmebca4Gup;click;INPUT;text;[583, 231];[89, 4];[185, 26]
7;2022-01-20 12:53:09.407000+00:00;NTwZhwBmebca4Gup;click;DIV;;[477, 240];['', ''];['', '']
8;2022-01-20 12:53:09.491000+00:00;NTwZhwBmebca4Gup;click;DIV;;[477, 240];['', ''];['', '']
9;2022-01-20 12:53:10.800000+00:00;NTwZhwBmebca4Gup;click;INPUT;text;[491, 255];[-3, 16];[185, 26]
10;2022-01-20 12:53:13.775000+00:00;NTwZhwBmebca4Gup;click;INPUT;text;[545, 385];[51, 4];[185, 26]
11;2022-01-20 12:53:30.409000+00:00;NTwZhwBmebca4Gup;click;INPUT;text;[601, 496];[107, 20];[185, 26]
12;2022-01-20 12:53:39.329000+00:00;NTwZhwBmebca4Gup;click;INPUT;text;[607, 390];[113, 9];[185, 26]
13;2022-01-20 12:53:43.288000+00:00;NTwZhwBmebca4Gup;click;INPUT;text;[629, 328];[135, 18];[185, 26]
14;2022-01-20 12:53:47.307000+00:00;NTwZhwBmebca4Gup;click;DIV;;[454, 332];['', ''];['', '']
15;2022-01-20 12:53:48.299000+00:00;NTwZhwBmebca4Gup;click;LI;;[581, 469];['', ''];['', '']
16;2022-01-20 12:53:48.642000+00:00;NTwZhwBmebca4Gup;click;LI;;[581, 480];['', ''];['', '']
17;2022-01-20 12:53:49.006000+00:00;NTwZhwBmebca4Gup;click;INPUT;text;[581, 480];[87, 4];[185, 26]
18;2022-01-20 12:53:50.644000+00:00;NTwZhwBmebca4Gup;click;INPUT;text;[631, 317];[137, 7];[185, 26]
19;2022-01-20 12:53:51.141000+00:00;NTwZhwBmebca4Gup;click;INPUT;text;[631, 317];[137, 7];[185, 26]
20;2022-01-20 12:53:51.311000+00:00;NTwZhwBmebca4Gup;click;INPUT;text;[631, 317];[137, 7];[185, 26]
21;2022-01-20 12:53:51.763000+00:00;NTwZhwBmebca4Gup;click;INPUT;text;[631, 317];[137, 7];[185, 26]
22;2022-01-20 12:53:52.889000+00:00;NTwZhwBmebca4Gup;click;INPUT;text;[620, 334];[126, 24];[185, 26]
23;2022-01-20 12:53:59.858000+00:00;NTwZhwBmebca4Gup;click;INPUT;text;[580, 482];[86, 6];[185, 26]
24;2022-01-20 12:54:12.620000+00:00;NTwZhwBmebca4Gup;click;LI;;[626, 307];['', ''];['', '']
25;2022-01-20 12:54:15.497000+00:00;NTwZhwBmebca4Gup;click;INPUT;text;[630, 317];[136, 7];[185, 26]
26;2022-01-20 12:54:19.211000+00:00;NTwZhwBmebca4Gup;click;INPUT;text;[622, 550];[128, 3];[185, 26]
27;2022-01-20 12:54:41.749000+00:00;NTwZhwBmebca4Gup;click;INPUT;text;[569, 631];[75, 13];[185, 26]
