;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 12:44:01.071000+00:00;O8ZCCmbvZFmxRfcU;click;BUTTON;;[1419, 355];[38, 16];[110, 36]
1;2022-01-13 12:45:20.786000+00:00;O8ZCCmbvZFmxRfcU;click;DIV;;[445, 269];['', ''];['', '']
2;2022-01-13 12:45:22.450000+00:00;O8ZCCmbvZFmxRfcU;click;LABEL;;[358, 322];[103, 15];[132, 24]
3;2022-01-13 12:45:22.451000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;radio;[358, 322];[0, 0];[14, 14]
4;2022-01-13 12:45:23.293000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;radio;[376, 277];[0, 0];[14, 14]
5;2022-01-13 12:45:23.293000+00:00;O8ZCCmbvZFmxRfcU;click;LABEL;;[376, 277];[121, 22];[187, 24]
6;2022-01-13 12:45:24.399000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;radio;[359, 314];[0, 0];[14, 14]
7;2022-01-13 12:45:24.399000+00:00;O8ZCCmbvZFmxRfcU;click;LABEL;;[359, 314];[104, 7];[132, 24]
8;2022-01-13 12:45:46.052000+00:00;O8ZCCmbvZFmxRfcU;click;LABEL;;[331, 297];[76, 16];[97, 24]
9;2022-01-13 12:45:46.052000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;radio;[331, 297];[0, 0];[14, 14]
10;2022-01-13 12:45:51.282000+00:00;O8ZCCmbvZFmxRfcU;click;LABEL;;[288, 349];[33, 16];[43, 24]
11;2022-01-13 12:45:51.282000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;radio;[288, 349];[0, 0];[14, 14]
12;2022-01-13 12:45:52.672000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;radio;[288, 349];[0, 0];[14, 14]
13;2022-01-13 12:45:52.672000+00:00;O8ZCCmbvZFmxRfcU;click;LABEL;;[288, 349];[33, 16];[43, 24]
14;2022-01-13 12:46:01.508000+00:00;O8ZCCmbvZFmxRfcU;click;LABEL;;[347, 313];[92, 17];[132, 24]
15;2022-01-13 12:46:01.509000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;radio;[347, 313];[0, 0];[14, 14]
16;2022-01-13 12:46:09.029000+00:00;O8ZCCmbvZFmxRfcU;click;LABEL;;[301, 219];[46, 11];[97, 24]
17;2022-01-13 12:46:09.029000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;radio;[301, 219];[0, 0];[14, 14]
18;2022-01-13 12:46:23.391000+00:00;O8ZCCmbvZFmxRfcU;click;DIV;;[960, 97];['', ''];['', '']
19;2022-01-13 12:46:42.449000+00:00;O8ZCCmbvZFmxRfcU;click;LABEL;;[401, 199];[146, 17];[187, 24]
20;2022-01-13 12:46:42.449000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;radio;[401, 199];[0, 0];[14, 14]
21;2022-01-13 12:46:51.842000+00:00;O8ZCCmbvZFmxRfcU;click;DIV;;[614, 406];['', ''];['', '']
22;2022-01-13 12:46:52.662000+00:00;O8ZCCmbvZFmxRfcU;click;DIV;;[772, 391];['', ''];['', '']
23;2022-01-13 12:47:00.132000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;radio;[486, 495];[0, 0];[14, 14]
24;2022-01-13 12:47:00.132000+00:00;O8ZCCmbvZFmxRfcU;click;LABEL;;[486, 495];[231, 15];[245, 24]
25;2022-01-13 12:47:08.557000+00:00;O8ZCCmbvZFmxRfcU;click;LABEL;;[339, 514];[84, 8];[99, 24]
26;2022-01-13 12:47:08.557000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;radio;[339, 514];[0, 0];[14, 14]
27;2022-01-13 12:47:27.300000+00:00;O8ZCCmbvZFmxRfcU;click;LABEL;;[259, 586];[29, 8];[74, 36]
28;2022-01-13 12:47:27.300000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;radio;[259, 586];[0, 0];[14, 14]
29;2022-01-13 12:47:32.033000+00:00;O8ZCCmbvZFmxRfcU;click;LABEL;;[264, 744];[34, 31];[74, 36]
30;2022-01-13 12:47:32.034000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;radio;[264, 744];[0, 0];[14, 14]
31;2022-01-13 12:47:45.741000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;radio;[752, 662];[0, 0];[14, 14]
32;2022-01-13 12:47:45.741000+00:00;O8ZCCmbvZFmxRfcU;click;LABEL;;[752, 662];[497, 13];[567, 24]
33;2022-01-13 12:48:09.771000+00:00;O8ZCCmbvZFmxRfcU;click;LABEL;;[749, 696];[494, 10];[561, 24]
34;2022-01-13 12:48:09.771000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;checkbox;[749, 696];[0, 0];[14, 14]
35;2022-01-13 12:48:10.509000+00:00;O8ZCCmbvZFmxRfcU;click;LABEL;;[628, 725];[373, 13];[418, 24]
36;2022-01-13 12:48:10.510000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;checkbox;[628, 725];[0, 0];[14, 14]
37;2022-01-13 12:48:22.958000+00:00;O8ZCCmbvZFmxRfcU;click;LABEL;;[614, 781];[359, 17];[600, 24]
38;2022-01-13 12:48:22.958000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;checkbox;[614, 781];[0, 0];[14, 14]
39;2022-01-13 12:48:25.408000+00:00;O8ZCCmbvZFmxRfcU;click;LABEL;;[571, 748];[316, 10];[345, 24]
40;2022-01-13 12:48:25.408000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;checkbox;[571, 748];[0, 0];[14, 14]
41;2022-01-13 12:48:28.843000+00:00;O8ZCCmbvZFmxRfcU;click;LABEL;;[562, 650];[307, 13];[345, 24]
42;2022-01-13 12:48:28.844000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;checkbox;[562, 650];[0, 0];[14, 14]
43;2022-01-13 12:48:39.787000+00:00;O8ZCCmbvZFmxRfcU;click;LABEL;;[565, 616];[310, 16];[345, 24]
44;2022-01-13 12:48:39.788000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;checkbox;[565, 616];[0, 0];[14, 14]
45;2022-01-13 12:48:43.316000+00:00;O8ZCCmbvZFmxRfcU;click;LABEL;;[338, 804];[83, 10];[113, 24]
46;2022-01-13 12:48:43.316000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;radio;[338, 804];[0, 0];[14, 14]
47;2022-01-13 12:48:45.784000+00:00;O8ZCCmbvZFmxRfcU;click;BUTTON;;[1583, 979];[64, 12];[193, 36]
48;2022-01-13 12:49:46.100000+00:00;O8ZCCmbvZFmxRfcU;click;BUTTON;;[1659, 1005];[1659, 2025];[0, 0]
49;2022-01-13 12:53:05.762000+00:00;O8ZCCmbvZFmxRfcU;click;LABEL;;[847, 298];[558, 17];[744, 24]
50;2022-01-13 12:53:05.763000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;radio;[847, 298];[0, 0];[14, 14]
51;2022-01-13 12:53:51.011000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;checkbox;[564, 439];[0, 0];[14, 14]
52;2022-01-13 12:53:51.011000+00:00;O8ZCCmbvZFmxRfcU;click;LABEL;;[564, 439];[275, 15];[311, 24]
53;2022-01-13 12:53:57.203000+00:00;O8ZCCmbvZFmxRfcU;click;LABEL;;[451, 410];[162, 12];[293, 24]
54;2022-01-13 12:53:59.007000+00:00;O8ZCCmbvZFmxRfcU;click;DIV;;[264, 407];['', ''];['', '']
55;2022-01-13 12:53:59.530000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;checkbox;[270, 409];[5, 7];[14, 14]
56;2022-01-13 12:54:03.187000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;checkbox;[277, 490];[12, 10];[14, 14]
57;2022-01-13 12:54:09.367000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;checkbox;[272, 513];[7, 7];[14, 14]
58;2022-01-13 12:54:10.075000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;checkbox;[272, 513];[7, 7];[14, 14]
59;2022-01-13 12:54:12.766000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;checkbox;[272, 536];[7, 4];[14, 14]
60;2022-01-13 12:54:15.406000+00:00;O8ZCCmbvZFmxRfcU;click;DIV;;[285, 567];['', ''];['', '']
61;2022-01-13 12:54:16.109000+00:00;O8ZCCmbvZFmxRfcU;click;DIV;;[281, 567];['', ''];['', '']
62;2022-01-13 12:54:17.147000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;checkbox;[273, 566];[8, 8];[14, 14]
63;2022-01-13 12:59:04.231000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;text;[639, 533];[176, 24];[196, 24]
64;2022-01-13 12:59:21.672000+00:00;O8ZCCmbvZFmxRfcU;click;LI;;[799, 667];['', ''];['', '']
65;2022-01-13 12:59:32.736000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;text;[618, 624];[155, 12];[196, 24]
66;2022-01-13 12:59:38.995000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;text;[612, 624];[149, 12];[196, 24]
67;2022-01-13 12:59:44.105000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;text;[499, 694];[36, 11];[196, 24]
68;2022-01-13 13:00:10.482000+00:00;O8ZCCmbvZFmxRfcU;click;DIV;;[1063, 759];['', ''];['', '']
69;2022-01-13 13:00:28.300000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;text;[656, 741];[193, 10];[196, 24]
70;2022-01-13 13:00:41.732000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;text;[615, 828];[152, 6];[196, 24]
71;2022-01-13 13:00:46.932000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;text;[618, 644];[155, 12];[196, 24]
72;2022-01-13 13:00:58.128000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;text;[595, 838];[132, 16];[196, 24]
73;2022-01-13 13:01:03.365000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;text;[647, 478];[184, 12];[196, 24]
74;2022-01-13 13:01:34.014000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;text;[612, 566];[149, 5];[196, 24]
75;2022-01-13 13:01:51.113000+00:00;O8ZCCmbvZFmxRfcU;click;DIV;;[770, 407];['', ''];['', '']
76;2022-01-13 13:01:53.199000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;text;[631, 850];[168, 28];[196, 24]
77;2022-01-13 13:02:12.922000+00:00;O8ZCCmbvZFmxRfcU;click;LI;;[544, 321];['', ''];['', '']
78;2022-01-13 13:02:13.459000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;text;[534, 341];[71, 17];[196, 24]
79;2022-01-13 13:02:32.915000+00:00;O8ZCCmbvZFmxRfcU;click;LABEL;;[538, 433];[233, 15];[399, 24]
80;2022-01-13 13:02:33.954000+00:00;O8ZCCmbvZFmxRfcU;click;LABEL;;[490, 429];[185, 11];[399, 24]
81;2022-01-13 13:02:34.823000+00:00;O8ZCCmbvZFmxRfcU;click;LABEL;;[490, 429];[185, 11];[399, 24]
82;2022-01-13 13:02:36.462000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;checkbox;[294, 430];[13, 8];[14, 14]
83;2022-01-13 13:02:38.924000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;checkbox;[286, 486];[5, 12];[14, 14]
84;2022-01-13 13:02:44.098000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;checkbox;[291, 511];[10, 11];[14, 14]
85;2022-01-13 13:02:49.877000+00:00;O8ZCCmbvZFmxRfcU;click;LABEL;;[372, 634];[67, 17];[371, 24]
86;2022-01-13 13:02:49.877000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;checkbox;[372, 634];[0, 0];[14, 14]
87;2022-01-13 13:02:51.134000+00:00;O8ZCCmbvZFmxRfcU;click;DIV;;[298, 626];['', ''];['', '']
88;2022-01-13 13:02:51.653000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;checkbox;[284, 626];[3, 5];[14, 14]
89;2022-01-13 13:03:06.948000+00:00;O8ZCCmbvZFmxRfcU;click;LABEL;;[320, 575];[15, 13];[444, 24]
90;2022-01-13 13:03:08.019000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;checkbox;[284, 572];[3, 6];[14, 14]
91;2022-01-13 13:03:09.828000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;checkbox;[294, 603];[13, 11];[14, 14]
92;2022-01-13 13:03:11.640000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;checkbox;[292, 592];[11, 4];[14, 14]
93;2022-01-13 13:03:14.302000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;checkbox;[294, 616];[13, 2];[14, 14]
94;2022-01-13 13:03:22.142000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;checkbox;[293, 650];[12, 10];[14, 14]
95;2022-01-13 13:03:29.959000+00:00;O8ZCCmbvZFmxRfcU;click;LABEL;;[450, 511];[145, 15];[393, 24]
96;2022-01-13 13:03:29.959000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;checkbox;[450, 511];[0, 0];[14, 14]
97;2022-01-13 13:03:32.461000+00:00;O8ZCCmbvZFmxRfcU;click;DIV;;[299, 510];['', ''];['', '']
98;2022-01-13 13:03:33.499000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;checkbox;[295, 511];[14, 11];[14, 14]
99;2022-01-13 13:03:36.390000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;checkbox;[292, 559];[11, 7];[14, 14]
100;2022-01-13 13:03:37.767000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;checkbox;[292, 586];[11, 8];[14, 14]
101;2022-01-13 13:03:43.775000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;checkbox;[289, 536];[8, 11];[14, 14]
102;2022-01-13 13:03:45.833000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;checkbox;[292, 455];[11, 13];[14, 14]
103;2022-01-13 13:03:47.306000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;checkbox;[292, 566];[11, 15];[14, 14]
104;2022-01-13 13:04:19.456000+00:00;O8ZCCmbvZFmxRfcU;click;LABEL;;[466, 546];[161, 13];[673, 24]
105;2022-01-13 13:04:20.463000+00:00;O8ZCCmbvZFmxRfcU;click;LABEL;;[431, 553];[126, 20];[673, 24]
106;2022-01-13 13:04:21.523000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;checkbox;[288, 551];[7, 14];[14, 14]
107;2022-01-13 13:04:29.238000+00:00;O8ZCCmbvZFmxRfcU;click;LABEL;;[296, 911];[7, 7];[54, 24]
108;2022-01-13 13:04:29.238000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;radio;[296, 911];[0, 0];[14, 14]
109;2022-01-13 13:04:47.602000+00:00;O8ZCCmbvZFmxRfcU;click;INPUT;checkbox;[479, 636];[0, 0];[14, 14]
110;2022-01-13 13:04:47.602000+00:00;O8ZCCmbvZFmxRfcU;click;LABEL;;[479, 636];[174, 12];[356, 24]
