;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 12:44:17.779000+00:00;PXKN6DkYIuUlQT7M;click;H1;;[966, 233];['', ''];['', '']
1;2022-01-13 12:44:41.891000+00:00;PXKN6DkYIuUlQT7M;click;DIV;;[794, 190];['', ''];['', '']
2;2022-01-13 12:44:57.123000+00:00;PXKN6DkYIuUlQT7M;click;BUTTON;;[1368, 361];[75, 22];[104, 36]
3;2022-01-13 12:45:39.595000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;radio;[141, 271];[12, 11];[14, 14]
4;2022-01-13 12:45:40.443000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;radio;[143, 296];[14, 10];[14, 14]
5;2022-01-13 12:45:41.348000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;radio;[136, 266];[7, 7];[14, 14]
6;2022-01-13 12:46:36.403000+00:00;PXKN6DkYIuUlQT7M;click;LABEL;;[262, 276];[110, 23];[241, 24]
7;2022-01-13 12:46:36.405000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;radio;[262, 276];[133, 18];[14, 14]
8;2022-01-13 12:47:12.091000+00:00;PXKN6DkYIuUlQT7M;click;NULL;;[76, 185];['', ''];['', '']
9;2022-01-13 12:47:51.339000+00:00;PXKN6DkYIuUlQT7M;click;LABEL;;[215, 397];[63, 19];[95, 24]
10;2022-01-13 12:47:51.340000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;radio;[215, 397];[86, 14];[14, 14]
11;2022-01-13 12:48:49.243000+00:00;PXKN6DkYIuUlQT7M;click;LABEL;;[148, 242];[19, 17];[73, 36]
12;2022-01-13 12:48:49.245000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;radio;[148, 242];[19, 18];[13, 13]
13;2022-01-13 12:48:53.348000+00:00;PXKN6DkYIuUlQT7M;click;DIV;;[391, 310];['', ''];['', '']
14;2022-01-13 12:48:53.843000+00:00;PXKN6DkYIuUlQT7M;click;DIV;;[440, 321];['', ''];['', '']
15;2022-01-13 12:49:10.651000+00:00;PXKN6DkYIuUlQT7M;click;LABEL;;[150, 317];[22, 11];[73, 36]
16;2022-01-13 12:49:10.653000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;radio;[150, 317];[22, 12];[13, 13]
17;2022-01-13 12:49:42.179000+00:00;PXKN6DkYIuUlQT7M;click;LABEL;;[357, 199];[205, 14];[550, 24]
18;2022-01-13 12:49:42.180000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;radio;[357, 199];[228, 9];[14, 14]
19;2022-01-13 12:50:34.435000+00:00;PXKN6DkYIuUlQT7M;click;DIV;;[144, 288];['', ''];['', '']
20;2022-01-13 12:50:35.147000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;checkbox;[135, 288];[6, 11];[14, 14]
21;2022-01-13 12:51:17.059000+00:00;PXKN6DkYIuUlQT7M;click;LABEL;;[372, 585];[220, 14];[414, 24]
22;2022-01-13 12:51:17.060000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;radio;[372, 585];[243, 9];[14, 14]
23;2022-01-13 12:52:05.491000+00:00;PXKN6DkYIuUlQT7M;click;DIV;;[144, 509];['', ''];['', '']
24;2022-01-13 12:52:06.587000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;radio;[138, 505];[9, 8];[14, 14]
25;2022-01-13 12:52:32.387000+00:00;PXKN6DkYIuUlQT7M;click;BUTTON;;[1443, 679];[127, 13];[192, 36]
26;2022-01-13 12:53:14.246000+00:00;PXKN6DkYIuUlQT7M;click;BUTTON;;[1480, 684];[1480, 2011];[0, 0]
27;2022-01-13 12:54:14.083000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;radio;[136, 293];[7, 8];[14, 14]
28;2022-01-13 12:54:54.467000+00:00;PXKN6DkYIuUlQT7M;click;LABEL;;[243, 296];[91, 17];[414, 24]
29;2022-01-13 12:54:54.469000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;checkbox;[243, 296];[114, 12];[14, 14]
30;2022-01-13 12:54:55.267000+00:00;PXKN6DkYIuUlQT7M;click;LABEL;;[254, 345];[102, 14];[342, 24]
31;2022-01-13 12:54:55.269000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;checkbox;[254, 345];[125, 9];[14, 14]
32;2022-01-13 12:55:03.923000+00:00;PXKN6DkYIuUlQT7M;click;LABEL;;[334, 261];[182, 8];[698, 24]
33;2022-01-13 12:55:03.925000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;checkbox;[334, 261];[205, 3];[14, 14]
34;2022-01-13 12:57:26.884000+00:00;PXKN6DkYIuUlQT7M;click;NULL;;[1468, 353];['', ''];['', '']
35;2022-01-13 12:57:28.124000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;text;[466, 236];[145, 27];[185, 26]
36;2022-01-13 12:57:28.757000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;text;[464, 227];[144, 18];[185, 26]
37;2022-01-13 12:57:56.588000+00:00;PXKN6DkYIuUlQT7M;click;LABEL;;[383, 187];[231, 12];[281, 24]
38;2022-01-13 12:57:59.548000+00:00;PXKN6DkYIuUlQT7M;click;LABEL;;[383, 187];[231, 12];[281, 24]
39;2022-01-13 12:59:32.726000+00:00;PXKN6DkYIuUlQT7M;click;NULL;;[1452, 301];['', ''];['', '']
40;2022-01-13 13:06:50.741000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;text;[456, 234];[136, 26];[185, 26]
41;2022-01-13 13:06:51.277000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;text;[465, 229];[144, 20];[185, 26]
42;2022-01-13 13:07:42.885000+00:00;PXKN6DkYIuUlQT7M;click;DIV;;[1007, 224];['', ''];['', '']
43;2022-01-13 13:10:46.093000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;text;[472, 362];[151, 12];[185, 26]
44;2022-01-13 13:11:16.221000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;text;[378, 225];[57, 17];[185, 26]
45;2022-01-13 13:11:16.637000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;text;[378, 225];[57, 17];[185, 26]
46;2022-01-13 13:12:51.590000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;text;[437, 106];[116, -2];[185, 26]
47;2022-01-13 13:14:15.630000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;text;[408, 183];[88, 3];[185, 26]
48;2022-01-13 13:14:46.870000+00:00;PXKN6DkYIuUlQT7M;click;NULL;;[1456, 437];['', ''];['', '']
49;2022-01-13 13:15:10.518000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;text;[460, 337];[140, 21];[185, 26]
50;2022-01-13 13:16:42.782000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;text;[383, 157];[62, 12];[185, 26]
51;2022-01-13 13:16:49.334000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;text;[406, 241];[85, 25];[185, 26]
52;2022-01-13 13:19:40.205000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;text;[427, 217];[106, 11];[185, 26]
53;2022-01-13 13:20:16.470000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;checkbox;[158, 243];[13, 5];[14, 14]
54;2022-01-13 13:20:36.646000+00:00;PXKN6DkYIuUlQT7M;click;LABEL;;[240, 224];[71, 17];[321, 24]
55;2022-01-13 13:20:36.647000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;checkbox;[240, 224];[110, 1118];[14, 14]
56;2022-01-13 13:20:40.038000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;checkbox;[153, 258];[8, 3];[14, 14]
57;2022-01-13 13:20:45.582000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;checkbox;[153, 243];[8, 13];[14, 14]
58;2022-01-13 13:21:21.886000+00:00;PXKN6DkYIuUlQT7M;click;LABEL;;[217, 374];[49, 11];[411, 24]
59;2022-01-13 13:21:21.887000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;checkbox;[217, 374];[88, 1299];[14, 14]
60;2022-01-13 13:21:25.846000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;checkbox;[148, 310];[2, 6];[14, 14]
61;2022-01-13 13:21:33.159000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;checkbox;[152, 339];[6, 8];[14, 14]
62;2022-01-13 13:21:36.678000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;checkbox;[148, 257];[3, 4];[14, 14]
63;2022-01-13 13:22:23.462000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;checkbox;[152, 198];[6, 7];[14, 14]
64;2022-01-13 13:22:40.406000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;checkbox;[156, 245];[10, 5];[14, 14]
65;2022-01-13 13:22:42.159000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;checkbox;[152, 275];[6, 9];[14, 14]
66;2022-01-13 13:23:00.950000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;checkbox;[156, 233];[11, 7];[14, 14]
67;2022-01-13 13:23:19.910000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;checkbox;[153, 266];[8, 14];[14, 14]
68;2022-01-13 13:23:55.054000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;checkbox;[153, 221];[8, 8];[14, 14]
69;2022-01-13 13:25:23.543000+00:00;PXKN6DkYIuUlQT7M;click;INPUT;checkbox;[154, 275];[9, 9];[14, 14]
