;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 12:44:26.473000+00:00;QetnCoPqEOM4asQu;click;H1;;[1235, 257];['', ''];['', '']
1;2022-01-13 12:44:39.271000+00:00;QetnCoPqEOM4asQu;click;BUTTON;;[1621, 353];[71, 13];[105, 36]
2;2022-01-13 12:44:45.091000+00:00;QetnCoPqEOM4asQu;click;INPUT;radio;[389, 270];[4, 11];[14, 14]
3;2022-01-13 12:45:00.616000+00:00;QetnCoPqEOM4asQu;click;LABEL;;[484, 329];[76, 14];[83, 24]
4;2022-01-13 12:45:00.617000+00:00;QetnCoPqEOM4asQu;click;INPUT;radio;[484, 329];[99, 10];[14, 14]
5;2022-01-13 12:45:24.368000+00:00;QetnCoPqEOM4asQu;click;LABEL;;[499, 430];[42, 29];[67, 36]
6;2022-01-13 12:45:24.369000+00:00;QetnCoPqEOM4asQu;click;INPUT;radio;[499, 430];[40, 28];[10, 10]
7;2022-01-13 12:45:28.466000+00:00;QetnCoPqEOM4asQu;click;LABEL;;[491, 388];[34, 19];[67, 36]
8;2022-01-13 12:45:28.467000+00:00;QetnCoPqEOM4asQu;click;INPUT;radio;[491, 388];[32, 18];[10, 10]
9;2022-01-13 12:45:29.262000+00:00;QetnCoPqEOM4asQu;click;LABEL;;[400, 211];[16, 21];[73, 36]
10;2022-01-13 12:45:29.263000+00:00;QetnCoPqEOM4asQu;click;INPUT;radio;[400, 211];[14, 20];[10, 10]
11;2022-01-13 12:45:52.700000+00:00;QetnCoPqEOM4asQu;click;LABEL;;[843, 541];[435, 16];[550, 24]
12;2022-01-13 12:45:52.701000+00:00;QetnCoPqEOM4asQu;click;INPUT;radio;[843, 541];[458, 11];[14, 14]
13;2022-01-13 12:45:56.647000+00:00;QetnCoPqEOM4asQu;click;INPUT;checkbox;[385, 546];[0, 8];[14, 14]
14;2022-01-13 12:45:57.477000+00:00;QetnCoPqEOM4asQu;click;INPUT;checkbox;[386, 573];[1, 9];[14, 14]
15;2022-01-13 12:46:25.009000+00:00;QetnCoPqEOM4asQu;click;LABEL;;[533, 814];[125, 9];[191, 24]
16;2022-01-13 12:46:25.010000+00:00;QetnCoPqEOM4asQu;click;INPUT;radio;[533, 814];[148, 5];[14, 14]
17;2022-01-13 12:46:39.964000+00:00;QetnCoPqEOM4asQu;click;LABEL;;[593, 865];[185, 8];[413, 24]
18;2022-01-13 12:46:39.965000+00:00;QetnCoPqEOM4asQu;click;INPUT;radio;[593, 865];[208, 4];[14, 14]
19;2022-01-13 12:46:43.539000+00:00;QetnCoPqEOM4asQu;click;BUTTON;;[1858, 970];[30, 18];[192, 36]
20;2022-01-13 12:46:47.192000+00:00;QetnCoPqEOM4asQu;click;INPUT;radio;[390, 404];[5, 9];[14, 14]
21;2022-01-13 12:46:51.586000+00:00;QetnCoPqEOM4asQu;click;DIV;;[397, 338];['', ''];['', '']
22;2022-01-13 12:46:51.933000+00:00;QetnCoPqEOM4asQu;click;INPUT;radio;[398, 353];[13, 10];[14, 14]
23;2022-01-13 12:47:04.261000+00:00;QetnCoPqEOM4asQu;click;BUTTON;;[1932, 964];[0, 0];[0, 0]
24;2022-01-13 12:47:12.994000+00:00;QetnCoPqEOM4asQu;click;DIV;;[377, 294];['', ''];['', '']
25;2022-01-13 12:47:14.950000+00:00;QetnCoPqEOM4asQu;click;INPUT;radio;[391, 291];[6, 6];[14, 14]
26;2022-01-13 12:47:29.450000+00:00;QetnCoPqEOM4asQu;click;INPUT;checkbox;[390, 354];[5, 9];[14, 14]
