;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 13:32:36.035000+00:00;S2TuDbWaJL6mGdOX;click;BUTTON;;[1171, 364];[59, 25];[110, 36]
1;2022-01-13 13:32:56.937000+00:00;S2TuDbWaJL6mGdOX;click;INPUT;radio;[152, 269];[10, 10];[14, 14]
2;2022-01-13 13:32:57.724000+00:00;S2TuDbWaJL6mGdOX;click;DIV;;[156, 312];['', ''];['', '']
3;2022-01-13 13:32:58.222000+00:00;S2TuDbWaJL6mGdOX;click;INPUT;radio;[156, 320];[14, 9];[14, 14]
4;2022-01-13 13:33:02.722000+00:00;S2TuDbWaJL6mGdOX;click;NULL;;[24, 468];['', ''];['', '']
5;2022-01-13 13:33:31.575000+00:00;S2TuDbWaJL6mGdOX;click;INPUT;radio;[103, 332];[5, 7];[14, 14]
6;2022-01-13 13:33:42.880000+00:00;S2TuDbWaJL6mGdOX;click;INPUT;radio;[104, 678];[6, 5];[14, 14]
7;2022-01-13 13:34:02.797000+00:00;S2TuDbWaJL6mGdOX;click;LABEL;;[195, 477];[98, 16];[481, 36]
8;2022-01-13 13:34:02.799000+00:00;S2TuDbWaJL6mGdOX;click;INPUT;radio;[195, 477];[0, 0];[14, 14]
9;2022-01-13 13:34:08.702000+00:00;S2TuDbWaJL6mGdOX;click;LABEL;;[217, 745];[120, 34];[481, 36]
10;2022-01-13 13:34:08.703000+00:00;S2TuDbWaJL6mGdOX;click;INPUT;radio;[217, 745];[0, 0];[14, 14]
11;2022-01-13 13:34:11.923000+00:00;S2TuDbWaJL6mGdOX;click;NULL;;[24, 453];['', ''];['', '']
12;2022-01-13 13:34:20.286000+00:00;S2TuDbWaJL6mGdOX;click;INPUT;radio;[102, 343];[4, 8];[14, 14]
13;2022-01-13 13:34:54.118000+00:00;S2TuDbWaJL6mGdOX;click;INPUT;checkbox;[110, 471];[12, 1];[14, 14]
14;2022-01-13 13:35:05.330000+00:00;S2TuDbWaJL6mGdOX;click;INPUT;radio;[101, 770];[3, 6];[14, 14]
15;2022-01-13 13:35:08.598000+00:00;S2TuDbWaJL6mGdOX;click;BUTTON;;[557, 947];[84, 14];[193, 36]
16;2022-01-13 13:35:30.518000+00:00;S2TuDbWaJL6mGdOX;click;BUTTON;;[900, 952];[900, 2123];[0, 0]
17;2022-01-13 13:35:43.254000+00:00;S2TuDbWaJL6mGdOX;click;LABEL;;[191, 311];[8, 14];[638, 48]
18;2022-01-13 13:35:43.255000+00:00;S2TuDbWaJL6mGdOX;click;INPUT;radio;[191, 311];[0, 0];[14, 14]
19;2022-01-13 13:36:05.199000+00:00;S2TuDbWaJL6mGdOX;click;INPUT;checkbox;[175, 400];[16, 10];[14, 14]
20;2022-01-13 13:36:09.558000+00:00;S2TuDbWaJL6mGdOX;click;INPUT;checkbox;[172, 475];[13, 9];[14, 14]
21;2022-01-13 13:36:45.129000+00:00;S2TuDbWaJL6mGdOX;click;INPUT;text;[405, 601];[48, 22];[197, 24]
22;2022-01-13 13:36:58.102000+00:00;S2TuDbWaJL6mGdOX;click;INPUT;text;[503, 273];[146, 20];[197, 24]
23;2022-01-13 13:37:18.720000+00:00;S2TuDbWaJL6mGdOX;click;INPUT;text;[460, 184];[103, 24];[197, 24]
24;2022-01-13 13:37:32.443000+00:00;S2TuDbWaJL6mGdOX;click;INPUT;text;[409, 682];[52, 30];[197, 24]
25;2022-01-13 13:37:58.429000+00:00;S2TuDbWaJL6mGdOX;click;INPUT;text;[402, 482];[45, 22];[197, 24]
26;2022-01-13 13:38:16.669000+00:00;S2TuDbWaJL6mGdOX;click;INPUT;text;[438, 776];[81, 21];[197, 24]
27;2022-01-13 13:38:59.188000+00:00;S2TuDbWaJL6mGdOX;click;LABEL;;[204, 211];[5, 10];[399, 24]
28;2022-01-13 13:39:00.093000+00:00;S2TuDbWaJL6mGdOX;click;INPUT;checkbox;[191, 210];[16, 5];[14, 14]
29;2022-01-13 13:39:06.126000+00:00;S2TuDbWaJL6mGdOX;click;INPUT;checkbox;[191, 270];[16, 13];[14, 14]
30;2022-01-13 13:39:10.753000+00:00;S2TuDbWaJL6mGdOX;click;INPUT;checkbox;[191, 497];[16, 2];[14, 14]
31;2022-01-13 13:39:13.487000+00:00;S2TuDbWaJL6mGdOX;click;INPUT;checkbox;[189, 474];[14, 5];[14, 14]
32;2022-01-13 13:39:15.664000+00:00;S2TuDbWaJL6mGdOX;click;INPUT;checkbox;[191, 449];[16, 6];[14, 14]
33;2022-01-13 13:39:20.322000+00:00;S2TuDbWaJL6mGdOX;click;INPUT;checkbox;[188, 414];[13, 7];[14, 14]
34;2022-01-13 13:39:21.861000+00:00;S2TuDbWaJL6mGdOX;click;INPUT;checkbox;[179, 385];[4, 4];[14, 14]
35;2022-01-13 13:39:31.377000+00:00;S2TuDbWaJL6mGdOX;click;INPUT;checkbox;[191, 496];[16, 13];[14, 14]
36;2022-01-13 13:39:37.796000+00:00;S2TuDbWaJL6mGdOX;click;INPUT;checkbox;[190, 517];[15, 8];[14, 14]
37;2022-01-13 13:39:49.258000+00:00;S2TuDbWaJL6mGdOX;click;INPUT;checkbox;[188, 430];[13, 4];[14, 14]
38;2022-01-13 13:39:53.351000+00:00;S2TuDbWaJL6mGdOX;click;INPUT;checkbox;[189, 457];[14, 5];[14, 14]
39;2022-01-13 13:40:06.316000+00:00;S2TuDbWaJL6mGdOX;click;INPUT;checkbox;[183, 456];[8, 3];[14, 14]
40;2022-01-13 13:40:17.919000+00:00;S2TuDbWaJL6mGdOX;click;INPUT;checkbox;[185, 566];[10, 13];[14, 14]
41;2022-01-13 13:40:23.532000+00:00;S2TuDbWaJL6mGdOX;click;LI;;[171, 685];['', ''];['', '']
42;2022-01-13 13:40:24.607000+00:00;S2TuDbWaJL6mGdOX;click;INPUT;checkbox;[181, 687];[6, 15];[14, 14]
43;2022-01-13 13:40:29.163000+00:00;S2TuDbWaJL6mGdOX;click;LI;;[513, 195];['', ''];['', '']
44;2022-01-13 13:40:29.565000+00:00;S2TuDbWaJL6mGdOX;click;INPUT;text;[530, 210];[173, 7];[197, 24]
45;2022-01-13 13:40:36.856000+00:00;S2TuDbWaJL6mGdOX;click;INPUT;radio;[174, 188];[15, 9];[14, 14]
46;2022-01-13 13:40:45.479000+00:00;S2TuDbWaJL6mGdOX;click;LABEL;;[271, 254];[37, 27];[70, 36]
47;2022-01-13 13:40:45.480000+00:00;S2TuDbWaJL6mGdOX;click;INPUT;radio;[271, 254];[0, 0];[14, 14]
48;2022-01-13 13:40:49.015000+00:00;S2TuDbWaJL6mGdOX;click;INPUT;radio;[200, 429];[0, 0];[14, 14]
49;2022-01-13 13:40:49.015000+00:00;S2TuDbWaJL6mGdOX;click;LABEL;;[200, 429];[42, 11];[74, 36]
50;2022-01-13 13:40:49.948000+00:00;S2TuDbWaJL6mGdOX;click;LABEL;;[274, 456];[40, 37];[70, 36]
