;time;token;event;nodeName;global_position;local_position;local_dimensions;nodeType
0;2022-01-13 12:45:20.690000+00:00;U7hH0Hs6TQJbiXRA;click;BUTTON;[997, 342];[68, 3];[110, 36];
1;2022-01-13 12:48:01.244000+00:00;U7hH0Hs6TQJbiXRA;click;DIV;[158, 384];['', ''];['', ''];
2;2022-01-13 12:48:01.933000+00:00;U7hH0Hs6TQJbiXRA;click;INPUT;[152, 386];[13, 3];[14, 14];radio
3;2022-01-13 12:48:29.090000+00:00;U7hH0Hs6TQJbiXRA;click;LABEL;[159, 487];[109, 25];[481, 36];
4;2022-01-13 12:48:29.091000+00:00;U7hH0Hs6TQJbiXRA;click;INPUT;[159, 487];[0, 0];[16, 16];radio
5;2022-01-13 12:48:39.728000+00:00;U7hH0Hs6TQJbiXRA;click;LABEL;[405, 320];[355, 19];[481, 36];
6;2022-01-13 12:48:39.729000+00:00;U7hH0Hs6TQJbiXRA;click;INPUT;[405, 320];[0, 0];[16, 16];radio
7;2022-01-13 12:48:58.954000+00:00;U7hH0Hs6TQJbiXRA;click;LABEL;[371, 331];[321, 20];[481, 36];
8;2022-01-13 12:48:58.955000+00:00;U7hH0Hs6TQJbiXRA;click;INPUT;[371, 331];[0, 0];[16, 16];radio
9;2022-01-13 12:49:03.083000+00:00;U7hH0Hs6TQJbiXRA;click;LABEL;[137, 570];[62, 14];[113, 24];
10;2022-01-13 12:49:03.084000+00:00;U7hH0Hs6TQJbiXRA;click;INPUT;[137, 570];[0, 0];[14, 14];radio
11;2022-01-13 12:49:19.267000+00:00;U7hH0Hs6TQJbiXRA;click;LABEL;[146, 325];[71, 19];[100, 24];
12;2022-01-13 12:49:19.268000+00:00;U7hH0Hs6TQJbiXRA;click;INPUT;[146, 325];[0, 0];[14, 14];radio
13;2022-01-13 12:49:39.739000+00:00;U7hH0Hs6TQJbiXRA;click;LABEL;[400, 180];[325, 4];[458, 48];
14;2022-01-13 12:49:39.740000+00:00;U7hH0Hs6TQJbiXRA;click;INPUT;[400, 180];[0, 0];[14, 14];radio
15;2022-01-13 12:49:49.441000+00:00;U7hH0Hs6TQJbiXRA;click;LABEL;[248, 274];[173, 15];[196, 24];
16;2022-01-13 12:49:49.442000+00:00;U7hH0Hs6TQJbiXRA;click;INPUT;[248, 274];[0, 0];[14, 14];radio
17;2022-01-13 12:49:50.197000+00:00;U7hH0Hs6TQJbiXRA;click;LABEL;[253, 291];[178, 6];[187, 24];
18;2022-01-13 12:49:50.199000+00:00;U7hH0Hs6TQJbiXRA;click;INPUT;[253, 291];[0, 0];[14, 14];radio
19;2022-01-13 12:50:19.930000+00:00;U7hH0Hs6TQJbiXRA;click;INPUT;[57, 268];[6, 2];[14, 14];checkbox
20;2022-01-13 12:50:20.284000+00:00;U7hH0Hs6TQJbiXRA;click;INPUT;[54, 320];[3, 4];[14, 14];checkbox
21;2022-01-13 12:50:20.716000+00:00;U7hH0Hs6TQJbiXRA;click;INPUT;[57, 357];[6, 15];[14, 14];checkbox
22;2022-01-13 12:50:21.094000+00:00;U7hH0Hs6TQJbiXRA;click;INPUT;[57, 381];[6, 13];[14, 14];checkbox
23;2022-01-13 12:50:27.367000+00:00;U7hH0Hs6TQJbiXRA;click;BUTTON;[534, 741];[154, 12];[193, 36];
24;2022-01-13 12:50:44.435000+00:00;U7hH0Hs6TQJbiXRA;click;BUTTON;[518, 751];[518, 2409];[0, 0];
25;2022-01-13 12:51:29.436000+00:00;U7hH0Hs6TQJbiXRA;click;LABEL;[183, 474];[130, 37];[293, 72];
26;2022-01-13 12:51:29.438000+00:00;U7hH0Hs6TQJbiXRA;click;INPUT;[183, 474];[0, 0];[14, 14];radio
27;2022-01-13 12:51:42.063000+00:00;U7hH0Hs6TQJbiXRA;click;LABEL;[178, 507];[125, 15];[293, 48];
