;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-12 19:09:29.779000+00:00;Ud5jpTofcwBZzZtv;click;BUTTON;;[903, 336];[25, 13];[36, 107]
1;2022-01-12 19:09:31.952000+00:00;Ud5jpTofcwBZzZtv;click;BUTTON;;[967, 925];[108, 24];[36, 188]
2;2022-01-12 19:09:34.963000+00:00;Ud5jpTofcwBZzZtv;click;BUTTON;;[990, 922];[0, 0];[0, 0]
3;2022-01-12 19:09:39.739000+00:00;Ud5jpTofcwBZzZtv;click;BUTTON;;[962, 929];[103, 28];[36, 188]
4;2022-01-12 19:09:42.820000+00:00;Ud5jpTofcwBZzZtv;click;BUTTON;;[962, 929];[0, 0];[0, 0]
5;2022-01-12 19:09:44.496000+00:00;Ud5jpTofcwBZzZtv;click;BUTTON;;[962, 929];[103, 28];[36, 188]
6;2022-01-12 19:09:45.877000+00:00;Ud5jpTofcwBZzZtv;click;BUTTON;;[962, 929];[0, 0];[0, 0]
7;2022-01-12 19:09:47.102000+00:00;Ud5jpTofcwBZzZtv;click;BUTTON;;[962, 929];[103, 28];[36, 188]
8;2022-01-12 19:09:48.519000+00:00;Ud5jpTofcwBZzZtv;click;BUTTON;;[962, 929];[0, 0];[0, 0]
9;2022-01-12 19:09:49.812000+00:00;Ud5jpTofcwBZzZtv;click;BUTTON;;[962, 929];[103, 28];[36, 188]
10;2022-01-12 19:09:51.146000+00:00;Ud5jpTofcwBZzZtv;click;BUTTON;;[962, 929];[0, 0];[0, 0]
11;2022-01-12 19:09:52.572000+00:00;Ud5jpTofcwBZzZtv;click;BUTTON;;[962, 929];[103, 28];[36, 188]
12;2022-01-12 19:09:54.003000+00:00;Ud5jpTofcwBZzZtv;click;BUTTON;;[962, 929];[0, 0];[0, 0]
13;2022-01-12 19:09:55.195000+00:00;Ud5jpTofcwBZzZtv;click;BUTTON;;[962, 929];[103, 28];[36, 188]
14;2022-01-12 19:09:56.620000+00:00;Ud5jpTofcwBZzZtv;click;BUTTON;;[962, 929];[0, 0];[0, 0]
