;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 13:24:21.818000+00:00;VId+chF76t493EET;click;BUTTON;;[1268, 353];[29, 14];[110, 36]
1;2022-01-13 13:24:24.667000+00:00;VId+chF76t493EET;click;INPUT;radio;[93, 266];[4, 6];[14, 14]
2;2022-01-13 13:24:29.100000+00:00;VId+chF76t493EET;click;INPUT;radio;[92, 124];[2, 10];[14, 14]
3;2022-01-13 13:24:32.847000+00:00;VId+chF76t493EET;click;DIV;;[341, 213];['', ''];['', '']
4;2022-01-13 13:24:34.041000+00:00;VId+chF76t493EET;click;LABEL;;[147, 292];[59, 12];[74, 36]
5;2022-01-13 13:24:34.043000+00:00;VId+chF76t493EET;click;INPUT;radio;[147, 292];[59, 13];[13, 13]
6;2022-01-13 13:24:34.732000+00:00;VId+chF76t493EET;click;LABEL;;[114, 477];[26, 18];[74, 36]
7;2022-01-13 13:24:34.733000+00:00;VId+chF76t493EET;click;INPUT;radio;[114, 477];[26, 19];[13, 13]
8;2022-01-13 13:24:49.284000+00:00;VId+chF76t493EET;click;LABEL;;[199, 297];[86, 19];[567, 24]
9;2022-01-13 13:24:49.899000+00:00;VId+chF76t493EET;click;LABEL;;[245, 309];[133, 4];[569, 24]
10;2022-01-13 13:24:49.901000+00:00;VId+chF76t493EET;click;INPUT;radio;[245, 309];[156, -1];[14, 14]
11;2022-01-13 13:24:51.054000+00:00;VId+chF76t493EET;click;INPUT;radio;[104, 339];[14, 3];[14, 14]
12;2022-01-13 13:25:02.682000+00:00;VId+chF76t493EET;click;DIV;;[331, 288];['', ''];['', '']
13;2022-01-13 13:25:03.250000+00:00;VId+chF76t493EET;click;DIV;;[395, 291];['', ''];['', '']
14;2022-01-13 13:25:05.748000+00:00;VId+chF76t493EET;click;DIV;;[98, 349];['', ''];['', '']
15;2022-01-13 13:25:06.306000+00:00;VId+chF76t493EET;click;INPUT;checkbox;[98, 351];[8, -1];[14, 14]
16;2022-01-13 13:25:15.479000+00:00;VId+chF76t493EET;click;DIV;;[103, 574];['', ''];['', '']
17;2022-01-13 13:25:16.092000+00:00;VId+chF76t493EET;click;INPUT;radio;[103, 574];[13, 1];[14, 14]
18;2022-01-13 13:25:19.613000+00:00;VId+chF76t493EET;click;INPUT;checkbox;[98, 383];[9, 4];[14, 14]
19;2022-01-13 13:25:21.275000+00:00;VId+chF76t493EET;click;BUTTON;;[1341, 755];[105, 13];[193, 36]
20;2022-01-13 13:25:25.653000+00:00;VId+chF76t493EET;click;LABEL;;[190, 133];[27, 9];[70, 36]
21;2022-01-13 13:25:25.656000+00:00;VId+chF76t493EET;click;INPUT;radio;[190, 133];[27, 10];[13, 13]
22;2022-01-13 13:25:26.607000+00:00;VId+chF76t493EET;click;LABEL;;[207, 341];[44, 13];[70, 36]
23;2022-01-13 13:25:26.610000+00:00;VId+chF76t493EET;click;INPUT;radio;[207, 341];[44, 14];[13, 13]
24;2022-01-13 13:25:31.537000+00:00;VId+chF76t493EET;click;INPUT;checkbox;[97, 336];[7, 6];[14, 14]
25;2022-01-13 13:25:32.585000+00:00;VId+chF76t493EET;click;BUTTON;;[1400, 769];[1400, 2021];[0, 0]
26;2022-01-13 13:25:48.055000+00:00;VId+chF76t493EET;click;DIV;;[102, 220];['', ''];['', '']
27;2022-01-13 13:25:48.712000+00:00;VId+chF76t493EET;click;INPUT;radio;[100, 212];[10, 5];[14, 14]
28;2022-01-13 13:27:03.542000+00:00;VId+chF76t493EET;click;LABEL;;[134, 334];[0, 4];[421, 24]
29;2022-01-13 13:27:03.544000+00:00;VId+chF76t493EET;click;INPUT;checkbox;[134, 334];[23, -1];[14, 14]
30;2022-01-13 13:27:50.280000+00:00;VId+chF76t493EET;click;DIV;;[106, 355];['', ''];['', '']
31;2022-01-13 13:27:50.915000+00:00;VId+chF76t493EET;click;INPUT;checkbox;[96, 356];[7, 5];[14, 14]
32;2022-01-13 13:27:57.532000+00:00;VId+chF76t493EET;click;DIV;;[86, 143];['', ''];['', '']
33;2022-01-13 13:27:58.316000+00:00;VId+chF76t493EET;click;INPUT;radio;[93, 144];[3, 4];[14, 14]
