;time;token;event;nodeName;global_position;local_position;local_dimensions;nodeType
0;2022-01-13 12:45:01.334000+00:00;W3fIK8v3aAKz+OMn;click;BUTTON;[1833, 370];[28, 30];[105, 36];
1;2022-01-13 12:45:55.067000+00:00;W3fIK8v3aAKz+OMn;click;LABEL;[693, 287];[29, 6];[95, 24];
2;2022-01-13 12:45:55.068000+00:00;W3fIK8v3aAKz+OMn;click;INPUT;[693, 287];[52, 1];[14, 14];radio
3;2022-01-13 12:46:01.193000+00:00;W3fIK8v3aAKz+OMn;click;LABEL;[670, 347];[6, 14];[42, 24];
4;2022-01-13 12:46:01.194000+00:00;W3fIK8v3aAKz+OMn;click;INPUT;[670, 347];[29, 9];[14, 14];radio
5;2022-01-13 12:46:04.378000+00:00;W3fIK8v3aAKz+OMn;click;LABEL;[754, 324];[90, 17];[127, 24];
6;2022-01-13 12:46:04.379000+00:00;W3fIK8v3aAKz+OMn;click;INPUT;[754, 324];[113, 12];[14, 14];radio
7;2022-01-13 12:46:09.498000+00:00;W3fIK8v3aAKz+OMn;click;LABEL;[729, 541];[65, 14];[83, 24];
8;2022-01-13 12:46:09.499000+00:00;W3fIK8v3aAKz+OMn;click;INPUT;[729, 541];[88, 9];[14, 14];radio
9;2022-01-13 12:46:22.624000+00:00;W3fIK8v3aAKz+OMn;click;LABEL;[751, 435];[37, 17];[67, 36];
10;2022-01-13 12:46:22.625000+00:00;W3fIK8v3aAKz+OMn;click;INPUT;[751, 435];[35, 16];[10, 10];radio
11;2022-01-13 12:46:27.301000+00:00;W3fIK8v3aAKz+OMn;click;LABEL;[676, 508];[36, 12];[73, 36];
12;2022-01-13 12:46:27.301000+00:00;W3fIK8v3aAKz+OMn;click;INPUT;[676, 508];[34, 11];[10, 10];radio
13;2022-01-13 12:46:38.442000+00:00;W3fIK8v3aAKz+OMn;click;LABEL;[1050, 632];[386, 6];[551, 24];
14;2022-01-13 12:46:38.443000+00:00;W3fIK8v3aAKz+OMn;click;INPUT;[1050, 632];[409, 1];[14, 14];radio
15;2022-01-13 12:46:39.311000+00:00;W3fIK8v3aAKz+OMn;click;DIV;[1384, 528];['', ''];['', ''];
16;2022-01-13 12:46:51.234000+00:00;W3fIK8v3aAKz+OMn;click;INPUT;[991, 831];[350, 6];[14, 14];checkbox
17;2022-01-13 12:46:51.234000+00:00;W3fIK8v3aAKz+OMn;click;LABEL;[991, 831];[327, 11];[543, 24];
18;2022-01-13 12:46:56.092000+00:00;W3fIK8v3aAKz+OMn;click;LABEL;[918, 861];[254, 15];[403, 24];
19;2022-01-13 12:46:56.093000+00:00;W3fIK8v3aAKz+OMn;click;INPUT;[918, 861];[277, 10];[14, 14];checkbox
20;2022-01-13 12:46:56.331000+00:00;W3fIK8v3aAKz+OMn;click;LABEL;[925, 829];[261, 9];[543, 24];
