;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-20 13:08:43.504000+00:00;Wag5vHf6Nf4q4OSx;click;BUTTON;;[1332, 345];[39, 5];[104, 36]
1;2022-01-20 13:08:46.568000+00:00;Wag5vHf6Nf4q4OSx;click;INPUT;text;[344, 469];[23, 22];[185, 26]
2;2022-01-20 13:08:48.065000+00:00;Wag5vHf6Nf4q4OSx;click;INPUT;text;[360, 461];[39, 14];[185, 26]
3;2022-01-20 13:08:48.378000+00:00;Wag5vHf6Nf4q4OSx;click;INPUT;text;[364, 465];[43, 18];[185, 26]
4;2022-01-20 13:09:02.553000+00:00;Wag5vHf6Nf4q4OSx;click;BUTTON;;[1354, 690];[38, 24];[192, 36]
5;2022-01-20 13:09:21.108000+00:00;Wag5vHf6Nf4q4OSx;click;INPUT;text;[416, 368];[96, 21];[185, 26]
6;2022-01-20 13:09:21.254000+00:00;Wag5vHf6Nf4q4OSx;click;INPUT;text;[416, 368];[96, 21];[185, 26]
7;2022-01-20 13:09:21.398000+00:00;Wag5vHf6Nf4q4OSx;click;INPUT;text;[416, 368];[96, 21];[185, 26]
8;2022-01-20 13:09:21.769000+00:00;Wag5vHf6Nf4q4OSx;click;INPUT;text;[468, 369];[147, 22];[185, 26]
9;2022-01-20 13:09:22.780000+00:00;Wag5vHf6Nf4q4OSx;click;INPUT;text;[356, 366];[36, 20];[185, 26]
