;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 12:44:40.529000+00:00;WretQ3SEOL7uzdK6;click;H1;;[903, 251];['', ''];['', '']
1;2022-01-13 12:44:40.707000+00:00;WretQ3SEOL7uzdK6;click;H1;;[903, 251];['', ''];['', '']
2;2022-01-13 12:45:09.537000+00:00;WretQ3SEOL7uzdK6;click;DIV;;[1138, 335];['', ''];['', '']
3;2022-01-13 12:45:10.436000+00:00;WretQ3SEOL7uzdK6;click;BUTTON;;[1508, 352];[43, 12];[105, 36]
4;2022-01-13 12:45:15.630000+00:00;WretQ3SEOL7uzdK6;click;DIV;;[1256, 193];['', ''];['', '']
5;2022-01-13 12:45:16.261000+00:00;WretQ3SEOL7uzdK6;click;DIV;;[1258, 187];['', ''];['', '']
6;2022-01-13 12:45:17.467000+00:00;WretQ3SEOL7uzdK6;click;DIV;;[1217, 196];['', ''];['', '']
7;2022-01-13 12:45:17.655000+00:00;WretQ3SEOL7uzdK6;click;DIV;;[1217, 196];['', ''];['', '']
8;2022-01-13 12:45:23.812000+00:00;WretQ3SEOL7uzdK6;click;LABEL;;[421, 245];[96, 16];[189, 24]
9;2022-01-13 12:45:23.814000+00:00;WretQ3SEOL7uzdK6;click;INPUT;radio;[421, 245];[119, 11];[14, 14]
10;2022-01-13 12:45:29.762000+00:00;WretQ3SEOL7uzdK6;click;DIV;;[732, 491];['', ''];['', '']
11;2022-01-13 12:45:29.951000+00:00;WretQ3SEOL7uzdK6;click;DIV;;[732, 491];['', ''];['', '']
12;2022-01-13 12:45:32.027000+00:00;WretQ3SEOL7uzdK6;click;DIV;;[840, 489];['', ''];['', '']
13;2022-01-13 12:45:32.261000+00:00;WretQ3SEOL7uzdK6;click;DIV;;[840, 489];['', ''];['', '']
14;2022-01-13 12:45:35.216000+00:00;WretQ3SEOL7uzdK6;click;DIV;;[1060, 495];['', ''];['', '']
15;2022-01-13 12:45:35.390000+00:00;WretQ3SEOL7uzdK6;click;DIV;;[1060, 495];['', ''];['', '']
16;2022-01-13 12:45:36.408000+00:00;WretQ3SEOL7uzdK6;click;LABEL;;[335, 542];[10, 15];[84, 24]
17;2022-01-13 12:45:36.409000+00:00;WretQ3SEOL7uzdK6;click;INPUT;radio;[335, 542];[33, 10];[14, 14]
18;2022-01-13 12:45:41.345000+00:00;WretQ3SEOL7uzdK6;click;DIV;;[1011, 584];['', ''];['', '']
19;2022-01-13 12:45:41.527000+00:00;WretQ3SEOL7uzdK6;click;DIV;;[1011, 584];['', ''];['', '']
20;2022-01-13 12:45:44.715000+00:00;WretQ3SEOL7uzdK6;click;DIV;;[1075, 595];['', ''];['', '']
21;2022-01-13 12:45:54.653000+00:00;WretQ3SEOL7uzdK6;click;LABEL;;[329, 652];[28, 26];[73, 36]
22;2022-01-13 12:45:54.654000+00:00;WretQ3SEOL7uzdK6;click;INPUT;radio;[329, 652];[28, 27];[13, 13]
