;time;token;event;nodeName;global_position;local_position;local_dimensions;nodeType
0;2022-01-13 12:43:46.234000+00:00;XZlvt6BNF4xnrMpD;click;H1;[750, 252];['', ''];['', ''];
1;2022-01-13 12:43:46.481000+00:00;XZlvt6BNF4xnrMpD;click;H1;[750, 252];['', ''];['', ''];
2;2022-01-13 12:43:51.319000+00:00;XZlvt6BNF4xnrMpD;click;DIV;[702, 330];['', ''];['', ''];
3;2022-01-13 12:44:25.512000+00:00;XZlvt6BNF4xnrMpD;click;BUTTON;[1150, 350];[31, 10];[104, 36];
4;2022-01-13 12:44:45.160000+00:00;XZlvt6BNF4xnrMpD;click;LABEL;[198, 191];[40, 0];[181, 24];
5;2022-01-13 12:44:45.163000+00:00;XZlvt6BNF4xnrMpD;click;INPUT;[198, 191];[63, -5];[14, 14];radio
6;2022-01-13 12:44:46.320000+00:00;XZlvt6BNF4xnrMpD;click;LABEL;[214, 169];[56, 5];[189, 24];
7;2022-01-13 12:44:46.323000+00:00;XZlvt6BNF4xnrMpD;click;INPUT;[214, 169];[79, -1];[14, 14];radio
8;2022-01-13 12:44:47.522000+00:00;XZlvt6BNF4xnrMpD;click;LABEL;[203, 204];[45, 14];[181, 24];
9;2022-01-13 12:44:47.524000+00:00;XZlvt6BNF4xnrMpD;click;INPUT;[203, 204];[68, 9];[14, 14];radio
10;2022-01-13 12:45:33.316000+00:00;XZlvt6BNF4xnrMpD;click;LABEL;[218, 324];[60, 12];[83, 24];
11;2022-01-13 12:45:33.318000+00:00;XZlvt6BNF4xnrMpD;click;INPUT;[218, 324];[83, 7];[14, 14];radio
12;2022-01-13 12:45:45.723000+00:00;XZlvt6BNF4xnrMpD;click;LABEL;[179, 410];[45, 12];[72, 36];
13;2022-01-13 12:45:45.725000+00:00;XZlvt6BNF4xnrMpD;click;INPUT;[179, 410];[45, 13];[13, 13];radio
14;2022-01-13 12:45:58.544000+00:00;XZlvt6BNF4xnrMpD;click;LABEL;[255, 503];[47, 27];[66, 36];
15;2022-01-13 12:45:58.546000+00:00;XZlvt6BNF4xnrMpD;click;INPUT;[255, 503];[47, 28];[13, 13];radio
16;2022-01-13 12:46:09.660000+00:00;XZlvt6BNF4xnrMpD;click;LABEL;[493, 437];[335, 13];[550, 24];
17;2022-01-13 12:46:09.662000+00:00;XZlvt6BNF4xnrMpD;click;INPUT;[493, 437];[358, 8];[14, 14];radio
18;2022-01-13 12:46:37.433000+00:00;XZlvt6BNF4xnrMpD;click;LABEL;[440, 376];[282, 3];[543, 24];
19;2022-01-13 12:46:37.436000+00:00;XZlvt6BNF4xnrMpD;click;INPUT;[440, 376];[305, -3];[14, 14];checkbox
20;2022-01-13 12:46:54.084000+00:00;XZlvt6BNF4xnrMpD;click;LABEL;[223, 560];[65, 13];[108, 24];
21;2022-01-13 12:46:54.087000+00:00;XZlvt6BNF4xnrMpD;click;INPUT;[223, 560];[88, 8];[14, 14];radio
22;2022-01-13 12:47:00.777000+00:00;XZlvt6BNF4xnrMpD;click;BUTTON;[1189, 726];[42, 4];[192, 36];
23;2022-01-13 12:47:09.060000+00:00;XZlvt6BNF4xnrMpD;click;LABEL;[242, 567];[84, 13];[191, 24];
24;2022-01-13 12:47:09.062000+00:00;XZlvt6BNF4xnrMpD;click;INPUT;[242, 567];[107, 8];[14, 14];radio
25;2022-01-13 12:47:11.816000+00:00;XZlvt6BNF4xnrMpD;click;LABEL;[177, 537];[19, 8];[108, 24];
26;2022-01-13 12:47:11.818000+00:00;XZlvt6BNF4xnrMpD;click;INPUT;[177, 537];[42, 3];[14, 14];radio
27;2022-01-13 12:47:40.380000+00:00;XZlvt6BNF4xnrMpD;click;LABEL;[225, 165];[17, 8];[66, 36];
28;2022-01-13 12:47:40.382000+00:00;XZlvt6BNF4xnrMpD;click;INPUT;[225, 165];[17, 9];[13, 13];radio
29;2022-01-13 12:47:44.719000+00:00;XZlvt6BNF4xnrMpD;click;BUTTON;[1252, 742];[1253, 2014];[0, 0];
30;2022-01-13 12:47:59.808000+00:00;XZlvt6BNF4xnrMpD;click;LABEL;[501, 291];[343, 10];[721, 24];
31;2022-01-13 12:47:59.810000+00:00;XZlvt6BNF4xnrMpD;click;INPUT;[501, 291];[366, 5];[14, 14];radio
32;2022-01-13 12:48:27.784000+00:00;XZlvt6BNF4xnrMpD;click;LABEL;[387, 420];[229, 19];[407, 24];
33;2022-01-13 12:48:27.787000+00:00;XZlvt6BNF4xnrMpD;click;INPUT;[387, 420];[252, 14];[14, 14];checkbox
34;2022-01-13 12:48:31.521000+00:00;XZlvt6BNF4xnrMpD;click;LABEL;[358, 325];[200, 1];[419, 24];
35;2022-01-13 12:48:31.524000+00:00;XZlvt6BNF4xnrMpD;click;INPUT;[358, 325];[223, -4];[14, 14];checkbox
36;2022-01-13 12:48:32.310000+00:00;XZlvt6BNF4xnrMpD;click;LABEL;[358, 325];[200, 1];[419, 24];
37;2022-01-13 12:48:32.312000+00:00;XZlvt6BNF4xnrMpD;click;INPUT;[358, 325];[223, -4];[14, 14];checkbox
38;2022-01-13 12:48:36.913000+00:00;XZlvt6BNF4xnrMpD;click;LABEL;[361, 341];[203, 17];[419, 24];
39;2022-01-13 12:48:36.916000+00:00;XZlvt6BNF4xnrMpD;click;INPUT;[361, 341];[226, 12];[14, 14];checkbox
40;2022-01-13 12:48:58.694000+00:00;XZlvt6BNF4xnrMpD;click;INPUT;[415, 170];[88, 24];[188, 26];text
41;2022-01-13 12:50:54.270000+00:00;XZlvt6BNF4xnrMpD;click;LABEL;[235, 252];[61, 9];[514, 24];
42;2022-01-13 12:50:54.273000+00:00;XZlvt6BNF4xnrMpD;click;INPUT;[235, 252];[100, 1134];[14, 14];checkbox
43;2022-01-13 12:50:59.287000+00:00;XZlvt6BNF4xnrMpD;click;INPUT;[154, 287];[3, 10];[14, 14];checkbox
44;2022-01-13 12:51:05.681000+00:00;XZlvt6BNF4xnrMpD;click;INPUT;[160, 228];[9, 3];[14, 14];checkbox
