;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-20 12:51:20.417000+00:00;XfKIbbqHQ3sIY6nZ;click;H1;;[1029, 251];['', ''];['', '']
1;2022-01-20 12:51:20.569000+00:00;XfKIbbqHQ3sIY6nZ;click;H1;;[1029, 251];['', ''];['', '']
2;2022-01-20 12:51:27.885000+00:00;XfKIbbqHQ3sIY6nZ;click;DIV;;[1560, 385];['', ''];['', '']
3;2022-01-20 12:51:28.238000+00:00;XfKIbbqHQ3sIY6nZ;click;BUTTON;;[1557, 367];[72, 27];[105, 36]
4;2022-01-20 12:51:38.820000+00:00;XfKIbbqHQ3sIY6nZ;click;BUTTON;;[1524, 343];[39, 3];[105, 36]
5;2022-01-20 12:51:47.057000+00:00;XfKIbbqHQ3sIY6nZ;click;BUTTON;;[1523, 357];[38, 17];[105, 36]
6;2022-01-20 12:51:49.828000+00:00;XfKIbbqHQ3sIY6nZ;click;HTML;;[1003, 412];['', ''];['', '']
7;2022-01-20 12:51:52.311000+00:00;XfKIbbqHQ3sIY6nZ;click;BUTTON;;[1577, 362];[92, 22];[105, 36]
8;2022-01-20 12:51:53.416000+00:00;XfKIbbqHQ3sIY6nZ;click;BUTTON;;[1570, 365];[85, 25];[105, 36]
9;2022-01-20 12:51:55.736000+00:00;XfKIbbqHQ3sIY6nZ;click;BUTTON;;[1570, 365];[85, 25];[105, 36]
10;2022-01-20 12:52:06.745000+00:00;XfKIbbqHQ3sIY6nZ;click;BUTTON;;[416, 254];[86, 18];[174, 36]
11;2022-01-20 12:52:06.918000+00:00;XfKIbbqHQ3sIY6nZ;click;BUTTON;;[416, 254];[86, 18];[174, 36]
12;2022-01-20 12:52:07.096000+00:00;XfKIbbqHQ3sIY6nZ;click;BUTTON;;[416, 254];[86, 18];[174, 36]
13;2022-01-20 12:52:07.685000+00:00;XfKIbbqHQ3sIY6nZ;click;INPUT;text;[485, 208];[154, 11];[1258, 26]
14;2022-01-20 12:53:00.070000+00:00;XfKIbbqHQ3sIY6nZ;click;BUTTON;;[406, 247];[76, 11];[174, 36]
15;2022-01-20 12:53:01.455000+00:00;XfKIbbqHQ3sIY6nZ;click;BUTTON;;[461, 362];[0, 0];[0, 0]
16;2022-01-20 12:53:03.952000+00:00;XfKIbbqHQ3sIY6nZ;click;BUTTON;;[1339, 862];[227, 20];[460, 36]
