;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 12:43:48.776000+00:00;Y2qOUu10rH7YLbE5;click;H1;;[533, 276];['', ''];['', '']
1;2022-01-13 12:43:58.788000+00:00;Y2qOUu10rH7YLbE5;click;BUTTON;;[525, 423];[44, 23];[110, 36]
2;2022-01-13 12:45:39.784000+00:00;Y2qOUu10rH7YLbE5;click;BUTTON;;[559, 689];[61, 23];[193, 36]
3;2022-01-13 12:46:05.127000+00:00;Y2qOUu10rH7YLbE5;click;INPUT;radio;[121, 357];[10, 7];[14, 14]
4;2022-01-13 12:46:06.330000+00:00;Y2qOUu10rH7YLbE5;click;INPUT;radio;[119, 332];[8, 9];[14, 14]
5;2022-01-13 12:46:08.349000+00:00;Y2qOUu10rH7YLbE5;click;INPUT;radio;[114, 463];[3, 9];[14, 14]
6;2022-01-13 12:46:18.055000+00:00;Y2qOUu10rH7YLbE5;click;INPUT;radio;[123, 337];[12, 9];[14, 14]
7;2022-01-13 12:46:23.597000+00:00;Y2qOUu10rH7YLbE5;click;DIV;;[378, 74];['', ''];['', '']
8;2022-01-13 12:46:24.134000+00:00;Y2qOUu10rH7YLbE5;click;DIV;;[377, 73];['', ''];['', '']
9;2022-01-13 12:46:25.392000+00:00;Y2qOUu10rH7YLbE5;click;DIV;;[278, 101];['', ''];['', '']
10;2022-01-13 12:46:25.920000+00:00;Y2qOUu10rH7YLbE5;click;DIV;;[358, 94];['', ''];['', '']
11;2022-01-13 12:46:26.490000+00:00;Y2qOUu10rH7YLbE5;click;LABEL;;[342, 147];[232, 20];[481, 36]
12;2022-01-13 12:46:26.492000+00:00;Y2qOUu10rH7YLbE5;click;INPUT;radio;[342, 147];[232, 21];[13, 13]
13;2022-01-13 12:46:29.836000+00:00;Y2qOUu10rH7YLbE5;click;LABEL;;[265, 192];[155, -1];[481, 36]
14;2022-01-13 12:46:29.838000+00:00;Y2qOUu10rH7YLbE5;click;INPUT;radio;[265, 192];[155, 0];[13, 13]
15;2022-01-13 12:46:35.289000+00:00;Y2qOUu10rH7YLbE5;click;LABEL;;[288, 247];[154, 17];[458, 48]
16;2022-01-13 12:46:36.177000+00:00;Y2qOUu10rH7YLbE5;click;LABEL;;[307, 250];[173, 21];[458, 48]
17;2022-01-13 12:46:36.179000+00:00;Y2qOUu10rH7YLbE5;click;INPUT;radio;[307, 250];[196, 16];[14, 14]
18;2022-01-13 12:46:37.015000+00:00;Y2qOUu10rH7YLbE5;click;LABEL;;[378, 238];[244, 9];[458, 48]
19;2022-01-13 12:46:37.017000+00:00;Y2qOUu10rH7YLbE5;click;INPUT;radio;[378, 238];[267, 4];[14, 14]
20;2022-01-13 12:46:40.575000+00:00;Y2qOUu10rH7YLbE5;click;LABEL;;[134, 224];[0, 9];[458, 48]
21;2022-01-13 12:46:40.577000+00:00;Y2qOUu10rH7YLbE5;click;INPUT;radio;[134, 224];[23, 4];[14, 14]
22;2022-01-13 12:46:49.365000+00:00;Y2qOUu10rH7YLbE5;click;INPUT;radio;[121, 558];[10, 8];[14, 14]
23;2022-01-13 12:47:12.955000+00:00;Y2qOUu10rH7YLbE5;click;LABEL;;[241, 232];[107, 34];[458, 48]
24;2022-01-13 12:47:13.967000+00:00;Y2qOUu10rH7YLbE5;click;LABEL;;[239, 260];[105, 11];[418, 24]
25;2022-01-13 12:47:13.969000+00:00;Y2qOUu10rH7YLbE5;click;INPUT;checkbox;[239, 260];[128, 6];[14, 14]
26;2022-01-13 12:47:15.679000+00:00;Y2qOUu10rH7YLbE5;click;BUTTON;;[587, 668];[588, 2227];[0, 0]
27;2022-01-13 13:23:33.209000+00:00;Y2qOUu10rH7YLbE5;click;INPUT;radio;[114, 269];[3, 5];[14, 14]
28;2022-01-13 13:24:03.166000+00:00;Y2qOUu10rH7YLbE5;click;BUTTON;;[563, 679];[64, 12];[193, 36]
