;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 12:43:48.598000+00:00;Yly9mVuSUNMsRzNn;click;HTML;;[1037, 702];['', ''];['', '']
1;2022-01-13 12:43:49.391000+00:00;Yly9mVuSUNMsRzNn;click;BUTTON;;[1517, 370];[32, 30];[105, 36]
2;2022-01-13 12:44:05.972000+00:00;Yly9mVuSUNMsRzNn;click;LABEL;;[353, 265];[9, 10];[181, 24]
3;2022-01-13 12:44:05.973000+00:00;Yly9mVuSUNMsRzNn;click;INPUT;radio;[353, 265];[32, 5];[14, 14]
4;2022-01-13 12:44:53.412000+00:00;Yly9mVuSUNMsRzNn;click;LABEL;;[381, 398];[37, 19];[95, 24]
5;2022-01-13 12:44:53.413000+00:00;Yly9mVuSUNMsRzNn;click;INPUT;radio;[381, 398];[60, 14];[14, 14]
6;2022-01-13 12:45:01.369000+00:00;Yly9mVuSUNMsRzNn;click;LABEL;;[364, 343];[44, 17];[73, 36]
7;2022-01-13 12:45:01.370000+00:00;Yly9mVuSUNMsRzNn;click;INPUT;radio;[364, 343];[44, 18];[13, 13]
8;2022-01-13 12:45:04.448000+00:00;Yly9mVuSUNMsRzNn;click;LABEL;;[346, 525];[26, 19];[73, 36]
9;2022-01-13 12:45:04.449000+00:00;Yly9mVuSUNMsRzNn;click;INPUT;radio;[346, 525];[26, 20];[13, 13]
10;2022-01-13 12:45:05.001000+00:00;Yly9mVuSUNMsRzNn;click;LABEL;;[411, 348];[17, 22];[66, 36]
11;2022-01-13 12:45:05.002000+00:00;Yly9mVuSUNMsRzNn;click;INPUT;radio;[411, 348];[17, 23];[13, 13]
12;2022-01-13 12:45:53.415000+00:00;Yly9mVuSUNMsRzNn;click;INPUT;radio;[324, 292];[3, 2];[14, 14]
13;2022-01-13 12:46:08.776000+00:00;Yly9mVuSUNMsRzNn;click;LABEL;;[497, 513];[153, 17];[403, 24]
14;2022-01-13 12:46:08.776000+00:00;Yly9mVuSUNMsRzNn;click;INPUT;checkbox;[497, 513];[176, 12];[14, 14]
15;2022-01-13 12:46:11.766000+00:00;Yly9mVuSUNMsRzNn;click;DIV;;[316, 538];['', ''];['', '']
16;2022-01-13 12:46:12.098000+00:00;Yly9mVuSUNMsRzNn;click;INPUT;checkbox;[330, 539];[9, 12];[14, 14]
17;2022-01-13 12:46:12.870000+00:00;Yly9mVuSUNMsRzNn;click;DIV;;[328, 524];['', ''];['', '']
18;2022-01-13 12:46:13.458000+00:00;Yly9mVuSUNMsRzNn;click;INPUT;checkbox;[328, 532];[7, 5];[14, 14]
19;2022-01-13 12:47:13.052000+00:00;Yly9mVuSUNMsRzNn;click;INPUT;checkbox;[350, 543];[29, 16];[14, 14]
20;2022-01-13 12:47:13.052000+00:00;Yly9mVuSUNMsRzNn;click;LABEL;;[350, 543];[6, 21];[335, 24]
21;2022-01-13 12:47:13.808000+00:00;Yly9mVuSUNMsRzNn;click;DIV;;[341, 541];['', ''];['', '']
22;2022-01-13 12:47:14.683000+00:00;Yly9mVuSUNMsRzNn;click;INPUT;checkbox;[328, 533];[7, 6];[14, 14]
23;2022-01-13 12:47:16.987000+00:00;Yly9mVuSUNMsRzNn;click;DIV;;[342, 480];['', ''];['', '']
