;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 12:43:35.321000+00:00;a++pzavBTjQtlxih;click;BUTTON;;[997, 285];[61, 13];[110, 36]
1;2022-01-13 12:43:41.891000+00:00;a++pzavBTjQtlxih;click;LABEL;;[170, 221];[0, 9];[187, 24]
2;2022-01-13 12:43:41.894000+00:00;a++pzavBTjQtlxih;click;INPUT;radio;[170, 221];[0, 0];[14, 14]
3;2022-01-13 12:44:01.409000+00:00;a++pzavBTjQtlxih;click;INPUT;radio;[156, 502];[10, 13];[14, 14]
4;2022-01-13 12:44:24.481000+00:00;a++pzavBTjQtlxih;click;LABEL;;[180, 516];[35, 25];[74, 36]
5;2022-01-13 12:44:24.482000+00:00;a++pzavBTjQtlxih;click;INPUT;radio;[180, 516];[0, 0];[16, 16]
6;2022-01-13 12:44:27.765000+00:00;a++pzavBTjQtlxih;click;LABEL;;[175, 636];[30, 8];[74, 36]
7;2022-01-13 12:44:27.766000+00:00;a++pzavBTjQtlxih;click;INPUT;radio;[175, 636];[0, 0];[16, 16]
8;2022-01-13 12:44:39.303000+00:00;a++pzavBTjQtlxih;click;INPUT;radio;[148, 472];[2, 2];[14, 14]
9;2022-01-13 12:44:47.475000+00:00;a++pzavBTjQtlxih;click;INPUT;checkbox;[160, 499];[14, 0];[14, 14]
10;2022-01-13 12:44:58.635000+00:00;a++pzavBTjQtlxih;click;DIV;;[164, 561];['', ''];['', '']
11;2022-01-13 12:44:58.982000+00:00;a++pzavBTjQtlxih;click;DIV;;[150, 591];['', ''];['', '']
12;2022-01-13 12:44:59.537000+00:00;a++pzavBTjQtlxih;click;INPUT;radio;[158, 582];[12, 8];[14, 14]
13;2022-01-13 12:45:10.293000+00:00;a++pzavBTjQtlxih;click;BUTTON;;[1049, 755];[60, 12];[193, 36]
14;2022-01-13 12:45:42.250000+00:00;a++pzavBTjQtlxih;click;BUTTON;;[1111, 762];[1111, 2035];[0, 0]
15;2022-01-13 12:46:03.744000+00:00;a++pzavBTjQtlxih;click;INPUT;radio;[146, 223];[0, 5];[14, 14]
16;2022-01-13 12:46:14.824000+00:00;a++pzavBTjQtlxih;click;INPUT;checkbox;[155, 325];[9, 5];[14, 14]
