;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 12:44:58.948000+00:00;aECtcSXEtmx1vJ85;click;BUTTON;;[1535, 360];[56, 21];[110, 36]
1;2022-01-13 12:45:59.670000+00:00;aECtcSXEtmx1vJ85;click;INPUT;radio;[327, 370];[6, 7];[14, 14]
2;2022-01-13 12:46:04.294000+00:00;aECtcSXEtmx1vJ85;click;INPUT;radio;[332, 291];[11, 6];[14, 14]
3;2022-01-13 12:46:05.338000+00:00;aECtcSXEtmx1vJ85;click;INPUT;radio;[336, 367];[15, 4];[14, 14]
4;2022-01-13 12:46:05.823000+00:00;aECtcSXEtmx1vJ85;click;DIV;;[305, 352];['', ''];['', '']
5;2022-01-13 12:46:24.288000+00:00;aECtcSXEtmx1vJ85;click;INPUT;radio;[323, 238];[2, 5];[14, 14]
6;2022-01-13 12:46:37.224000+00:00;aECtcSXEtmx1vJ85;click;DIV;;[340, 259];['', ''];['', '']
7;2022-01-13 12:46:37.642000+00:00;aECtcSXEtmx1vJ85;click;INPUT;radio;[333, 260];[12, 8];[14, 14]
8;2022-01-13 12:46:44.767000+00:00;aECtcSXEtmx1vJ85;click;INPUT;radio;[355, 405];[0, 0];[14, 14]
9;2022-01-13 12:46:44.767000+00:00;aECtcSXEtmx1vJ85;click;LABEL;;[355, 405];[35, 22];[74, 36]
10;2022-01-13 12:47:12.327000+00:00;aECtcSXEtmx1vJ85;click;LABEL;;[363, 397];[43, 29];[74, 36]
11;2022-01-13 12:47:12.328000+00:00;aECtcSXEtmx1vJ85;click;INPUT;radio;[363, 397];[0, 0];[14, 14]
12;2022-01-13 12:47:49.774000+00:00;aECtcSXEtmx1vJ85;click;INPUT;radio;[324, 360];[3, 8];[14, 14]
13;2022-01-13 12:48:10.878000+00:00;aECtcSXEtmx1vJ85;click;INPUT;checkbox;[331, 493];[10, 12];[14, 14]
14;2022-01-13 12:48:11.217000+00:00;aECtcSXEtmx1vJ85;click;DIV;;[338, 517];['', ''];['', '']
15;2022-01-13 12:48:11.660000+00:00;aECtcSXEtmx1vJ85;click;INPUT;checkbox;[327, 510];[6, 3];[14, 14]
16;2022-01-13 12:48:12.300000+00:00;aECtcSXEtmx1vJ85;click;INPUT;checkbox;[327, 518];[6, 11];[14, 14]
17;2022-01-13 12:48:18.220000+00:00;aECtcSXEtmx1vJ85;click;INPUT;checkbox;[333, 437];[12, 8];[14, 14]
18;2022-01-13 12:48:18.925000+00:00;aECtcSXEtmx1vJ85;click;INPUT;checkbox;[331, 512];[10, 5];[14, 14]
19;2022-01-13 12:48:27.722000+00:00;aECtcSXEtmx1vJ85;click;INPUT;checkbox;[331, 436];[10, 7];[14, 14]
20;2022-01-13 12:48:40.459000+00:00;aECtcSXEtmx1vJ85;click;INPUT;checkbox;[328, 460];[7, 5];[14, 14]
21;2022-01-13 12:49:39.261000+00:00;aECtcSXEtmx1vJ85;click;INPUT;radio;[329, 684];[8, 9];[14, 14]
22;2022-01-13 12:49:40.557000+00:00;aECtcSXEtmx1vJ85;click;BUTTON;;[1754, 867];[54, 23];[193, 36]
