;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-12 19:11:46.049000+00:00;ag1A3LaMHpd8HCiS;click;BUTTON;;[915, 338];[37, 15];[36, 107]
1;2022-01-12 19:11:48.073000+00:00;ag1A3LaMHpd8HCiS;click;BUTTON;;[968, 912];[109, 11];[36, 188]
2;2022-01-12 19:11:49.606000+00:00;ag1A3LaMHpd8HCiS;click;BUTTON;;[968, 912];[0, 0];[0, 0]
3;2022-01-12 19:11:51.702000+00:00;ag1A3LaMHpd8HCiS;click;BUTTON;;[968, 912];[109, 11];[36, 188]
4;2022-01-12 19:11:53.354000+00:00;ag1A3LaMHpd8HCiS;click;BUTTON;;[968, 912];[0, 0];[0, 0]
5;2022-01-12 19:11:54.772000+00:00;ag1A3LaMHpd8HCiS;click;BUTTON;;[968, 912];[109, 11];[36, 188]
6;2022-01-12 19:11:56.229000+00:00;ag1A3LaMHpd8HCiS;click;BUTTON;;[968, 912];[0, 0];[0, 0]
7;2022-01-12 19:11:57.353000+00:00;ag1A3LaMHpd8HCiS;click;BUTTON;;[968, 912];[109, 11];[36, 188]
8;2022-01-12 19:11:58.549000+00:00;ag1A3LaMHpd8HCiS;click;BUTTON;;[968, 912];[0, 0];[0, 0]
9;2022-01-12 19:11:59.694000+00:00;ag1A3LaMHpd8HCiS;click;BUTTON;;[968, 912];[109, 11];[36, 188]
10;2022-01-12 19:12:00.759000+00:00;ag1A3LaMHpd8HCiS;click;BUTTON;;[968, 912];[0, 0];[0, 0]
11;2022-01-12 19:12:03.089000+00:00;ag1A3LaMHpd8HCiS;click;BUTTON;;[972, 917];[113, 16];[36, 188]
12;2022-01-12 19:12:04.387000+00:00;ag1A3LaMHpd8HCiS;click;BUTTON;;[972, 917];[0, 0];[0, 0]
13;2022-01-12 19:12:05.412000+00:00;ag1A3LaMHpd8HCiS;click;BUTTON;;[972, 917];[113, 16];[36, 188]
