;time;token;event;nodeName;global_position;local_position;local_dimensions;nodeType
0;2022-01-13 13:00:26.332000+00:00;bxg52nXuYrIm36wA;click;H1;[1144, 235];['', ''];['', ''];
1;2022-01-13 13:00:26.500000+00:00;bxg52nXuYrIm36wA;click;H1;[1144, 235];['', ''];['', ''];
2;2022-01-13 13:00:36.384000+00:00;bxg52nXuYrIm36wA;click;DIV;[1183, 384];['', ''];['', ''];
3;2022-01-13 13:00:36.940000+00:00;bxg52nXuYrIm36wA;click;BUTTON;[1823, 352];[18, 12];[105, 36];
4;2022-01-13 13:00:46.386000+00:00;bxg52nXuYrIm36wA;click;LABEL;[733, 264];[69, 9];[181, 24];
5;2022-01-13 13:00:46.387000+00:00;bxg52nXuYrIm36wA;click;INPUT;[733, 264];[92, 4];[14, 14];radio
6;2022-01-13 13:00:47.346000+00:00;bxg52nXuYrIm36wA;click;LABEL;[695, 291];[31, 10];[95, 24];
7;2022-01-13 13:00:47.347000+00:00;bxg52nXuYrIm36wA;click;INPUT;[695, 291];[54, 5];[14, 14];radio
8;2022-01-13 13:00:47.720000+00:00;bxg52nXuYrIm36wA;click;LABEL;[727, 262];[63, 7];[181, 24];
9;2022-01-13 13:00:47.721000+00:00;bxg52nXuYrIm36wA;click;INPUT;[727, 262];[86, 2];[14, 14];radio
10;2022-01-13 13:00:55.687000+00:00;bxg52nXuYrIm36wA;click;DIV;[851, 392];['', ''];['', ''];
11;2022-01-13 13:00:57.950000+00:00;bxg52nXuYrIm36wA;click;DIV;[663, 174];['', ''];['', ''];
12;2022-01-13 13:01:00.022000+00:00;bxg52nXuYrIm36wA;click;DIV;[1255, 397];['', ''];['', ''];
13;2022-01-13 13:01:01.932000+00:00;bxg52nXuYrIm36wA;click;DIV;[1422, 398];['', ''];['', ''];
14;2022-01-13 13:01:26.667000+00:00;bxg52nXuYrIm36wA;click;INPUT;[648, 494];[7, 10];[14, 14];radio
15;2022-01-13 13:01:31.713000+00:00;bxg52nXuYrIm36wA;click;DIV;[1319, 596];['', ''];['', ''];
16;2022-01-13 13:01:31.871000+00:00;bxg52nXuYrIm36wA;click;DIV;[1319, 596];['', ''];['', ''];
17;2022-01-13 13:01:32.017000+00:00;bxg52nXuYrIm36wA;click;DIV;[1319, 596];['', ''];['', ''];
18;2022-01-13 13:01:46.488000+00:00;bxg52nXuYrIm36wA;click;DIV;[707, 583];['', ''];['', ''];
19;2022-01-13 13:01:58.192000+00:00;bxg52nXuYrIm36wA;click;LABEL;[677, 656];[37, 30];[73, 36];
20;2022-01-13 13:01:58.193000+00:00;bxg52nXuYrIm36wA;click;INPUT;[677, 656];[37, 31];[13, 13];radio
21;2022-01-13 13:02:08.705000+00:00;bxg52nXuYrIm36wA;click;LABEL;[759, 720];[45, 14];[66, 36];
22;2022-01-13 13:02:08.706000+00:00;bxg52nXuYrIm36wA;click;INPUT;[759, 720];[45, 15];[13, 13];radio
23;2022-01-13 13:02:17.508000+00:00;bxg52nXuYrIm36wA;click;DIV;[1163, 641];['', ''];['', ''];
24;2022-01-13 13:02:33.342000+00:00;bxg52nXuYrIm36wA;click;LABEL;[912, 699];[248, 14];[550, 24];
