;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 12:44:02.345000+00:00;eXsm+0vE25UQ9wFo;click;BUTTON;;[897, 351];[38, 21];[110, 36]
1;2022-01-13 12:45:52.392000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;radio;[82, 282];[13, 5];[14, 14]
2;2022-01-13 12:46:03.573000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;radio;[75, 293];[6, 6];[14, 14]
3;2022-01-13 12:46:10.473000+00:00;eXsm+0vE25UQ9wFo;click;LABEL;;[101, 319];[33, 28];[74, 36]
4;2022-01-13 12:46:10.475000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;radio;[101, 319];[0, 0];[14, 14]
5;2022-01-13 12:46:16.493000+00:00;eXsm+0vE25UQ9wFo;click;LABEL;;[173, 134];[30, 23];[70, 36]
6;2022-01-13 12:46:16.494000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;radio;[173, 134];[0, 0];[14, 14]
7;2022-01-13 12:46:19.490000+00:00;eXsm+0vE25UQ9wFo;click;LABEL;;[118, 317];[50, 26];[74, 36]
8;2022-01-13 12:46:19.491000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;radio;[118, 317];[0, 0];[14, 14]
9;2022-01-13 12:46:48.474000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;radio;[78, 239];[9, 6];[14, 14]
10;2022-01-13 12:47:08.023000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;checkbox;[73, 327];[4, 11];[14, 14]
11;2022-01-13 12:47:15.694000+00:00;eXsm+0vE25UQ9wFo;click;DIV;;[84, 548];['', ''];['', '']
12;2022-01-13 12:47:16.373000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;radio;[72, 545];[3, 9];[14, 14]
13;2022-01-13 12:47:17.552000+00:00;eXsm+0vE25UQ9wFo;click;BUTTON;;[887, 723];[52, 18];[193, 36]
14;2022-01-13 12:47:42.525000+00:00;eXsm+0vE25UQ9wFo;click;BUTTON;;[1005, 731];[1005, 2036];[0, 0]
15;2022-01-13 12:48:03.474000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;radio;[74, 287];[5, 8];[14, 14]
16;2022-01-13 12:48:44.660000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;checkbox;[79, 443];[10, 8];[14, 14]
17;2022-01-13 12:50:47.808000+00:00;eXsm+0vE25UQ9wFo;click;NULL;;[1036, 323];['', ''];['', '']
18;2022-01-13 12:51:17.476000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;radio;[68, 443];[9, 10];[14, 14]
19;2022-01-13 12:51:18.708000+00:00;eXsm+0vE25UQ9wFo;click;DIV;;[74, 449];['', ''];['', '']
20;2022-01-13 12:51:20.127000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;radio;[68, 411];[9, 4];[14, 14]
21;2022-01-13 12:51:21.075000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;radio;[66, 388];[7, 7];[14, 14]
22;2022-01-13 12:51:57.843000+00:00;eXsm+0vE25UQ9wFo;click;LABEL;;[129, 334];[71, 10];[74, 36]
23;2022-01-13 12:51:57.843000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;radio;[129, 334];[0, 0];[14, 14]
24;2022-01-13 12:52:23.776000+00:00;eXsm+0vE25UQ9wFo;click;LABEL;;[170, 187];[37, 21];[70, 36]
25;2022-01-13 12:52:23.777000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;radio;[170, 187];[0, 0];[14, 14]
26;2022-01-13 12:52:26.191000+00:00;eXsm+0vE25UQ9wFo;click;LABEL;;[168, 360];[35, 14];[70, 36]
27;2022-01-13 12:52:26.192000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;radio;[168, 360];[0, 0];[14, 14]
28;2022-01-13 12:52:26.895000+00:00;eXsm+0vE25UQ9wFo;click;LABEL;;[92, 181];[34, 15];[74, 36]
29;2022-01-13 12:52:26.896000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;radio;[92, 181];[0, 0];[14, 14]
30;2022-01-13 12:52:33.576000+00:00;eXsm+0vE25UQ9wFo;click;LABEL;;[176, 413];[43, 19];[70, 36]
31;2022-01-13 12:52:33.577000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;radio;[176, 413];[0, 0];[14, 14]
32;2022-01-13 12:53:18.209000+00:00;eXsm+0vE25UQ9wFo;click;LABEL;;[117, 609];[59, 11];[74, 36]
33;2022-01-13 12:53:18.210000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;radio;[117, 609];[0, 0];[14, 14]
34;2022-01-13 12:53:46.293000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;checkbox;[83, 478];[8, 4];[14, 14]
35;2022-01-13 12:53:46.826000+00:00;eXsm+0vE25UQ9wFo;click;DIV;;[75, 520];['', ''];['', '']
36;2022-01-13 12:53:47.425000+00:00;eXsm+0vE25UQ9wFo;click;DIV;;[78, 517];['', ''];['', '']
37;2022-01-13 12:53:47.911000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;checkbox;[83, 505];[8, 5];[14, 14]
38;2022-01-13 12:53:48.827000+00:00;eXsm+0vE25UQ9wFo;click;DIV;;[80, 542];['', ''];['', '']
39;2022-01-13 12:53:49.461000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;checkbox;[86, 505];[11, 5];[14, 14]
40;2022-01-13 12:53:50.059000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;checkbox;[83, 484];[8, 10];[14, 14]
41;2022-01-13 12:54:03.182000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;checkbox;[78, 179];[3, 8];[14, 14]
42;2022-01-13 12:54:08.192000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;checkbox;[87, 232];[12, 9];[14, 14]
43;2022-01-13 12:54:08.677000+00:00;eXsm+0vE25UQ9wFo;click;DIV;;[87, 248];['', ''];['', '']
44;2022-01-13 12:54:09.343000+00:00;eXsm+0vE25UQ9wFo;click;DIV;;[87, 248];['', ''];['', '']
45;2022-01-13 12:54:09.844000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;checkbox;[87, 250];[12, 1];[14, 14]
46;2022-01-13 12:54:18.363000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;checkbox;[82, 291];[7, 8];[14, 14]
47;2022-01-13 12:54:22.396000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;checkbox;[83, 367];[8, 6];[14, 14]
48;2022-01-13 12:54:28.998000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;checkbox;[85, 296];[10, 11];[14, 14]
49;2022-01-13 12:54:34.397000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;checkbox;[80, 344];[5, 7];[14, 14]
50;2022-01-13 12:54:35.849000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;checkbox;[87, 369];[12, 6];[14, 14]
51;2022-01-13 12:54:44.567000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;checkbox;[84, 367];[9, 5];[14, 14]
52;2022-01-13 12:54:45.499000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;checkbox;[79, 397];[4, 9];[14, 14]
53;2022-01-13 12:54:54.948000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;checkbox;[81, 377];[6, 6];[14, 14]
54;2022-01-13 12:54:55.583000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;checkbox;[85, 349];[10, 4];[14, 14]
55;2022-01-13 12:55:01.466000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;checkbox;[89, 394];[14, 2];[14, 14]
56;2022-01-13 12:55:02.882000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;checkbox;[82, 429];[7, 11];[14, 14]
57;2022-01-13 12:55:08.400000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;checkbox;[87, 325];[12, 9];[14, 14]
58;2022-01-13 12:55:10.616000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;checkbox;[83, 379];[8, 11];[14, 14]
59;2022-01-13 12:55:12.636000+00:00;eXsm+0vE25UQ9wFo;click;BUTTON;;[1079, 726];[84, 21];[193, 36]
60;2022-01-13 12:55:55.629000+00:00;eXsm+0vE25UQ9wFo;click;BUTTON;;[1146, 732];[1146, 4167];[0, 0]
61;2022-01-13 13:02:09.287000+00:00;eXsm+0vE25UQ9wFo;click;LABEL;;[90, 242];[32, 13];[74, 36]
62;2022-01-13 13:02:09.288000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;radio;[90, 242];[0, 0];[14, 14]
63;2022-01-13 13:02:16.670000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;radio;[105, 256];[0, 0];[14, 14]
64;2022-01-13 13:02:16.670000+00:00;eXsm+0vE25UQ9wFo;click;LABEL;;[105, 256];[47, 10];[74, 36]
65;2022-01-13 13:02:21.970000+00:00;eXsm+0vE25UQ9wFo;click;LABEL;;[80, 366];[22, 18];[74, 36]
66;2022-01-13 13:02:21.971000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;radio;[80, 366];[0, 0];[14, 14]
67;2022-01-13 13:02:28.070000+00:00;eXsm+0vE25UQ9wFo;click;LABEL;;[99, 450];[41, 17];[74, 36]
68;2022-01-13 13:02:28.071000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;radio;[99, 450];[0, 0];[14, 14]
69;2022-01-13 13:02:51.736000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;checkbox;[61, 412];[2, 4];[14, 14]
70;2022-01-13 13:02:54.170000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;checkbox;[66, 299];[7, 5];[14, 14]
71;2022-01-13 13:02:54.887000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;checkbox;[63, 276];[4, 8];[14, 14]
72;2022-01-13 13:02:56.336000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;checkbox;[60, 272];[1, 4];[14, 14]
73;2022-01-13 13:03:06.436000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;radio;[73, 520];[14, 6];[14, 14]
74;2022-01-13 13:03:08.125000+00:00;eXsm+0vE25UQ9wFo;click;BUTTON;;[1018, 731];[23, 26];[193, 36]
75;2022-01-13 13:03:39.230000+00:00;eXsm+0vE25UQ9wFo;click;BUTTON;;[1122, 737];[1122, 1834];[0, 0]
76;2022-01-13 13:03:57.503000+00:00;eXsm+0vE25UQ9wFo;click;DIV;;[70, 178];['', ''];['', '']
77;2022-01-13 13:03:58.349000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;radio;[67, 190];[8, 11];[14, 14]
78;2022-01-13 13:04:15.787000+00:00;eXsm+0vE25UQ9wFo;click;DIV;;[74, 273];['', ''];['', '']
79;2022-01-13 13:04:16.421000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;radio;[68, 281];[9, 10];[14, 14]
80;2022-01-13 13:04:31.538000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;checkbox;[68, 111];[9, 6];[14, 14]
81;2022-01-13 13:04:32.504000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;checkbox;[72, 134];[13, 3];[14, 14]
82;2022-01-13 13:04:38.822000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;checkbox;[70, 158];[11, 1];[14, 14]
83;2022-01-13 13:04:58.092000+00:00;eXsm+0vE25UQ9wFo;click;BUTTON;;[1111, 727];[116, 22];[193, 36]
84;2022-01-13 13:05:05.643000+00:00;eXsm+0vE25UQ9wFo;click;BUTTON;;[1131, 729];[1131, 1996];[0, 0]
85;2022-01-13 13:06:41.456000+00:00;eXsm+0vE25UQ9wFo;click;INPUT;checkbox;[64, 304];[5, 9];[14, 14]
