;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 12:44:47.164000+00:00;esFozQiN3biRUni7;click;H1;;[960, 265];['', ''];['', '']
1;2022-01-13 12:44:47.590000+00:00;esFozQiN3biRUni7;click;H1;;[963, 234];['', ''];['', '']
2;2022-01-13 12:44:47.728000+00:00;esFozQiN3biRUni7;click;H1;;[963, 233];['', ''];['', '']
3;2022-01-13 12:45:06.307000+00:00;esFozQiN3biRUni7;click;HTML;;[1108, 785];['', ''];['', '']
4;2022-01-13 12:45:08.702000+00:00;esFozQiN3biRUni7;click;BUTTON;;[1576, 349];[58, 9];[104, 36]
5;2022-01-13 12:45:13.466000+00:00;esFozQiN3biRUni7;click;DIV;;[883, 282];['', ''];['', '']
6;2022-01-13 12:45:14.585000+00:00;esFozQiN3biRUni7;click;DIV;;[1015, 148];['', ''];['', '']
7;2022-01-13 12:45:14.780000+00:00;esFozQiN3biRUni7;click;DIV;;[1015, 148];['', ''];['', '']
8;2022-01-13 12:45:15.136000+00:00;esFozQiN3biRUni7;click;DIV;;[1015, 148];['', ''];['', '']
9;2022-01-13 12:45:15.394000+00:00;esFozQiN3biRUni7;click;DIV;;[1015, 148];['', ''];['', '']
10;2022-01-13 12:45:15.626000+00:00;esFozQiN3biRUni7;click;DIV;;[1015, 148];['', ''];['', '']
11;2022-01-13 12:45:15.786000+00:00;esFozQiN3biRUni7;click;DIV;;[1015, 148];['', ''];['', '']
12;2022-01-13 12:45:15.949000+00:00;esFozQiN3biRUni7;click;DIV;;[1015, 148];['', ''];['', '']
13;2022-01-13 12:45:16.261000+00:00;esFozQiN3biRUni7;click;DIV;;[1064, 245];['', ''];['', '']
14;2022-01-13 12:45:16.507000+00:00;esFozQiN3biRUni7;click;DIV;;[1113, 148];['', ''];['', '']
15;2022-01-13 12:45:16.699000+00:00;esFozQiN3biRUni7;click;DIV;;[1132, 271];['', ''];['', '']
16;2022-01-13 12:45:16.888000+00:00;esFozQiN3biRUni7;click;DIV;;[1137, 167];['', ''];['', '']
17;2022-01-13 12:45:17.080000+00:00;esFozQiN3biRUni7;click;DIV;;[1137, 236];['', ''];['', '']
18;2022-01-13 12:45:17.267000+00:00;esFozQiN3biRUni7;click;DIV;;[1136, 160];['', ''];['', '']
19;2022-01-13 12:45:17.462000+00:00;esFozQiN3biRUni7;click;DIV;;[1140, 245];['', ''];['', '']
20;2022-01-13 12:45:17.668000+00:00;esFozQiN3biRUni7;click;DIV;;[1149, 143];['', ''];['', '']
21;2022-01-13 12:45:17.848000+00:00;esFozQiN3biRUni7;click;DIV;;[1132, 263];['', ''];['', '']
22;2022-01-13 12:45:18.232000+00:00;esFozQiN3biRUni7;click;DIV;;[1119, 150];['', ''];['', '']
23;2022-01-13 12:45:18.409000+00:00;esFozQiN3biRUni7;click;DIV;;[1119, 150];['', ''];['', '']
24;2022-01-13 12:45:18.564000+00:00;esFozQiN3biRUni7;click;DIV;;[1119, 150];['', ''];['', '']
25;2022-01-13 12:45:18.752000+00:00;esFozQiN3biRUni7;click;DIV;;[1119, 150];['', ''];['', '']
26;2022-01-13 12:45:19.116000+00:00;esFozQiN3biRUni7;click;DIV;;[1107, 254];['', ''];['', '']
27;2022-01-13 12:45:34.505000+00:00;esFozQiN3biRUni7;click;DIV;;[741, 205];['', ''];['', '']
28;2022-01-13 12:45:34.715000+00:00;esFozQiN3biRUni7;click;DIV;;[741, 205];['', ''];['', '']
29;2022-01-13 12:45:37.109000+00:00;esFozQiN3biRUni7;click;LABEL;;[545, 269];[168, 14];[181, 24]
30;2022-01-13 12:45:37.111000+00:00;esFozQiN3biRUni7;click;INPUT;radio;[545, 269];[191, 9];[14, 14]
31;2022-01-13 12:45:37.586000+00:00;esFozQiN3biRUni7;click;LABEL;;[413, 320];[36, 13];[126, 24]
32;2022-01-13 12:45:37.587000+00:00;esFozQiN3biRUni7;click;INPUT;radio;[413, 320];[59, 8];[14, 14]
33;2022-01-13 12:45:38.041000+00:00;esFozQiN3biRUni7;click;LABEL;;[406, 273];[29, 18];[181, 24]
34;2022-01-13 12:45:38.042000+00:00;esFozQiN3biRUni7;click;INPUT;radio;[406, 273];[52, 13];[14, 14]
35;2022-01-13 12:45:38.457000+00:00;esFozQiN3biRUni7;click;LABEL;;[416, 301];[38, 21];[94, 24]
36;2022-01-13 12:45:38.458000+00:00;esFozQiN3biRUni7;click;INPUT;radio;[416, 301];[61, 16];[14, 14]
37;2022-01-13 12:45:38.716000+00:00;esFozQiN3biRUni7;click;LABEL;;[416, 277];[38, 23];[181, 24]
38;2022-01-13 12:45:38.717000+00:00;esFozQiN3biRUni7;click;INPUT;radio;[416, 277];[61, 18];[14, 14]
39;2022-01-13 12:45:38.994000+00:00;esFozQiN3biRUni7;click;LABEL;;[417, 265];[40, 11];[181, 24]
40;2022-01-13 12:45:38.995000+00:00;esFozQiN3biRUni7;click;INPUT;radio;[417, 265];[63, 6];[14, 14]
41;2022-01-13 12:45:40.005000+00:00;esFozQiN3biRUni7;click;DIV;;[797, 285];['', ''];['', '']
42;2022-01-13 12:45:44.143000+00:00;esFozQiN3biRUni7;click;DIV;;[760, 265];['', ''];['', '']
43;2022-01-13 12:45:45.482000+00:00;esFozQiN3biRUni7;click;DIV;;[742, 290];['', ''];['', '']
44;2022-01-13 12:45:45.650000+00:00;esFozQiN3biRUni7;click;DIV;;[742, 290];['', ''];['', '']
45;2022-01-13 12:45:45.837000+00:00;esFozQiN3biRUni7;click;DIV;;[742, 290];['', ''];['', '']
46;2022-01-13 12:45:46.534000+00:00;esFozQiN3biRUni7;click;DIV;;[800, 248];['', ''];['', '']
47;2022-01-13 12:45:46.565000+00:00;esFozQiN3biRUni7;click;DIV;;[800, 248];['', ''];['', '']
48;2022-01-13 12:45:46.597000+00:00;esFozQiN3biRUni7;click;DIV;;[800, 248];['', ''];['', '']
49;2022-01-13 12:45:46.629000+00:00;esFozQiN3biRUni7;click;DIV;;[800, 248];['', ''];['', '']
50;2022-01-13 12:45:46.661000+00:00;esFozQiN3biRUni7;click;DIV;;[800, 248];['', ''];['', '']
51;2022-01-13 12:45:46.693000+00:00;esFozQiN3biRUni7;click;DIV;;[800, 248];['', ''];['', '']
52;2022-01-13 12:45:46.724000+00:00;esFozQiN3biRUni7;click;DIV;;[800, 248];['', ''];['', '']
53;2022-01-13 12:45:46.755000+00:00;esFozQiN3biRUni7;click;DIV;;[800, 248];['', ''];['', '']
54;2022-01-13 12:45:46.785000+00:00;esFozQiN3biRUni7;click;DIV;;[800, 248];['', ''];['', '']
55;2022-01-13 12:45:46.817000+00:00;esFozQiN3biRUni7;click;DIV;;[800, 248];['', ''];['', '']
56;2022-01-13 12:45:46.849000+00:00;esFozQiN3biRUni7;click;DIV;;[800, 248];['', ''];['', '']
57;2022-01-13 12:45:46.881000+00:00;esFozQiN3biRUni7;click;DIV;;[800, 248];['', ''];['', '']
58;2022-01-13 12:45:46.910000+00:00;esFozQiN3biRUni7;click;DIV;;[800, 248];['', ''];['', '']
59;2022-01-13 12:45:46.941000+00:00;esFozQiN3biRUni7;click;DIV;;[800, 248];['', ''];['', '']
60;2022-01-13 12:45:46.970000+00:00;esFozQiN3biRUni7;click;DIV;;[800, 248];['', ''];['', '']
61;2022-01-13 12:45:47.002000+00:00;esFozQiN3biRUni7;click;DIV;;[800, 248];['', ''];['', '']
62;2022-01-13 12:45:47.035000+00:00;esFozQiN3biRUni7;click;DIV;;[800, 248];['', ''];['', '']
63;2022-01-13 12:45:47.064000+00:00;esFozQiN3biRUni7;click;DIV;;[800, 248];['', ''];['', '']
64;2022-01-13 12:45:47.095000+00:00;esFozQiN3biRUni7;click;DIV;;[800, 248];['', ''];['', '']
65;2022-01-13 12:45:47.127000+00:00;esFozQiN3biRUni7;click;DIV;;[800, 248];['', ''];['', '']
66;2022-01-13 12:45:47.158000+00:00;esFozQiN3biRUni7;click;DIV;;[799, 248];['', ''];['', '']
67;2022-01-13 12:45:47.190000+00:00;esFozQiN3biRUni7;click;DIV;;[764, 260];['', ''];['', '']
68;2022-01-13 12:45:47.222000+00:00;esFozQiN3biRUni7;click;DIV;;[730, 267];['', ''];['', '']
69;2022-01-13 12:45:47.252000+00:00;esFozQiN3biRUni7;click;DIV;;[698, 277];['', ''];['', '']
70;2022-01-13 12:45:47.284000+00:00;esFozQiN3biRUni7;click;DIV;;[628, 291];['', ''];['', '']
71;2022-01-13 12:45:47.316000+00:00;esFozQiN3biRUni7;click;DIV;;[562, 301];['', ''];['', '']
72;2022-01-13 12:45:47.347000+00:00;esFozQiN3biRUni7;click;DIV;;[529, 305];['', ''];['', '']
73;2022-01-13 12:45:47.376000+00:00;esFozQiN3biRUni7;click;DIV;;[529, 305];['', ''];['', '']
74;2022-01-13 12:45:47.408000+00:00;esFozQiN3biRUni7;click;DIV;;[525, 304];['', ''];['', '']
75;2022-01-13 12:45:47.502000+00:00;esFozQiN3biRUni7;click;LABEL;;[504, 269];[126, 14];[181, 24]
76;2022-01-13 12:45:47.503000+00:00;esFozQiN3biRUni7;click;INPUT;radio;[504, 269];[149, 9];[14, 14]
