;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 12:44:24.654000+00:00;feb7gL7WLgzky43P;click;BUTTON;;[1483, 301];[34, 3];[77, 18]
1;2022-01-13 12:44:38.697000+00:00;feb7gL7WLgzky43P;click;LABEL;;[146, 173];[117, 4];[170, 18]
2;2022-01-13 12:44:38.699000+00:00;feb7gL7WLgzky43P;click;INPUT;radio;[146, 173];[131, 0];[10, 10]
3;2022-01-13 12:45:01.665000+00:00;feb7gL7WLgzky43P;click;LABEL;;[50, 398];[21, 13];[86, 18]
4;2022-01-13 12:45:01.668000+00:00;feb7gL7WLgzky43P;click;INPUT;radio;[50, 398];[35, 9];[10, 10]
5;2022-01-13 12:45:13.378000+00:00;feb7gL7WLgzky43P;click;INPUT;radio;[19, 234];[4, 5];[10, 10]
6;2022-01-13 12:45:20.787000+00:00;feb7gL7WLgzky43P;click;DIV;;[26, 322];['', ''];['', '']
7;2022-01-13 12:45:22.647000+00:00;feb7gL7WLgzky43P;click;INPUT;radio;[18, 319];[3, 4];[10, 10]
8;2022-01-13 12:46:17.490000+00:00;feb7gL7WLgzky43P;click;LABEL;;[361, 350];[332, 9];[505, 18]
9;2022-01-13 12:46:17.493000+00:00;feb7gL7WLgzky43P;click;INPUT;radio;[361, 350];[346, 5];[10, 10]
10;2022-01-13 12:46:32.062000+00:00;feb7gL7WLgzky43P;click;LABEL;;[272, 476];[244, 11];[494, 18]
11;2022-01-13 12:46:32.063000+00:00;feb7gL7WLgzky43P;click;INPUT;checkbox;[272, 476];[258, 7];[10, 10]
12;2022-01-13 12:46:39.880000+00:00;feb7gL7WLgzky43P;click;LABEL;;[141, 679];[112, 13];[374, 18]
13;2022-01-13 12:46:39.881000+00:00;feb7gL7WLgzky43P;click;INPUT;radio;[141, 679];[126, 9];[10, 10]
14;2022-01-13 12:46:45.244000+00:00;feb7gL7WLgzky43P;click;LABEL;;[195, 661];[166, 14];[332, 18]
15;2022-01-13 12:46:45.246000+00:00;feb7gL7WLgzky43P;click;INPUT;radio;[195, 661];[180, 9];[10, 10]
16;2022-01-13 12:46:51.241000+00:00;feb7gL7WLgzky43P;click;LABEL;;[338, 676];[309, 10];[374, 18]
17;2022-01-13 12:46:51.244000+00:00;feb7gL7WLgzky43P;click;INPUT;radio;[338, 676];[323, 6];[10, 10]
18;2022-01-13 12:46:58.966000+00:00;feb7gL7WLgzky43P;click;LABEL;;[327, 654];[298, 7];[332, 18]
19;2022-01-13 12:46:58.968000+00:00;feb7gL7WLgzky43P;click;INPUT;radio;[327, 654];[312, 2];[10, 10]
20;2022-01-13 12:47:02.543000+00:00;feb7gL7WLgzky43P;click;BUTTON;;[1370, 735];[16, 15];[146, 18]
21;2022-01-13 12:48:07.152000+00:00;feb7gL7WLgzky43P;click;HTML;;[1428, 740];['', ''];['', '']
22;2022-01-13 12:48:08.089000+00:00;feb7gL7WLgzky43P;click;BUTTON;;[1442, 730];[0, 0];[0, 0]
23;2022-01-13 12:48:32.373000+00:00;feb7gL7WLgzky43P;click;LABEL;;[448, 211];[419, 5];[654, 18]
24;2022-01-13 12:48:32.374000+00:00;feb7gL7WLgzky43P;click;INPUT;radio;[448, 211];[433, 1];[10, 10]
25;2022-01-13 12:49:02.724000+00:00;feb7gL7WLgzky43P;click;LABEL;;[218, 417];[190, 9];[378, 18]
