;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 07:03:13.546000+00:00;gqWkGxjm5N4xB0Zc;click;H1;;[560, 239];['', ''];['', '']
1;2022-01-13 07:03:13.709000+00:00;gqWkGxjm5N4xB0Zc;click;H1;;[560, 239];['', ''];['', '']
2;2022-01-13 07:03:16.641000+00:00;gqWkGxjm5N4xB0Zc;click;BUTTON;;[1164, 357];[49, 27];[36, 110]
3;2022-01-13 07:03:25.207000+00:00;gqWkGxjm5N4xB0Zc;click;BUTTON;;[1246, 771];[80, 23];[36, 193]
4;2022-01-13 07:03:33.235000+00:00;gqWkGxjm5N4xB0Zc;click;LABEL;;[329, 300];[161, 16];[24, 187]
5;2022-01-13 07:03:33.236000+00:00;gqWkGxjm5N4xB0Zc;click;INPUT;radio;[329, 300];[184, 11];[14, 14]
6;2022-01-13 07:03:39.112000+00:00;gqWkGxjm5N4xB0Zc;click;LABEL;;[240, 296];[72, 15];[24, 99]
7;2022-01-13 07:03:39.113000+00:00;gqWkGxjm5N4xB0Zc;click;INPUT;radio;[240, 296];[95, 10];[14, 14]
8;2022-01-13 07:03:45.563000+00:00;gqWkGxjm5N4xB0Zc;click;LABEL;;[238, 230];[19, 25];[36, 70]
9;2022-01-13 07:03:45.564000+00:00;gqWkGxjm5N4xB0Zc;click;INPUT;radio;[238, 230];[19, 26];[13, 13]
10;2022-01-13 07:03:50.309000+00:00;gqWkGxjm5N4xB0Zc;click;LABEL;;[263, 335];[43, 27];[36, 70]
11;2022-01-13 07:03:50.310000+00:00;gqWkGxjm5N4xB0Zc;click;INPUT;radio;[263, 335];[43, 28];[13, 13]
12;2022-01-13 07:04:01.133000+00:00;gqWkGxjm5N4xB0Zc;click;LABEL;;[392, 307];[224, 14];[24, 567]
13;2022-01-13 07:04:01.134000+00:00;gqWkGxjm5N4xB0Zc;click;INPUT;radio;[392, 307];[247, 9];[14, 14]
14;2022-01-13 07:04:08.268000+00:00;gqWkGxjm5N4xB0Zc;click;LABEL;;[392, 307];[224, 18];[24, 561]
15;2022-01-13 07:04:08.269000+00:00;gqWkGxjm5N4xB0Zc;click;INPUT;checkbox;[392, 307];[247, 13];[14, 14]
16;2022-01-13 07:04:08.948000+00:00;gqWkGxjm5N4xB0Zc;click;LABEL;;[393, 334];[225, 20];[24, 418]
17;2022-01-13 07:04:08.951000+00:00;gqWkGxjm5N4xB0Zc;click;INPUT;checkbox;[393, 334];[248, 15];[14, 14]
18;2022-01-13 07:04:16.347000+00:00;gqWkGxjm5N4xB0Zc;click;LABEL;;[245, 584];[77, 10];[24, 113]
19;2022-01-13 07:04:16.348000+00:00;gqWkGxjm5N4xB0Zc;click;INPUT;radio;[245, 584];[100, 5];[14, 14]
20;2022-01-13 07:04:18.620000+00:00;gqWkGxjm5N4xB0Zc;click;BUTTON;;[1287, 776];[1288, 2123];[0, 0]
