;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 12:43:55.086000+00:00;jBxFycZpgylLUtdo;click;H1;;[1227, 258];['', ''];['', '']
1;2022-01-13 12:43:59.563000+00:00;jBxFycZpgylLUtdo;click;BUTTON;;[1492, 359];[6, 19];[105, 36]
2;2022-01-13 12:44:06.688000+00:00;jBxFycZpgylLUtdo;click;INPUT;radio;[330, 265];[8, 5];[14, 14]
3;2022-01-13 12:44:24.292000+00:00;jBxFycZpgylLUtdo;click;INPUT;radio;[329, 384];[7, 4];[14, 14]
4;2022-01-13 12:44:34.156000+00:00;jBxFycZpgylLUtdo;click;LABEL;;[425, 533];[30, 13];[67, 36]
5;2022-01-13 12:44:34.157000+00:00;jBxFycZpgylLUtdo;click;INPUT;radio;[425, 533];[28, 12];[10, 10]
6;2022-01-13 12:44:40.272000+00:00;jBxFycZpgylLUtdo;click;LABEL;;[359, 428];[38, 10];[73, 36]
7;2022-01-13 12:44:40.273000+00:00;jBxFycZpgylLUtdo;click;INPUT;radio;[359, 428];[36, 9];[10, 10]
8;2022-01-13 12:44:40.813000+00:00;jBxFycZpgylLUtdo;click;DIV;;[425, 595];['', ''];['', '']
9;2022-01-13 12:44:41.128000+00:00;jBxFycZpgylLUtdo;click;LABEL;;[429, 603];[34, 5];[67, 36]
10;2022-01-13 12:44:41.129000+00:00;jBxFycZpgylLUtdo;click;INPUT;radio;[429, 603];[32, 4];[10, 10]
11;2022-01-13 12:45:00.141000+00:00;jBxFycZpgylLUtdo;click;LABEL;;[746, 583];[401, 10];[550, 24]
12;2022-01-13 12:45:00.142000+00:00;jBxFycZpgylLUtdo;click;INPUT;radio;[746, 583];[424, 5];[14, 14]
13;2022-01-13 12:45:06.835000+00:00;jBxFycZpgylLUtdo;click;LABEL;;[644, 492];[299, 5];[543, 24]
14;2022-01-13 12:45:06.836000+00:00;jBxFycZpgylLUtdo;click;INPUT;checkbox;[644, 492];[322, 0];[14, 14]
15;2022-01-13 12:45:23.052000+00:00;jBxFycZpgylLUtdo;click;LABEL;;[467, 522];[122, 9];[403, 24]
16;2022-01-13 12:45:23.053000+00:00;jBxFycZpgylLUtdo;click;INPUT;checkbox;[467, 522];[145, 4];[14, 14]
17;2022-01-13 12:45:29.237000+00:00;jBxFycZpgylLUtdo;click;LABEL;;[592, 759];[247, 8];[365, 24]
18;2022-01-13 12:45:29.238000+00:00;jBxFycZpgylLUtdo;click;INPUT;radio;[592, 759];[270, 3];[14, 14]
19;2022-01-13 12:45:44.906000+00:00;jBxFycZpgylLUtdo;click;BUTTON;;[1785, 890];[83, 17];[192, 36]
20;2022-01-13 12:46:18.884000+00:00;jBxFycZpgylLUtdo;click;BUTTON;;[2058, 995];[0, 0];[0, 0]
21;2022-01-13 12:46:28.853000+00:00;jBxFycZpgylLUtdo;click;LABEL;;[768, 294];[311, 13];[697, 24]
22;2022-01-13 12:46:28.854000+00:00;jBxFycZpgylLUtdo;click;INPUT;radio;[768, 294];[334, 8];[14, 14]
23;2022-01-13 12:46:56.816000+00:00;jBxFycZpgylLUtdo;click;INPUT;checkbox;[333, 642];[11, 6];[14, 14]
24;2022-01-13 12:47:27.600000+00:00;jBxFycZpgylLUtdo;click;LABEL;;[472, 624];[127, 19];[407, 24]
25;2022-01-13 12:47:27.601000+00:00;jBxFycZpgylLUtdo;click;INPUT;checkbox;[472, 624];[150, 14];[14, 14]
26;2022-01-13 12:47:38.320000+00:00;jBxFycZpgylLUtdo;click;INPUT;text;[571, 570];[57, 16];[205, 26]
27;2022-01-13 12:47:54.118000+00:00;jBxFycZpgylLUtdo;click;INPUT;text;[655, 423];[141, 2];[205, 26]
28;2022-01-13 12:48:02.386000+00:00;jBxFycZpgylLUtdo;click;INPUT;text;[554, 506];[40, 14];[205, 26]
29;2022-01-13 12:48:14.037000+00:00;jBxFycZpgylLUtdo;click;LI;;[586, 579];['', ''];['', '']
30;2022-01-13 12:48:18.208000+00:00;jBxFycZpgylLUtdo;click;INPUT;text;[608, 288];[94, 7];[205, 26]
31;2022-01-13 12:48:37.907000+00:00;jBxFycZpgylLUtdo;click;INPUT;text;[536, 171];[22, 25];[205, 26]
32;2022-01-13 12:48:40.504000+00:00;jBxFycZpgylLUtdo;click;DIV;;[498, 224];['', ''];['', '']
33;2022-01-13 12:48:47.544000+00:00;jBxFycZpgylLUtdo;click;INPUT;text;[578, 367];[64, 15];[205, 26]
34;2022-01-13 12:49:06.427000+00:00;jBxFycZpgylLUtdo;click;INPUT;text;[578, 440];[64, 17];[205, 26]
35;2022-01-13 12:49:19.423000+00:00;jBxFycZpgylLUtdo;click;INPUT;text;[612, 148];[98, 2];[205, 26]
36;2022-01-13 12:49:20.909000+00:00;jBxFycZpgylLUtdo;click;INPUT;text;[628, 654];[114, 10];[205, 26]
37;2022-01-13 12:49:32.276000+00:00;jBxFycZpgylLUtdo;click;INPUT;text;[592, 164];[78, 18];[205, 26]
38;2022-01-13 12:50:02.383000+00:00;jBxFycZpgylLUtdo;click;INPUT;text;[623, 161];[109, 15];[205, 26]
39;2022-01-13 12:50:17.459000+00:00;jBxFycZpgylLUtdo;click;INPUT;text;[629, 653];[115, 9];[205, 26]
40;2022-01-13 12:50:37.348000+00:00;jBxFycZpgylLUtdo;click;INPUT;text;[454, 266];[-60, 16];[205, 26]
41;2022-01-13 12:50:45.868000+00:00;jBxFycZpgylLUtdo;click;LABEL;;[383, 320];[22, 14];[388, 24]
42;2022-01-13 12:50:48.067000+00:00;jBxFycZpgylLUtdo;click;INPUT;checkbox;[345, 312];[7, 1];[14, 14]
43;2022-01-13 12:50:50.873000+00:00;jBxFycZpgylLUtdo;click;INPUT;checkbox;[343, 344];[5, 7];[14, 14]
44;2022-01-13 12:50:54.881000+00:00;jBxFycZpgylLUtdo;click;INPUT;checkbox;[347, 372];[9, 9];[14, 14]
45;2022-01-13 12:51:22.627000+00:00;jBxFycZpgylLUtdo;click;INPUT;checkbox;[345, 417];[7, 12];[14, 14]
46;2022-01-13 12:51:45.146000+00:00;jBxFycZpgylLUtdo;click;INPUT;checkbox;[351, 166];[13, 7];[14, 14]
47;2022-01-13 12:52:13.676000+00:00;jBxFycZpgylLUtdo;click;INPUT;checkbox;[348, 626];[10, 9];[14, 14]
48;2022-01-13 12:52:31.951000+00:00;jBxFycZpgylLUtdo;click;INPUT;checkbox;[340, 648];[2, 5];[14, 14]
49;2022-01-13 12:52:39.387000+00:00;jBxFycZpgylLUtdo;click;INPUT;checkbox;[351, 435];[13, 5];[14, 14]
50;2022-01-13 12:52:41.149000+00:00;jBxFycZpgylLUtdo;click;INPUT;checkbox;[351, 435];[13, 5];[14, 14]
51;2022-01-13 12:52:53.196000+00:00;jBxFycZpgylLUtdo;click;DIV;;[351, 285];['', ''];['', '']
52;2022-01-13 12:52:54.230000+00:00;jBxFycZpgylLUtdo;click;INPUT;checkbox;[349, 279];[11, 10];[14, 14]
53;2022-01-13 12:52:56.041000+00:00;jBxFycZpgylLUtdo;click;INPUT;checkbox;[345, 253];[7, 10];[14, 14]
54;2022-01-13 12:53:13.067000+00:00;jBxFycZpgylLUtdo;click;INPUT;checkbox;[347, 195];[9, 11];[14, 14]
55;2022-01-13 12:53:47.537000+00:00;jBxFycZpgylLUtdo;click;INPUT;checkbox;[347, 380];[9, 9];[14, 14]
56;2022-01-13 12:54:00.865000+00:00;jBxFycZpgylLUtdo;click;INPUT;checkbox;[341, 456];[3, 7];[14, 14]
57;2022-01-13 12:54:15.665000+00:00;jBxFycZpgylLUtdo;click;INPUT;checkbox;[347, 338];[9, 9];[14, 14]
58;2022-01-13 12:54:24.030000+00:00;jBxFycZpgylLUtdo;click;INPUT;checkbox;[346, 284];[8, 7];[14, 14]
59;2022-01-13 12:54:29.325000+00:00;jBxFycZpgylLUtdo;click;INPUT;checkbox;[349, 280];[11, 3];[14, 14]
60;2022-01-13 12:55:02.921000+00:00;jBxFycZpgylLUtdo;click;INPUT;checkbox;[344, 537];[6, 5];[14, 14]
61;2022-01-13 12:55:22.319000+00:00;jBxFycZpgylLUtdo;click;INPUT;checkbox;[347, 567];[9, 9];[14, 14]
62;2022-01-13 12:56:05.622000+00:00;jBxFycZpgylLUtdo;click;INPUT;radio;[323, 421];[1, 8];[14, 14]
63;2022-01-13 12:56:16.515000+00:00;jBxFycZpgylLUtdo;click;LABEL;;[371, 349];[50, 26];[73, 36]
64;2022-01-13 12:56:16.516000+00:00;jBxFycZpgylLUtdo;click;INPUT;radio;[371, 349];[48, 25];[10, 10]
65;2022-01-13 12:56:19.755000+00:00;jBxFycZpgylLUtdo;click;LABEL;;[426, 512];[31, 9];[67, 36]
66;2022-01-13 12:56:19.756000+00:00;jBxFycZpgylLUtdo;click;INPUT;radio;[426, 512];[29, 8];[10, 10]
67;2022-01-13 12:56:27.052000+00:00;jBxFycZpgylLUtdo;click;LABEL;;[438, 588];[43, 2];[67, 36]
68;2022-01-13 12:56:27.054000+00:00;jBxFycZpgylLUtdo;click;INPUT;radio;[438, 588];[41, 1];[10, 10]
69;2022-01-13 12:56:36.083000+00:00;jBxFycZpgylLUtdo;click;LABEL;;[436, 791];[41, 25];[67, 36]
70;2022-01-13 12:56:36.084000+00:00;jBxFycZpgylLUtdo;click;INPUT;radio;[436, 791];[39, 24];[10, 10]
71;2022-01-13 12:56:41.441000+00:00;jBxFycZpgylLUtdo;click;BUTTON;;[1739, 883];[37, 10];[192, 36]
72;2022-01-13 12:57:24.732000+00:00;jBxFycZpgylLUtdo;click;BUTTON;;[3073, 1490];[0, 0];[0, 0]
73;2022-01-13 12:57:50.133000+00:00;jBxFycZpgylLUtdo;click;LABEL;;[459, 432];[26, 21];[70, 36]
74;2022-01-13 12:57:50.134000+00:00;jBxFycZpgylLUtdo;click;INPUT;radio;[459, 432];[25, 21];[10, 10]
75;2022-01-13 12:58:27.512000+00:00;jBxFycZpgylLUtdo;click;LABEL;;[538, 612];[34, 20];[65, 36]
76;2022-01-13 12:58:27.513000+00:00;jBxFycZpgylLUtdo;click;INPUT;radio;[538, 612];[33, 20];[10, 10]
77;2022-01-13 12:58:32.433000+00:00;jBxFycZpgylLUtdo;click;DIV;;[423, 681];['', ''];['', '']
78;2022-01-13 12:58:32.786000+00:00;jBxFycZpgylLUtdo;click;LABEL;;[433, 687];[0, 22];[70, 36]
79;2022-01-13 12:58:32.787000+00:00;jBxFycZpgylLUtdo;click;INPUT;radio;[433, 687];[-1, 22];[10, 10]
80;2022-01-13 12:58:42.299000+00:00;jBxFycZpgylLUtdo;click;LABEL;;[526, 258];[22, 28];[65, 36]
81;2022-01-13 12:58:42.300000+00:00;jBxFycZpgylLUtdo;click;INPUT;radio;[526, 258];[21, 28];[10, 10]
82;2022-01-13 12:58:48.770000+00:00;jBxFycZpgylLUtdo;click;INPUT;checkbox;[437, 650];[3, 8];[14, 14]
83;2022-01-13 12:58:49.195000+00:00;jBxFycZpgylLUtdo;click;INPUT;checkbox;[439, 616];[5, 0];[14, 14]
84;2022-01-13 12:58:49.659000+00:00;jBxFycZpgylLUtdo;click;INPUT;checkbox;[440, 593];[6, 3];[14, 14]
85;2022-01-13 12:58:58.772000+00:00;jBxFycZpgylLUtdo;click;LABEL;;[897, 849];[440, 17];[997, 24]
86;2022-01-13 12:58:58.773000+00:00;jBxFycZpgylLUtdo;click;INPUT;radio;[897, 849];[463, 12];[14, 14]
87;2022-01-13 12:59:01.292000+00:00;jBxFycZpgylLUtdo;click;BUTTON;;[1994, 999];[65, 19];[187, 36]
88;2022-01-13 12:59:09.182000+00:00;jBxFycZpgylLUtdo;click;INPUT;text;[555, 762];[121, 10];[166, 26]
89;2022-01-13 12:59:10.818000+00:00;jBxFycZpgylLUtdo;click;DIV;;[1387, 750];['', ''];['', '']
90;2022-01-13 12:59:13.642000+00:00;jBxFycZpgylLUtdo;click;INPUT;text;[545, 758];[111, 6];[166, 26]
91;2022-01-13 12:59:21.676000+00:00;jBxFycZpgylLUtdo;click;INPUT;text;[1003, 777];[66, 25];[166, 26]
92;2022-01-13 12:59:25.496000+00:00;jBxFycZpgylLUtdo;click;INPUT;text;[1009, 763];[72, 11];[166, 26]
93;2022-01-13 12:59:29.237000+00:00;jBxFycZpgylLUtdo;click;INPUT;text;[1036, 438];[99, 8];[166, 26]
94;2022-01-13 13:00:02.126000+00:00;jBxFycZpgylLUtdo;click;BUTTON;;[3772, 1762];[0, 0];[0, 0]
95;2022-01-13 13:00:38.753000+00:00;jBxFycZpgylLUtdo;click;INPUT;radio;[569, 545];[8, 11];[14, 14]
96;2022-01-13 13:00:42.817000+00:00;jBxFycZpgylLUtdo;click;INPUT;radio;[569, 320];[8, 7];[14, 14]
97;2022-01-13 13:00:55.795000+00:00;jBxFycZpgylLUtdo;click;INPUT;checkbox;[332, 576];[10, 10];[14, 14]
98;2022-01-13 13:00:59.110000+00:00;jBxFycZpgylLUtdo;click;INPUT;checkbox;[322, 600];[-1, 8];[14, 14]
99;2022-01-13 13:01:04.178000+00:00;jBxFycZpgylLUtdo;click;DIV;;[328, 616];['', ''];['', '']
100;2022-01-13 13:01:04.653000+00:00;jBxFycZpgylLUtdo;click;INPUT;checkbox;[334, 624];[12, 6];[14, 14]
