;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-20 13:09:37.645000+00:00;l9Ulwxw2Cb1pszgG;click;DIV;;[1348, 337];['', ''];['', '']
1;2022-01-20 13:09:38.055000+00:00;l9Ulwxw2Cb1pszgG;click;BUTTON;;[1338, 343];[45, 3];[104, 36]
2;2022-01-20 13:09:40.227000+00:00;l9Ulwxw2Cb1pszgG;click;INPUT;text;[358, 563];[37, 16];[185, 26]
3;2022-01-20 13:09:43.056000+00:00;l9Ulwxw2Cb1pszgG;click;BUTTON;;[1377, 675];[62, 9];[192, 36]
4;2022-01-20 13:09:45.120000+00:00;l9Ulwxw2Cb1pszgG;click;INPUT;text;[490, 556];[169, 9];[185, 26]
5;2022-01-20 13:10:40.533000+00:00;l9Ulwxw2Cb1pszgG;click;DIV;;[744, 369];['', ''];['', '']
6;2022-01-20 13:10:40.750000+00:00;l9Ulwxw2Cb1pszgG;click;DIV;;[722, 361];['', ''];['', '']
7;2022-01-20 13:10:41.221000+00:00;l9Ulwxw2Cb1pszgG;click;DIV;;[722, 364];['', ''];['', '']
8;2022-01-20 13:10:42.786000+00:00;l9Ulwxw2Cb1pszgG;click;DIV;;[898, 394];['', ''];['', '']
9;2022-01-20 13:11:32.321000+00:00;l9Ulwxw2Cb1pszgG;click;DIV;;[652, 384];['', ''];['', '']
10;2022-01-20 13:11:33.730000+00:00;l9Ulwxw2Cb1pszgG;click;INPUT;text;[428, 363];[108, 16];[185, 26]
11;2022-01-20 13:11:33.895000+00:00;l9Ulwxw2Cb1pszgG;click;INPUT;text;[428, 363];[108, 16];[185, 26]
12;2022-01-20 13:11:34.399000+00:00;l9Ulwxw2Cb1pszgG;click;INPUT;text;[499, 357];[178, 10];[185, 26]
