;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 12:45:29.185000+00:00;lg9t6f3KFGnqQsIo;click;BUTTON;;[1196, 355];[77, 16];[110, 36]
1;2022-01-13 12:45:40.183000+00:00;lg9t6f3KFGnqQsIo;click;DIV;;[166, 267];['', ''];['', '']
2;2022-01-13 12:45:40.817000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;radio;[156, 267];[7, 7];[14, 14]
3;2022-01-13 12:45:41.583000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;radio;[156, 241];[7, 7];[14, 14]
4;2022-01-13 12:46:25.565000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;radio;[163, 264];[14, 4];[14, 14]
5;2022-01-13 12:46:51.198000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;radio;[154, 410];[5, 4];[14, 14]
6;2022-01-13 12:47:03.215000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;radio;[154, 212];[6, 9];[14, 14]
7;2022-01-13 12:47:03.881000+00:00;lg9t6f3KFGnqQsIo;click;DIV;;[157, 175];['', ''];['', '']
8;2022-01-13 12:47:04.932000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;radio;[157, 181];[8, 4];[14, 14]
9;2022-01-13 12:47:08.814000+00:00;lg9t6f3KFGnqQsIo;click;LABEL;;[184, 442];[36, 24];[74, 36]
10;2022-01-13 12:47:08.817000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;radio;[184, 442];[36, 25];[13, 13]
11;2022-01-13 12:47:12.999000+00:00;lg9t6f3KFGnqQsIo;click;LABEL;;[203, 529];[56, 13];[74, 36]
12;2022-01-13 12:47:13+00:00;lg9t6f3KFGnqQsIo;click;INPUT;radio;[203, 529];[56, 14];[13, 13]
13;2022-01-13 12:47:53.265000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;radio;[154, 481];[6, 6];[14, 14]
14;2022-01-13 12:48:25.666000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;checkbox;[151, 412];[3, 7];[14, 14]
15;2022-01-13 12:49:17.113000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;radio;[158, 476];[10, 7];[14, 14]
16;2022-01-13 12:49:57.665000+00:00;lg9t6f3KFGnqQsIo;click;BUTTON;;[1202, 655];[29, 18];[193, 36]
17;2022-01-13 12:50:10.895000+00:00;lg9t6f3KFGnqQsIo;click;BUTTON;;[1311, 651];[1311, 2007];[0, 0]
18;2022-01-13 12:51:06.546000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;radio;[159, 297];[11, 11];[14, 14]
19;2022-01-13 12:51:11.846000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;checkbox;[158, 373];[9, 5];[14, 14]
20;2022-01-13 12:51:12.429000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;checkbox;[157, 392];[8, -1];[14, 14]
21;2022-01-13 12:51:13.279000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;checkbox;[156, 373];[7, 6];[14, 14]
22;2022-01-13 12:51:13.895000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;checkbox;[154, 396];[5, 3];[14, 14]
23;2022-01-13 12:51:20.896000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;checkbox;[150, 402];[1, 8];[14, 14]
24;2022-01-13 12:51:27.229000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;checkbox;[151, 460];[2, 14];[14, 14]
25;2022-01-13 12:52:03.145000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;checkbox;[155, 482];[7, 11];[14, 14]
26;2022-01-13 12:52:06.078000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;checkbox;[155, 481];[7, 10];[14, 14]
27;2022-01-13 12:52:06.895000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;checkbox;[155, 504];[6, 7];[14, 14]
28;2022-01-13 12:52:08.030000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;checkbox;[152, 528];[3, 4];[14, 14]
29;2022-01-13 12:52:08.861000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;checkbox;[153, 481];[4, 10];[14, 14]
30;2022-01-13 12:52:09.811000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;checkbox;[151, 533];[2, 10];[14, 14]
31;2022-01-13 12:52:10.679000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;checkbox;[153, 479];[4, 8];[14, 14]
32;2022-01-13 12:56:42.305000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;text;[378, 148];[31, 19];[179, 26]
33;2022-01-13 12:56:50.305000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;text;[393, 220];[46, 19];[179, 26]
34;2022-01-13 12:57:01.238000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;text;[394, 292];[47, 20];[179, 26]
35;2022-01-13 12:57:13.605000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;text;[384, 408];[36, 18];[179, 26]
36;2022-01-13 12:57:26.687000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;text;[368, 477];[21, 16];[179, 26]
37;2022-01-13 12:57:39.503000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;text;[387, 553];[40, 21];[179, 26]
38;2022-01-13 12:57:50.237000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;text;[400, 474];[52, 20];[179, 26]
39;2022-01-13 12:59:24.869000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;checkbox;[175, 321];[11, 13];[14, 14]
40;2022-01-13 12:59:25.436000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;checkbox;[175, 339];[11, 4];[14, 14]
41;2022-01-13 12:59:26.236000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;checkbox;[173, 312];[8, 4];[14, 14]
42;2022-01-13 12:59:26.969000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;checkbox;[171, 337];[7, 3];[14, 14]
43;2022-01-13 13:02:11.165000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;checkbox;[178, 445];[14, 9];[14, 14]
44;2022-01-13 13:02:17.999000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;checkbox;[171, 412];[7, 3];[14, 14]
45;2022-01-13 13:02:38.566000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;checkbox;[176, 262];[12, 5];[14, 14]
46;2022-01-13 13:03:12.214000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;checkbox;[174, 390];[9, 6];[14, 14]
47;2022-01-13 13:04:04.661000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;checkbox;[178, 440];[14, 7];[14, 14]
48;2022-01-13 13:04:21.697000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;checkbox;[168, 449];[3, 7];[14, 14]
49;2022-01-13 13:04:48.413000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;checkbox;[173, 327];[9, 3];[14, 14]
50;2022-01-13 13:05:06.946000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;checkbox;[169, 317];[5, 8];[14, 14]
51;2022-01-13 13:05:09.643000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;checkbox;[175, 348];[11, 14];[14, 14]
52;2022-01-13 13:05:45.111000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;radio;[154, 215];[6, 3];[14, 14]
53;2022-01-13 13:05:56.543000+00:00;lg9t6f3KFGnqQsIo;click;DIV;;[198, 383];['', ''];['', '']
54;2022-01-13 13:05:57.160000+00:00;lg9t6f3KFGnqQsIo;click;LABEL;;[198, 375];[50, 32];[74, 36]
55;2022-01-13 13:05:57.162000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;radio;[198, 375];[50, 33];[13, 13]
56;2022-01-13 13:06:45.409000+00:00;lg9t6f3KFGnqQsIo;click;LABEL;;[280, 536];[57, 13];[70, 36]
57;2022-01-13 13:06:45.411000+00:00;lg9t6f3KFGnqQsIo;click;INPUT;radio;[280, 536];[57, 14];[13, 13]
