;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-20 12:54:44.170000+00:00;lnDf1z48HlsD2ODx;click;BUTTON;;[1839, 353];[34, 13];[105, 36]
1;2022-01-20 12:55:17.628000+00:00;lnDf1z48HlsD2ODx;click;INPUT;text;[874, 254];[41, 15];[185, 26]
2;2022-01-20 12:55:50.179000+00:00;lnDf1z48HlsD2ODx;click;INPUT;checkbox;[666, 323];[9, 7];[14, 14]
3;2022-01-20 12:55:50.594000+00:00;lnDf1z48HlsD2ODx;click;INPUT;checkbox;[657, 346];[-1, 4];[14, 14]
4;2022-01-20 12:55:51.045000+00:00;lnDf1z48HlsD2ODx;click;INPUT;checkbox;[668, 369];[11, 1];[14, 14]
5;2022-01-20 12:55:53.151000+00:00;lnDf1z48HlsD2ODx;click;INPUT;checkbox;[661, 515];[4, 12];[14, 14]
6;2022-01-20 12:55:53.387000+00:00;lnDf1z48HlsD2ODx;click;INPUT;checkbox;[667, 539];[10, 10];[14, 14]
7;2022-01-20 12:55:53.644000+00:00;lnDf1z48HlsD2ODx;click;INPUT;checkbox;[669, 562];[12, 7];[14, 14]
8;2022-01-20 12:55:55.698000+00:00;lnDf1z48HlsD2ODx;click;INPUT;checkbox;[669, 493];[12, 3];[14, 14]
9;2022-01-20 12:55:55.939000+00:00;lnDf1z48HlsD2ODx;click;INPUT;checkbox;[660, 521];[3, 5];[14, 14]
10;2022-01-20 12:55:57.493000+00:00;lnDf1z48HlsD2ODx;click;INPUT;checkbox;[668, 682];[11, 5];[14, 14]
11;2022-01-20 12:55:57.738000+00:00;lnDf1z48HlsD2ODx;click;DIV;;[676, 709];['', ''];['', '']
12;2022-01-20 12:55:58.119000+00:00;lnDf1z48HlsD2ODx;click;INPUT;checkbox;[668, 710];[11, 7];[14, 14]
13;2022-01-20 12:56:00.259000+00:00;lnDf1z48HlsD2ODx;click;INPUT;checkbox;[665, 675];[8, 11];[14, 14]
14;2022-01-20 12:56:00.471000+00:00;lnDf1z48HlsD2ODx;click;INPUT;checkbox;[664, 701];[7, 11];[14, 14]
15;2022-01-20 12:56:13.393000+00:00;lnDf1z48HlsD2ODx;click;INPUT;checkbox;[667, 854];[10, 3];[14, 14]
16;2022-01-20 12:56:14.099000+00:00;lnDf1z48HlsD2ODx;click;DIV;;[663, 897];['', ''];['', '']
17;2022-01-20 12:56:14.626000+00:00;lnDf1z48HlsD2ODx;click;INPUT;checkbox;[663, 912];[6, 9];[14, 14]
18;2022-01-20 12:56:14.886000+00:00;lnDf1z48HlsD2ODx;click;INPUT;checkbox;[668, 886];[11, 9];[14, 14]
19;2022-01-20 12:56:24.780000+00:00;lnDf1z48HlsD2ODx;click;INPUT;checkbox;[658, 1045];[1, 7];[14, 14]
20;2022-01-20 12:56:25.089000+00:00;lnDf1z48HlsD2ODx;click;DIV;;[657, 1063];['', ''];['', '']
21;2022-01-20 12:56:25.411000+00:00;lnDf1z48HlsD2ODx;click;INPUT;checkbox;[658, 1070];[1, 6];[14, 14]
22;2022-01-20 12:56:31.413000+00:00;lnDf1z48HlsD2ODx;click;INPUT;text;[808, 652];[79, 13];[185, 26]
23;2022-01-20 12:56:56.443000+00:00;lnDf1z48HlsD2ODx;click;INPUT;text;[766, 776];[108, 7];[185, 26]
24;2022-01-20 12:57:05.510000+00:00;lnDf1z48HlsD2ODx;click;INPUT;text;[746, 778];[88, 9];[185, 26]
25;2022-01-20 12:57:25.725000+00:00;lnDf1z48HlsD2ODx;click;INPUT;text;[798, 1041];[140, 15];[185, 26]
26;2022-01-20 12:57:48.933000+00:00;lnDf1z48HlsD2ODx;click;BUTTON;;[2451, 1264];[111, 14];[192, 36]
27;2022-01-20 12:58:30.591000+00:00;lnDf1z48HlsD2ODx;click;BUTTON;;[2477, 1257];[2477, 3786];[0, 0]
28;2022-01-20 12:59:13.436000+00:00;lnDf1z48HlsD2ODx;click;INPUT;checkbox;[649, 396];[8, 6];[14, 14]
29;2022-01-20 12:59:18.425000+00:00;lnDf1z48HlsD2ODx;click;INPUT;checkbox;[646, 266];[5, 6];[14, 14]
30;2022-01-20 12:59:23.317000+00:00;lnDf1z48HlsD2ODx;click;INPUT;checkbox;[647, 505];[6, 11];[14, 14]
31;2022-01-20 12:59:30.630000+00:00;lnDf1z48HlsD2ODx;click;INPUT;checkbox;[648, 371];[7, 7];[14, 14]
32;2022-01-20 13:00:45.283000+00:00;lnDf1z48HlsD2ODx;click;DIV;;[1105, 917];['', ''];['', '']
33;2022-01-20 13:00:48.989000+00:00;lnDf1z48HlsD2ODx;click;DIV;;[1142, 912];['', ''];['', '']
34;2022-01-20 13:00:49.352000+00:00;lnDf1z48HlsD2ODx;click;DIV;;[1127, 930];['', ''];['', '']
35;2022-01-20 13:00:49.982000+00:00;lnDf1z48HlsD2ODx;click;DIV;;[1086, 883];['', ''];['', '']
36;2022-01-20 13:00:50.225000+00:00;lnDf1z48HlsD2ODx;click;DIV;;[1086, 883];['', ''];['', '']
37;2022-01-20 13:00:50.696000+00:00;lnDf1z48HlsD2ODx;click;DIV;;[1252, 893];['', ''];['', '']
38;2022-01-20 13:01:03.119000+00:00;lnDf1z48HlsD2ODx;click;INPUT;text;[1300, 832];[93, 11];[188, 26]
39;2022-01-20 13:01:10.359000+00:00;lnDf1z48HlsD2ODx;click;INPUT;text;[1316, 863];[109, 12];[188, 26]
40;2022-01-20 13:01:15.193000+00:00;lnDf1z48HlsD2ODx;click;INPUT;text;[1272, 861];[66, 10];[188, 26]
41;2022-01-20 13:01:22.274000+00:00;lnDf1z48HlsD2ODx;click;INPUT;text;[1272, 871];[66, 20];[188, 26]
42;2022-01-20 13:01:34.195000+00:00;lnDf1z48HlsD2ODx;click;NULL;;[891, 942];['', ''];['', '']
43;2022-01-20 13:01:53.772000+00:00;lnDf1z48HlsD2ODx;click;INPUT;radio;[980, 1475];[4, 7];[13, 13]
44;2022-01-20 13:02:16.093000+00:00;lnDf1z48HlsD2ODx;click;INPUT;radio;[978, 1391];[3, 8];[13, 13]
45;2022-01-20 13:02:29.658000+00:00;lnDf1z48HlsD2ODx;click;INPUT;radio;[982, 1193];[7, 11];[13, 13]
46;2022-01-20 13:02:35.928000+00:00;lnDf1z48HlsD2ODx;click;INPUT;radio;[982, 1181];[7, 6];[13, 13]
47;2022-01-20 13:03:44.319000+00:00;lnDf1z48HlsD2ODx;click;INPUT;checkbox;[965, 1465];[5, 9];[13, 13]
