;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 12:43:46.680000+00:00;mfjyhGqExT31yca0;click;H1;;[1183, 244];['', ''];['', '']
1;2022-01-13 12:43:58.394000+00:00;mfjyhGqExT31yca0;click;DIV;;[1333, 372];['', ''];['', '']
2;2022-01-13 12:44:01.579000+00:00;mfjyhGqExT31yca0;click;BUTTON;;[1536, 364];[51, 24];[105, 36]
3;2022-01-13 12:44:43.713000+00:00;mfjyhGqExT31yca0;click;LABEL;;[490, 267];[146, 12];[181, 24]
4;2022-01-13 12:44:43.714000+00:00;mfjyhGqExT31yca0;click;INPUT;radio;[490, 267];[169, 7];[14, 14]
5;2022-01-13 12:45:12.540000+00:00;mfjyhGqExT31yca0;click;LABEL;;[358, 840];[38, 14];[73, 36]
6;2022-01-13 12:45:12.541000+00:00;mfjyhGqExT31yca0;click;INPUT;radio;[358, 840];[38, 15];[13, 13]
7;2022-01-13 12:45:24.116000+00:00;mfjyhGqExT31yca0;click;LABEL;;[364, 540];[20, 13];[84, 24]
8;2022-01-13 12:45:24.117000+00:00;mfjyhGqExT31yca0;click;INPUT;radio;[364, 540];[43, 8];[14, 14]
9;2022-01-13 12:45:37.102000+00:00;mfjyhGqExT31yca0;click;LABEL;;[361, 437];[41, 18];[73, 36]
10;2022-01-13 12:45:37.103000+00:00;mfjyhGqExT31yca0;click;INPUT;radio;[361, 437];[41, 19];[13, 13]
11;2022-01-13 12:46:28.558000+00:00;mfjyhGqExT31yca0;click;LABEL;;[434, 445];[90, 6];[550, 24]
12;2022-01-13 12:46:28.558000+00:00;mfjyhGqExT31yca0;click;INPUT;radio;[434, 445];[113, 1];[14, 14]
13;2022-01-13 12:46:45.251000+00:00;mfjyhGqExT31yca0;click;INPUT;checkbox;[402, 525];[81, 8];[14, 14]
14;2022-01-13 12:46:45.251000+00:00;mfjyhGqExT31yca0;click;LABEL;;[402, 525];[58, 13];[543, 24]
15;2022-01-13 12:46:45.669000+00:00;mfjyhGqExT31yca0;click;INPUT;checkbox;[394, 544];[73, 1];[14, 14]
16;2022-01-13 12:46:45.669000+00:00;mfjyhGqExT31yca0;click;LABEL;;[394, 544];[50, 6];[403, 24]
17;2022-01-13 12:46:46.106000+00:00;mfjyhGqExT31yca0;click;LABEL;;[385, 577];[41, 13];[335, 24]
18;2022-01-13 12:46:46.106000+00:00;mfjyhGqExT31yca0;click;INPUT;checkbox;[385, 577];[64, 8];[14, 14]
19;2022-01-13 12:46:46.377000+00:00;mfjyhGqExT31yca0;click;INPUT;checkbox;[385, 597];[64, 2];[14, 14]
20;2022-01-13 12:46:46.377000+00:00;mfjyhGqExT31yca0;click;LABEL;;[385, 597];[41, 7];[584, 24]
21;2022-01-13 12:46:46.809000+00:00;mfjyhGqExT31yca0;click;INPUT;checkbox;[372, 601];[51, 6];[14, 14]
22;2022-01-13 12:46:46.809000+00:00;mfjyhGqExT31yca0;click;LABEL;;[372, 601];[28, 11];[584, 24]
23;2022-01-13 12:46:47.105000+00:00;mfjyhGqExT31yca0;click;LABEL;;[370, 583];[26, 19];[335, 24]
24;2022-01-13 12:46:47.105000+00:00;mfjyhGqExT31yca0;click;INPUT;checkbox;[370, 583];[49, 14];[14, 14]
25;2022-01-13 12:46:47.443000+00:00;mfjyhGqExT31yca0;click;INPUT;checkbox;[361, 557];[40, 14];[14, 14]
26;2022-01-13 12:46:47.443000+00:00;mfjyhGqExT31yca0;click;LABEL;;[361, 557];[17, 19];[403, 24]
27;2022-01-13 12:46:48.725000+00:00;mfjyhGqExT31yca0;click;DIV;;[409, 624];['', ''];['', '']
28;2022-01-13 12:47:14.822000+00:00;mfjyhGqExT31yca0;click;INPUT;checkbox;[411, 554];[90, 11];[14, 14]
29;2022-01-13 12:47:14.822000+00:00;mfjyhGqExT31yca0;click;LABEL;;[411, 554];[67, 16];[403, 24]
30;2022-01-13 12:47:18.795000+00:00;mfjyhGqExT31yca0;click;DIV;;[307, 581];['', ''];['', '']
31;2022-01-13 12:47:26.222000+00:00;mfjyhGqExT31yca0;click;LABEL;;[344, 576];[-1, 12];[335, 24]
32;2022-01-13 12:47:26.222000+00:00;mfjyhGqExT31yca0;click;INPUT;checkbox;[344, 576];[23, 7];[14, 14]
33;2022-01-13 12:47:30.897000+00:00;mfjyhGqExT31yca0;click;DIV;;[381, 636];['', ''];['', '']
34;2022-01-13 12:47:35.575000+00:00;mfjyhGqExT31yca0;click;INPUT;checkbox;[357, 576];[36, 7];[14, 14]
