;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 12:45:20.314000+00:00;pP99TCwgciuoBuUD;click;H1;;[662, 249];['', ''];['', '']
1;2022-01-13 12:45:20.699000+00:00;pP99TCwgciuoBuUD;click;P;;[624, 304];['', ''];['', '']
2;2022-01-13 12:45:21.237000+00:00;pP99TCwgciuoBuUD;click;DIV;;[273, 376];['', ''];['', '']
3;2022-01-13 12:45:35.735000+00:00;pP99TCwgciuoBuUD;click;HTML;;[529, 451];['', ''];['', '']
4;2022-01-13 12:45:37.519000+00:00;pP99TCwgciuoBuUD;click;BUTTON;;[936, 363];[44, 29];[105, 36]
5;2022-01-13 12:45:59.927000+00:00;pP99TCwgciuoBuUD;click;INPUT;radio;[330, 273];[9, 13];[14, 14]
6;2022-01-13 12:46:00.263000+00:00;pP99TCwgciuoBuUD;click;INPUT;radio;[334, 296];[13, 10];[14, 14]
7;2022-01-13 12:46:00.649000+00:00;pP99TCwgciuoBuUD;click;INPUT;radio;[333, 273];[12, 13];[14, 14]
8;2022-01-13 12:47:22.734000+00:00;pP99TCwgciuoBuUD;click;NULL;;[195, 297];['', ''];['', '']
9;2022-01-13 12:47:58.302000+00:00;pP99TCwgciuoBuUD;click;INPUT;radio;[328, 672];[7, 10];[14, 14]
10;2022-01-13 12:48:24.298000+00:00;pP99TCwgciuoBuUD;click;LABEL;;[428, 436];[34, 18];[67, 36]
11;2022-01-13 12:48:24.299000+00:00;pP99TCwgciuoBuUD;click;INPUT;radio;[428, 436];[32, 17];[10, 10]
12;2022-01-13 12:50:46.932000+00:00;pP99TCwgciuoBuUD;click;LABEL;;[343, 615];[23, 17];[73, 36]
13;2022-01-13 12:50:46.933000+00:00;pP99TCwgciuoBuUD;click;INPUT;radio;[343, 615];[21, 16];[10, 10]
14;2022-01-13 12:51:08.125000+00:00;pP99TCwgciuoBuUD;click;INPUT;radio;[330, 382];[9, 8];[14, 14]
15;2022-01-13 12:51:19.574000+00:00;pP99TCwgciuoBuUD;click;INPUT;checkbox;[335, 536];[14, 7];[14, 14]
16;2022-01-13 12:51:25.727000+00:00;pP99TCwgciuoBuUD;click;INPUT;radio;[327, 751];[6, 2];[14, 14]
17;2022-01-13 12:52:11.712000+00:00;pP99TCwgciuoBuUD;click;NULL;;[224, 295];['', ''];['', '']
18;2022-01-13 12:52:27.386000+00:00;pP99TCwgciuoBuUD;click;NULL;;[2328, 185];['', ''];['', '']
19;2022-01-13 12:52:29.542000+00:00;pP99TCwgciuoBuUD;click;BUTTON;;[2268, 1173];[95, 14];[194, 36]
20;2022-01-13 12:52:53.027000+00:00;pP99TCwgciuoBuUD;click;NULL;;[189, 631];['', ''];['', '']
21;2022-01-13 12:53:04.391000+00:00;pP99TCwgciuoBuUD;click;NULL;;[2119, 589];['', ''];['', '']
22;2022-01-13 12:55:59.281000+00:00;pP99TCwgciuoBuUD;click;NULL;;[444, 743];['', ''];['', '']
23;2022-01-13 12:56:08.280000+00:00;pP99TCwgciuoBuUD;click;BUTTON;;[2288, 1169];[0, 0];[0, 0]
24;2022-01-13 12:56:47.660000+00:00;pP99TCwgciuoBuUD;click;LABEL;;[918, 244];[335, 15];[576, 24]
25;2022-01-13 12:56:47.661000+00:00;pP99TCwgciuoBuUD;click;INPUT;radio;[918, 244];[358, 9];[14, 14]
26;2022-01-13 12:56:53.833000+00:00;pP99TCwgciuoBuUD;click;INPUT;checkbox;[565, 510];[5, 2];[14, 14]
27;2022-01-13 12:56:54.131000+00:00;pP99TCwgciuoBuUD;click;INPUT;checkbox;[565, 483];[5, 1];[14, 14]
28;2022-01-13 12:57:03.437000+00:00;pP99TCwgciuoBuUD;click;INPUT;checkbox;[565, 565];[5, 5];[14, 14]
29;2022-01-13 12:57:34.475000+00:00;pP99TCwgciuoBuUD;click;NULL;;[416, 525];['', ''];['', '']
30;2022-01-13 12:57:59.194000+00:00;pP99TCwgciuoBuUD;click;INPUT;text;[821, 510];[65, 14];[182, 26]
31;2022-01-13 12:57:59.927000+00:00;pP99TCwgciuoBuUD;click;INPUT;text;[821, 581];[65, 16];[182, 26]
32;2022-01-13 12:58:03.858000+00:00;pP99TCwgciuoBuUD;click;INPUT;text;[819, 575];[63, 10];[182, 26]
33;2022-01-13 12:59:00.036000+00:00;pP99TCwgciuoBuUD;click;INPUT;text;[769, 524];[13, 5];[182, 26]
34;2022-01-13 12:59:37.611000+00:00;pP99TCwgciuoBuUD;click;INPUT;text;[795, 300];[39, 14];[182, 26]
35;2022-01-13 12:59:38.104000+00:00;pP99TCwgciuoBuUD;click;INPUT;text;[795, 300];[39, 14];[182, 26]
36;2022-01-13 12:59:38.884000+00:00;pP99TCwgciuoBuUD;click;INPUT;text;[786, 298];[30, 12];[182, 26]
37;2022-01-13 12:59:53.565000+00:00;pP99TCwgciuoBuUD;click;NULL;;[464, 435];['', ''];['', '']
38;2022-01-13 13:00:01.072000+00:00;pP99TCwgciuoBuUD;click;INPUT;text;[855, 410];[99, 19];[182, 26]
39;2022-01-13 13:00:29.605000+00:00;pP99TCwgciuoBuUD;click;DIV;;[749, 403];['', ''];['', '']
40;2022-01-13 13:01:17.225000+00:00;pP99TCwgciuoBuUD;click;NULL;;[521, 516];['', ''];['', '']
41;2022-01-13 13:01:34.816000+00:00;pP99TCwgciuoBuUD;click;INPUT;text;[820, 400];[64, 9];[182, 26]
42;2022-01-13 13:01:41.232000+00:00;pP99TCwgciuoBuUD;click;INPUT;text;[820, 401];[64, 10];[182, 26]
43;2022-01-13 13:01:48.512000+00:00;pP99TCwgciuoBuUD;click;INPUT;text;[835, 480];[79, 20];[182, 26]
44;2022-01-13 13:01:58.832000+00:00;pP99TCwgciuoBuUD;click;INPUT;text;[835, 469];[79, 9];[182, 26]
45;2022-01-13 13:02:02.877000+00:00;pP99TCwgciuoBuUD;click;INPUT;text;[835, 469];[79, 9];[182, 26]
46;2022-01-13 13:02:12.388000+00:00;pP99TCwgciuoBuUD;click;INPUT;text;[830, 543];[74, 13];[182, 26]
47;2022-01-13 13:02:20.421000+00:00;pP99TCwgciuoBuUD;click;INPUT;text;[891, 550];[135, 20];[182, 26]
48;2022-01-13 13:02:25.383000+00:00;pP99TCwgciuoBuUD;click;INPUT;text;[873, 639];[117, 15];[182, 26]
49;2022-01-13 13:02:28.737000+00:00;pP99TCwgciuoBuUD;click;INPUT;text;[851, 641];[95, 17];[182, 26]
50;2022-01-13 13:02:37.951000+00:00;pP99TCwgciuoBuUD;click;INPUT;text;[851, 641];[95, 17];[182, 26]
51;2022-01-13 13:02:41.645000+00:00;pP99TCwgciuoBuUD;click;INPUT;text;[851, 641];[95, 17];[182, 26]
52;2022-01-13 13:02:49.210000+00:00;pP99TCwgciuoBuUD;click;INPUT;text;[898, 710];[142, 16];[182, 26]
53;2022-01-13 13:02:53.312000+00:00;pP99TCwgciuoBuUD;click;INPUT;text;[843, 711];[87, 17];[182, 26]
54;2022-01-13 13:02:58.837000+00:00;pP99TCwgciuoBuUD;click;INPUT;text;[839, 714];[83, 20];[182, 26]
55;2022-01-13 13:03:02.762000+00:00;pP99TCwgciuoBuUD;click;INPUT;text;[840, 710];[84, 16];[182, 26]
56;2022-01-13 13:03:10.033000+00:00;pP99TCwgciuoBuUD;click;INPUT;text;[819, 769];[63, 6];[182, 26]
57;2022-01-13 13:04:31.971000+00:00;pP99TCwgciuoBuUD;click;INPUT;text;[810, 908];[54, 27];[182, 26]
