;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 13:11:39.089000+00:00;prf5FpgceRHeYV0t;click;H1;;[967, 246];['', ''];['', '']
1;2022-01-13 13:11:57.748000+00:00;prf5FpgceRHeYV0t;click;BUTTON;;[1341, 363];[29, 23];[105, 36]
2;2022-01-13 13:13:02.874000+00:00;prf5FpgceRHeYV0t;click;INPUT;radio;[329, 266];[8, 6];[14, 14]
3;2022-01-13 13:13:04.050000+00:00;prf5FpgceRHeYV0t;click;NULL;;[175, 264];['', ''];['', '']
4;2022-01-13 13:13:35.245000+00:00;prf5FpgceRHeYV0t;click;INPUT;radio;[330, 240];[9, 8];[14, 14]
5;2022-01-13 13:13:56.896000+00:00;prf5FpgceRHeYV0t;click;INPUT;radio;[330, 461];[9, 3];[14, 14]
6;2022-01-13 13:13:57.448000+00:00;prf5FpgceRHeYV0t;click;NULL;;[205, 460];['', ''];['', '']
7;2022-01-13 13:14:31.987000+00:00;prf5FpgceRHeYV0t;click;NULL;;[240, 543];['', ''];['', '']
8;2022-01-13 13:14:49.885000+00:00;prf5FpgceRHeYV0t;click;NULL;;[165, 403];['', ''];['', '']
9;2022-01-13 13:14:56.286000+00:00;prf5FpgceRHeYV0t;click;LABEL;;[383, 345];[63, 19];[73, 36]
10;2022-01-13 13:14:56.287000+00:00;prf5FpgceRHeYV0t;click;INPUT;radio;[383, 345];[63, 20];[13, 13]
11;2022-01-13 13:14:57.630000+00:00;prf5FpgceRHeYV0t;click;NULL;;[209, 394];['', ''];['', '']
12;2022-01-13 13:15:12.887000+00:00;prf5FpgceRHeYV0t;click;LABEL;;[448, 432];[54, 26];[66, 36]
13;2022-01-13 13:15:12.888000+00:00;prf5FpgceRHeYV0t;click;INPUT;radio;[448, 432];[54, 27];[13, 13]
14;2022-01-13 13:15:13.696000+00:00;prf5FpgceRHeYV0t;click;NULL;;[162, 473];['', ''];['', '']
15;2022-01-13 13:15:51.404000+00:00;prf5FpgceRHeYV0t;click;NULL;;[121, 557];['', ''];['', '']
16;2022-01-13 13:15:52.764000+00:00;prf5FpgceRHeYV0t;click;NULL;;[162, 474];['', ''];['', '']
17;2022-01-13 13:16:31.512000+00:00;prf5FpgceRHeYV0t;click;INPUT;radio;[326, 394];[5, 4];[14, 14]
18;2022-01-13 13:16:32.152000+00:00;prf5FpgceRHeYV0t;click;NULL;;[206, 464];['', ''];['', '']
19;2022-01-13 13:17:06.595000+00:00;prf5FpgceRHeYV0t;click;NULL;;[127, 587];['', ''];['', '']
20;2022-01-13 13:17:19.005000+00:00;prf5FpgceRHeYV0t;click;NULL;;[163, 594];['', ''];['', '']
21;2022-01-13 13:17:39.407000+00:00;prf5FpgceRHeYV0t;click;INPUT;checkbox;[332, 514];[11, 9];[14, 14]
22;2022-01-13 13:17:40.415000+00:00;prf5FpgceRHeYV0t;click;NULL;;[220, 513];['', ''];['', '']
23;2022-01-13 13:17:50.440000+00:00;prf5FpgceRHeYV0t;click;INPUT;checkbox;[329, 567];[8, 10];[14, 14]
24;2022-01-13 13:17:57.185000+00:00;prf5FpgceRHeYV0t;click;INPUT;checkbox;[330, 568];[9, 11];[14, 14]
25;2022-01-13 13:17:58.641000+00:00;prf5FpgceRHeYV0t;click;NULL;;[263, 527];['', ''];['', '']
26;2022-01-13 13:18:03.842000+00:00;prf5FpgceRHeYV0t;click;INPUT;checkbox;[330, 488];[9, 9];[14, 14]
27;2022-01-13 13:18:04.297000+00:00;prf5FpgceRHeYV0t;click;NULL;;[205, 560];['', ''];['', '']
28;2022-01-13 13:18:13.811000+00:00;prf5FpgceRHeYV0t;click;INPUT;checkbox;[329, 542];[8, 11];[14, 14]
29;2022-01-13 13:18:14.338000+00:00;prf5FpgceRHeYV0t;click;NULL;;[250, 590];['', ''];['', '']
30;2022-01-13 13:18:30.548000+00:00;prf5FpgceRHeYV0t;click;INPUT;radio;[324, 733];[3, 8];[14, 14]
31;2022-01-13 13:18:32.269000+00:00;prf5FpgceRHeYV0t;click;BUTTON;;[1785, 904];[85, 10];[192, 36]
32;2022-01-13 13:19:05.912000+00:00;prf5FpgceRHeYV0t;click;NULL;;[313, 588];['', ''];['', '']
33;2022-01-13 13:20:00.078000+00:00;prf5FpgceRHeYV0t;click;NULL;;[313, 883];['', ''];['', '']
34;2022-01-13 13:20:31.201000+00:00;prf5FpgceRHeYV0t;click;DIV;;[2062, 669];['', ''];['', '']
35;2022-01-13 13:20:32.762000+00:00;prf5FpgceRHeYV0t;click;BUTTON;;[2778, 1377];[2778, 2022];[0, 0]
36;2022-01-13 13:20:35.793000+00:00;prf5FpgceRHeYV0t;click;NULL;;[277, 162];['', ''];['', '']
37;2022-01-13 13:21:04.452000+00:00;prf5FpgceRHeYV0t;click;NULL;;[124, 311];['', ''];['', '']
38;2022-01-13 13:21:16.718000+00:00;prf5FpgceRHeYV0t;click;NULL;;[123, 391];['', ''];['', '']
39;2022-01-13 13:21:53.258000+00:00;prf5FpgceRHeYV0t;click;NULL;;[80, 467];['', ''];['', '']
40;2022-01-13 13:21:57.778000+00:00;prf5FpgceRHeYV0t;click;DIV;;[330, 235];['', ''];['', '']
41;2022-01-13 13:21:58.322000+00:00;prf5FpgceRHeYV0t;click;NULL;;[188, 333];['', ''];['', '']
42;2022-01-13 13:22:01.882000+00:00;prf5FpgceRHeYV0t;click;NULL;;[195, 321];['', ''];['', '']
43;2022-01-13 13:22:43.983000+00:00;prf5FpgceRHeYV0t;click;INPUT;radio;[327, 293];[6, 7];[14, 14]
44;2022-01-13 13:22:44.975000+00:00;prf5FpgceRHeYV0t;click;NULL;;[179, 335];['', ''];['', '']
45;2022-01-13 13:22:56.801000+00:00;prf5FpgceRHeYV0t;click;INPUT;checkbox;[327, 318];[6, 12];[14, 14]
46;2022-01-13 13:22:57.601000+00:00;prf5FpgceRHeYV0t;click;NULL;;[201, 341];['', ''];['', '']
47;2022-01-13 13:23:09.082000+00:00;prf5FpgceRHeYV0t;click;INPUT;checkbox;[329, 367];[8, 9];[14, 14]
48;2022-01-13 13:23:09.722000+00:00;prf5FpgceRHeYV0t;click;NULL;;[197, 420];['', ''];['', '']
49;2022-01-13 13:23:16.403000+00:00;prf5FpgceRHeYV0t;click;INPUT;checkbox;[327, 393];[6, 9];[14, 14]
50;2022-01-13 13:23:34.972000+00:00;prf5FpgceRHeYV0t;click;INPUT;text;[647, 222];[134, 13];[185, 26]
51;2022-01-13 13:23:35.140000+00:00;prf5FpgceRHeYV0t;click;INPUT;text;[647, 222];[134, 13];[185, 26]
52;2022-01-13 13:23:35.644000+00:00;prf5FpgceRHeYV0t;click;NULL;;[182, 347];['', ''];['', '']
53;2022-01-13 13:24:46.212000+00:00;prf5FpgceRHeYV0t;click;INPUT;checkbox;[348, 320];[11, 8];[14, 14]
54;2022-01-13 13:24:49.252000+00:00;prf5FpgceRHeYV0t;click;NULL;;[196, 384];['', ''];['', '']
55;2022-01-13 13:24:51.485000+00:00;prf5FpgceRHeYV0t;click;INPUT;checkbox;[344, 344];[7, 6];[14, 14]
56;2022-01-13 13:24:54.973000+00:00;prf5FpgceRHeYV0t;click;NULL;;[226, 352];['', ''];['', '']
57;2022-01-13 13:25:06.054000+00:00;prf5FpgceRHeYV0t;click;INPUT;checkbox;[345, 379];[8, 6];[14, 14]
58;2022-01-13 13:25:09.375000+00:00;prf5FpgceRHeYV0t;click;INPUT;checkbox;[344, 308];[7, 9];[14, 14]
59;2022-01-13 13:25:10.510000+00:00;prf5FpgceRHeYV0t;click;NULL;;[252, 361];['', ''];['', '']
60;2022-01-13 13:25:14.055000+00:00;prf5FpgceRHeYV0t;click;INPUT;checkbox;[336, 331];[-2, 6];[14, 14]
61;2022-01-13 13:25:14.903000+00:00;prf5FpgceRHeYV0t;click;NULL;;[234, 354];['', ''];['', '']
62;2022-01-13 13:25:21.712000+00:00;prf5FpgceRHeYV0t;click;DIV;;[354, 267];['', ''];['', '']
63;2022-01-13 13:25:22.128000+00:00;prf5FpgceRHeYV0t;click;INPUT;checkbox;[342, 268];[5, 8];[14, 14]
64;2022-01-13 13:25:23.408000+00:00;prf5FpgceRHeYV0t;click;NULL;;[277, 314];['', ''];['', '']
65;2022-01-13 13:25:29.409000+00:00;prf5FpgceRHeYV0t;click;INPUT;checkbox;[348, 295];[11, 9];[14, 14]
66;2022-01-13 13:25:48.979000+00:00;prf5FpgceRHeYV0t;click;INPUT;checkbox;[344, 380];[7, 7];[14, 14]
67;2022-01-13 13:25:49.795000+00:00;prf5FpgceRHeYV0t;click;NULL;;[261, 387];['', ''];['', '']
68;2022-01-13 13:25:58.796000+00:00;prf5FpgceRHeYV0t;click;INPUT;checkbox;[337, 355];[-1, 8];[14, 14]
69;2022-01-13 13:25:59.820000+00:00;prf5FpgceRHeYV0t;click;NULL;;[193, 387];['', ''];['', '']
70;2022-01-13 13:26:09.069000+00:00;prf5FpgceRHeYV0t;click;INPUT;checkbox;[339, 340];[2, 2];[14, 14]
71;2022-01-13 13:26:10.381000+00:00;prf5FpgceRHeYV0t;click;DIV;;[345, 308];['', ''];['', '']
72;2022-01-13 13:26:11.365000+00:00;prf5FpgceRHeYV0t;click;INPUT;checkbox;[342, 320];[5, 8];[14, 14]
73;2022-01-13 13:26:25.887000+00:00;prf5FpgceRHeYV0t;click;NULL;;[208, 417];['', ''];['', '']
74;2022-01-13 13:27:02.546000+00:00;prf5FpgceRHeYV0t;click;NULL;;[165, 420];['', ''];['', '']
