;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 12:44:44.118000+00:00;qCuZOK7Si3oKYOJP;click;H1;;[458, 230];['', ''];['', '']
1;2022-01-13 12:44:55.330000+00:00;qCuZOK7Si3oKYOJP;click;HTML;;[913, 579];['', ''];['', '']
2;2022-01-13 12:44:56.516000+00:00;qCuZOK7Si3oKYOJP;click;BUTTON;;[1097, 360];[22, 20];[105, 36]
3;2022-01-13 12:46:11.445000+00:00;qCuZOK7Si3oKYOJP;click;INPUT;radio;[95, 237];[4, 3];[14, 14]
4;2022-01-13 12:46:11.869000+00:00;qCuZOK7Si3oKYOJP;click;INPUT;radio;[95, 262];[4, 2];[14, 14]
5;2022-01-13 12:46:13.908000+00:00;qCuZOK7Si3oKYOJP;click;INPUT;radio;[96, 285];[5, -1];[14, 14]
6;2022-01-13 12:46:17.381000+00:00;qCuZOK7Si3oKYOJP;click;INPUT;radio;[100, 313];[9, 1];[14, 14]
7;2022-01-13 12:46:37.598000+00:00;qCuZOK7Si3oKYOJP;click;INPUT;radio;[96, 368];[5, 4];[14, 14]
8;2022-01-13 12:47:27.700000+00:00;qCuZOK7Si3oKYOJP;click;INPUT;radio;[95, 237];[4, 5];[14, 14]
9;2022-01-13 12:47:48.085000+00:00;qCuZOK7Si3oKYOJP;click;LABEL;;[130, 492];[40, 21];[73, 36]
10;2022-01-13 12:47:48.086000+00:00;qCuZOK7Si3oKYOJP;click;INPUT;radio;[130, 492];[40, 22];[13, 13]
11;2022-01-13 12:48:31.072000+00:00;qCuZOK7Si3oKYOJP;click;INPUT;radio;[126, 354];[36, 4];[13, 13]
12;2022-01-13 12:48:31.072000+00:00;qCuZOK7Si3oKYOJP;click;LABEL;;[126, 354];[36, 3];[73, 36]
13;2022-01-13 12:49:01.815000+00:00;qCuZOK7Si3oKYOJP;click;INPUT;radio;[105, 493];[14, 6];[14, 14]
