;time;token;event;nodeName;global_position;local_position;local_dimensions;nodeType
0;2022-01-20 12:51:22.397000+00:00;qjkq8tWEbenOaEta;click;BUTTON;[1324, 355];[49, 15];[104, 36];
1;2022-01-20 12:51:32.115000+00:00;qjkq8tWEbenOaEta;click;INPUT;[392, 257];[89, 19];[188, 26];text
2;2022-01-20 12:51:41.791000+00:00;qjkq8tWEbenOaEta;click;INPUT;[360, 317];[57, 7];[188, 26];text
3;2022-01-20 12:52:13.354000+00:00;qjkq8tWEbenOaEta;click;INPUT;[441, 394];[138, 14];[188, 26];text
4;2022-01-20 12:52:27.408000+00:00;qjkq8tWEbenOaEta;click;INPUT;[347, 397];[44, 16];[188, 26];text
5;2022-01-20 12:52:33.449000+00:00;qjkq8tWEbenOaEta;click;INPUT;[370, 484];[67, 8];[188, 26];text
6;2022-01-20 12:52:42.733000+00:00;qjkq8tWEbenOaEta;click;INPUT;[395, 556];[92, 10];[188, 26];text
7;2022-01-20 12:52:58.420000+00:00;qjkq8tWEbenOaEta;click;INPUT;[385, 546];[82, 14];[188, 26];text
8;2022-01-20 12:53:15.041000+00:00;qjkq8tWEbenOaEta;click;INPUT;[436, 541];[133, 9];[188, 26];text
9;2022-01-20 12:53:20.775000+00:00;qjkq8tWEbenOaEta;click;INPUT;[410, 667];[107, 15];[188, 26];text
10;2022-01-20 12:53:56.191000+00:00;qjkq8tWEbenOaEta;click;LI;[119, 443];['', ''];['', ''];
11;2022-01-20 12:54:01.542000+00:00;qjkq8tWEbenOaEta;click;DIV;[143, 491];['', ''];['', ''];
12;2022-01-20 12:54:02.941000+00:00;qjkq8tWEbenOaEta;click;INPUT;[134, 487];[7, 3];[14, 14];checkbox
13;2022-01-20 12:54:05.870000+00:00;qjkq8tWEbenOaEta;click;INPUT;[132, 517];[5, 8];[14, 14];checkbox
14;2022-01-20 12:54:08.951000+00:00;qjkq8tWEbenOaEta;click;INPUT;[135, 549];[8, 14];[14, 14];checkbox
15;2022-01-20 12:54:43.428000+00:00;qjkq8tWEbenOaEta;click;INPUT;[137, 430];[10, 3];[14, 14];checkbox
16;2022-01-20 12:54:59.100000+00:00;qjkq8tWEbenOaEta;click;INPUT;[132, 312];[5, 11];[14, 14];checkbox
17;2022-01-20 12:55:12.924000+00:00;qjkq8tWEbenOaEta;click;INPUT;[136, 425];[9, 4];[14, 14];checkbox
18;2022-01-20 12:55:15.973000+00:00;qjkq8tWEbenOaEta;click;INPUT;[135, 452];[8, 5];[14, 14];checkbox
19;2022-01-20 12:55:26.457000+00:00;qjkq8tWEbenOaEta;click;INPUT;[137, 502];[10, 3];[14, 14];checkbox
20;2022-01-20 12:55:29.399000+00:00;qjkq8tWEbenOaEta;click;INPUT;[137, 484];[10, 11];[14, 14];checkbox
21;2022-01-20 12:55:35.960000+00:00;qjkq8tWEbenOaEta;click;INPUT;[135, 388];[8, 3];[14, 14];checkbox
22;2022-01-20 12:55:43.294000+00:00;qjkq8tWEbenOaEta;click;LABEL;[156, 446];[6, 2];[514, 24];
23;2022-01-20 12:55:43.295000+00:00;qjkq8tWEbenOaEta;click;INPUT;[156, 446];[29, -3];[14, 14];checkbox
24;2022-01-20 12:56:00.195000+00:00;qjkq8tWEbenOaEta;click;LABEL;[195, 549];[45, 1];[332, 24];
25;2022-01-20 12:56:00.198000+00:00;qjkq8tWEbenOaEta;click;INPUT;[195, 549];[68, -4];[14, 14];checkbox
26;2022-01-20 12:56:04.573000+00:00;qjkq8tWEbenOaEta;click;LABEL;[162, 483];[12, 14];[384, 24];
27;2022-01-20 12:56:04.577000+00:00;qjkq8tWEbenOaEta;click;INPUT;[162, 483];[35, 9];[14, 14];checkbox
28;2022-01-20 12:56:33.463000+00:00;qjkq8tWEbenOaEta;click;LABEL;[254, 477];[104, 20];[716, 24];
29;2022-01-20 12:56:33.469000+00:00;qjkq8tWEbenOaEta;click;INPUT;[254, 477];[127, 15];[14, 14];checkbox
30;2022-01-20 12:56:41.014000+00:00;qjkq8tWEbenOaEta;click;LABEL;[237, 551];[87, 16];[432, 24];
31;2022-01-20 12:56:41.019000+00:00;qjkq8tWEbenOaEta;click;INPUT;[237, 551];[110, 11];[14, 14];checkbox
32;2022-01-20 12:56:41.666000+00:00;qjkq8tWEbenOaEta;click;LABEL;[237, 551];[87, 16];[432, 24];
