;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 12:43:29.645000+00:00;r+yvGxtx+e3y+Yjq;click;H1;;[1546, 242];['', ''];['', '']
1;2022-01-13 12:43:54.011000+00:00;r+yvGxtx+e3y+Yjq;click;P;;[1138, 307];['', ''];['', '']
2;2022-01-13 12:43:56.191000+00:00;r+yvGxtx+e3y+Yjq;click;BUTTON;;[1865, 367];[60, 27];[105, 36]
3;2022-01-13 12:44:10.637000+00:00;r+yvGxtx+e3y+Yjq;click;INPUT;radio;[644, 237];[3, 3];[14, 14]
4;2022-01-13 12:44:15.472000+00:00;r+yvGxtx+e3y+Yjq;click;INPUT;radio;[645, 271];[4, 11];[14, 14]
5;2022-01-13 12:44:24.102000+00:00;r+yvGxtx+e3y+Yjq;click;INPUT;radio;[656, 537];[15, 5];[14, 14]
6;2022-01-13 12:44:38.498000+00:00;r+yvGxtx+e3y+Yjq;click;LABEL;;[664, 519];[24, 26];[73, 36]
7;2022-01-13 12:44:38.499000+00:00;r+yvGxtx+e3y+Yjq;click;INPUT;radio;[664, 519];[24, 27];[13, 13]
8;2022-01-13 12:44:56.874000+00:00;r+yvGxtx+e3y+Yjq;click;INPUT;radio;[739, 523];[25, 18];[13, 13]
9;2022-01-13 12:44:56.874000+00:00;r+yvGxtx+e3y+Yjq;click;LABEL;;[739, 523];[25, 17];[66, 36]
10;2022-01-13 12:45:39.664000+00:00;r+yvGxtx+e3y+Yjq;click;LABEL;;[1146, 742];[482, 10];[662, 24]
11;2022-01-13 12:45:39.665000+00:00;r+yvGxtx+e3y+Yjq;click;INPUT;radio;[1146, 742];[505, 5];[14, 14]
12;2022-01-13 12:45:57.749000+00:00;r+yvGxtx+e3y+Yjq;click;LABEL;;[973, 935];[309, 9];[403, 24]
13;2022-01-13 12:45:57.750000+00:00;r+yvGxtx+e3y+Yjq;click;INPUT;checkbox;[973, 935];[332, 4];[14, 14]
14;2022-01-13 12:45:59.519000+00:00;r+yvGxtx+e3y+Yjq;click;LABEL;;[727, 971];[63, 19];[335, 24]
15;2022-01-13 12:45:59.520000+00:00;r+yvGxtx+e3y+Yjq;click;INPUT;checkbox;[727, 971];[86, 14];[14, 14]
16;2022-01-13 12:46:00.420000+00:00;r+yvGxtx+e3y+Yjq;click;INPUT;checkbox;[677, 937];[36, 6];[14, 14]
17;2022-01-13 12:46:00.420000+00:00;r+yvGxtx+e3y+Yjq;click;LABEL;;[677, 937];[13, 11];[403, 24]
18;2022-01-13 12:46:00.821000+00:00;r+yvGxtx+e3y+Yjq;click;INPUT;checkbox;[686, 909];[45, 4];[14, 14]
19;2022-01-13 12:46:00.821000+00:00;r+yvGxtx+e3y+Yjq;click;LABEL;;[686, 909];[22, 9];[543, 24]
20;2022-01-13 12:46:01.183000+00:00;r+yvGxtx+e3y+Yjq;click;LABEL;;[695, 940];[31, 14];[403, 24]
21;2022-01-13 12:46:01.183000+00:00;r+yvGxtx+e3y+Yjq;click;INPUT;checkbox;[695, 940];[54, 9];[14, 14]
22;2022-01-13 12:46:01.611000+00:00;r+yvGxtx+e3y+Yjq;click;INPUT;checkbox;[694, 984];[53, 1];[14, 14]
23;2022-01-13 12:46:01.611000+00:00;r+yvGxtx+e3y+Yjq;click;LABEL;;[694, 984];[30, 6];[584, 24]
24;2022-01-13 12:46:02.269000+00:00;r+yvGxtx+e3y+Yjq;click;LABEL;;[708, 930];[44, 4];[403, 24]
25;2022-01-13 12:46:02.269000+00:00;r+yvGxtx+e3y+Yjq;click;INPUT;checkbox;[708, 930];[67, -1];[14, 14]
