;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 12:43:48.897000+00:00;r8G1mIWWwvlT7MVD;click;BUTTON;;[1860, 366];[55, 26];[105, 36]
1;2022-01-13 12:43:59.091000+00:00;r8G1mIWWwvlT7MVD;click;DIV;;[1691, 187];['', ''];['', '']
2;2022-01-13 12:44:04.926000+00:00;r8G1mIWWwvlT7MVD;click;NULL;;[338, 338];['', ''];['', '']
3;2022-01-13 12:44:05.894000+00:00;r8G1mIWWwvlT7MVD;click;INPUT;radio;[649, 264];[8, 4];[14, 14]
4;2022-01-13 12:44:41.468000+00:00;r8G1mIWWwvlT7MVD;click;INPUT;radio;[651, 389];[10, 5];[14, 14]
5;2022-01-13 12:45:04.808000+00:00;r8G1mIWWwvlT7MVD;click;LABEL;;[654, 539];[14, 13];[73, 36]
6;2022-01-13 12:45:04.809000+00:00;r8G1mIWWwvlT7MVD;click;INPUT;radio;[654, 539];[14, 14];[13, 13]
7;2022-01-13 12:46:00.308000+00:00;r8G1mIWWwvlT7MVD;click;NULL;;[455, 441];['', ''];['', '']
8;2022-01-13 12:46:01.202000+00:00;r8G1mIWWwvlT7MVD;click;LABEL;;[757, 517];[43, 11];[66, 36]
9;2022-01-13 12:46:01.203000+00:00;r8G1mIWWwvlT7MVD;click;INPUT;radio;[757, 517];[43, 12];[13, 13]
10;2022-01-13 12:46:37.782000+00:00;r8G1mIWWwvlT7MVD;click;INPUT;radio;[646, 623];[5, 8];[14, 14]
11;2022-01-13 12:46:58.713000+00:00;r8G1mIWWwvlT7MVD;click;INPUT;radio;[654, 649];[13, 8];[14, 14]
12;2022-01-13 12:46:59.155000+00:00;r8G1mIWWwvlT7MVD;click;INPUT;radio;[647, 622];[6, 7];[14, 14]
13;2022-01-13 12:47:23.178000+00:00;r8G1mIWWwvlT7MVD;click;INPUT;checkbox;[646, 840];[5, 5];[14, 14]
14;2022-01-13 12:47:53.862000+00:00;r8G1mIWWwvlT7MVD;click;INPUT;checkbox;[649, 870];[8, 9];[14, 14]
15;2022-01-13 12:47:55.282000+00:00;r8G1mIWWwvlT7MVD;click;INPUT;checkbox;[654, 892];[13, 5];[14, 14]
16;2022-01-13 12:47:55.527000+00:00;r8G1mIWWwvlT7MVD;click;INPUT;checkbox;[648, 893];[7, 6];[14, 14]
17;2022-01-13 12:49:06.385000+00:00;r8G1mIWWwvlT7MVD;click;INPUT;radio;[649, 1085];[8, 4];[14, 14]
18;2022-01-13 12:49:08.488000+00:00;r8G1mIWWwvlT7MVD;click;BUTTON;;[2403, 1270];[63, 20];[192, 36]
19;2022-01-13 12:49:24.108000+00:00;r8G1mIWWwvlT7MVD;click;BUTTON;;[2469, 1261];[2469, 2004];[0, 0]
20;2022-01-13 12:49:36.706000+00:00;r8G1mIWWwvlT7MVD;click;NULL;;[2230, 583];['', ''];['', '']
21;2022-01-13 12:50:13.465000+00:00;r8G1mIWWwvlT7MVD;click;INPUT;radio;[651, 293];[10, 7];[14, 14]
22;2022-01-13 12:52:11.500000+00:00;r8G1mIWWwvlT7MVD;click;INPUT;checkbox;[648, 312];[7, 6];[14, 14]
23;2022-01-13 12:52:17.863000+00:00;r8G1mIWWwvlT7MVD;click;DIV;;[639, 364];['', ''];['', '']
24;2022-01-13 12:52:18.851000+00:00;r8G1mIWWwvlT7MVD;click;INPUT;checkbox;[645, 367];[4, 9];[14, 14]
25;2022-01-13 12:54:14.323000+00:00;r8G1mIWWwvlT7MVD;click;INPUT;text;[877, 221];[44, 12];[185, 26]
26;2022-01-13 12:55:36.852000+00:00;r8G1mIWWwvlT7MVD;click;DIV;;[636, 918];['', ''];['', '']
27;2022-01-13 12:55:37.242000+00:00;r8G1mIWWwvlT7MVD;click;INPUT;radio;[646, 921];[5, 7];[14, 14]
28;2022-01-13 12:55:47.817000+00:00;r8G1mIWWwvlT7MVD;click;INPUT;checkbox;[649, 388];[8, 4];[14, 14]
29;2022-01-13 12:56:02.734000+00:00;r8G1mIWWwvlT7MVD;click;INPUT;checkbox;[649, 307];[8, 1];[14, 14]
30;2022-01-13 12:56:21.322000+00:00;r8G1mIWWwvlT7MVD;click;INPUT;checkbox;[645, 391];[4, 7];[14, 14]
31;2022-01-13 12:56:23.476000+00:00;r8G1mIWWwvlT7MVD;click;INPUT;checkbox;[648, 422];[7, 12];[14, 14]
32;2022-01-13 12:56:35.946000+00:00;r8G1mIWWwvlT7MVD;click;INPUT;checkbox;[661, 667];[4, 7];[14, 14]
